위도,경도,name,phone,addr:full,source:date,community_centre,community_centre:for
33.1693191,126.2716551,가파리,064-794-1954,제주특별자치도 서귀포시 대정읍 가파로67번길 48 ,2020-06-29,village_hall,senior
33.274311,126.2802209,구억리,064-794-1130,제주특별자치도 서귀포시 대정읍 중산간서로 2362  ,2020-06-29,village_hall,senior
33.2276743,126.2517033,서귀포대정아파트, - ,제주특별자치도 서귀포시 대정읍 하모중앙로6 ,2020-06-29,village_hall,senior
33.2284963,126.2431782,동일1리,064-792-1944,제주특별자치도 서귀포시 대정읍 동일하모로 99 ,2020-06-29,village_hall,senior
33.2578381,126.2366708,동일2리,064-792-5890,제주특별자치도 서귀포시 대정읍 암반수마농로329번길 18 ,2020-06-29,village_hall,senior
33.291839,126.284336,라온아파트, - ,제주특별자치도 서귀포시 대정읍 에듀시티로 74 ,2020-06-29,village_hall,senior
33.1171145,126.2671148,마라리,064-794-1130,제주특별자치도 서귀포시 대정읍 마라로 77번길 11 ,2020-06-29,village_hall,senior
33.2225379,126.2524545,모슬포,064-794-1388,제주특별자치도 서귀포시 대정읍 하모중앙로 63 ,2020-06-29,village_hall,senior
33.2701383,126.203086,무릉1리,064-792-0663,제주특별자치도 서귀포시 대정읍 서삼중로 81 ,2020-06-29,village_hall,senior
33.2784006,126.2461042,무릉2리(인향동),064-792-2212,제주특별자치도 서귀포시 대정읍 무릉인향로14번길 21-2  ,2020-06-29,village_hall,senior
33.2747978,126.2353875,무릉2리(좌기동),064-792-3334,제주특별자치도 서귀포시 대정읍 중산간서로2868 ,2020-06-29,village_hall,senior
33.2813695,126.2233914,무릉2리(평지동),064-792-1555,제주특별자치도 서귀포시 대정읍 무영로228번길 17-11 ,2020-06-29,village_hall,senior
33.2513899,126.27307,보성리,064-794-8387,제주특별자치도 서귀포시 대정읍 추사로 93-8 ,2020-06-29,village_hall,senior
33.2090508,126.2906995,산이수동,064-794-5289,제주특별자치도 서귀포시 대정읍 송악관광로 411번길 8 ,2020-06-29,village_hall,senior
33.28505,126.27843,삼정지에듀, - ,제주특별자치도 서귀포시 대정읍 에듀시티로 148,2020-06-29,village_hall,senior
33.2264426,126.2694199,상모1리(이교동),064-794-5534,제주특별자치도 서귀포시 대정읍 상모인성로 18 ,2020-06-29,village_hall,senior
33.2227189,126.2615116,상모2리(대동),064-794-1307,제주특별자치도 서귀포시 대정읍 상모로 269번길 14 ,2020-06-29,village_hall,senior
33.2248133,126.2583594,상모2리(서상동),064-794-0279,제주특별자치도 서귀포시 대정읍 상모로 288번길 18 ,2020-06-29,village_hall,senior
33.221954,126.258459,상모3리,064-794-1892,제주특별자치도 서귀포시 대정읍 영서중로 45-4 ,2020-06-29,village_hall,senior
33.2783854,126.1918199,신도1리,064-792-5560,제주특별자치도 서귀포시 대정읍 도원로 217 ,2020-06-29,village_hall,senior
33.2775937,126.1749091,신도2리,064-773-1732,제주특별자치도 서귀포시 대정읍 도원로 43 ,2020-06-29,village_hall,senior
33.2867,126.1846927,신도3리,064-772-4806,제주특별자치도 서귀포시 대정읍 비자낭로 8 ,2020-06-29,village_hall,senior
33.2653436,126.2590019,신평리,064-794-3623,제주특별자치도 서귀포시 대정읍 중산간서로 2610  ,2020-06-29,village_hall,senior
33.2501849,126.2818826,안성리,064-792-6500,제주특별자치도 서귀포시 대정읍 추사로 10-1  ,2020-06-29,village_hall,senior
33.2585101,126.2109505,영락리,064-792-5204,제주특별자치도 서귀포시 대정읍 영락중동로 11 ,2020-06-29,village_hall,senior
33.2477907,126.2805421,인성리,064-794-2619,제주특별자치도 서귀포시 대정읍 향교로75번길60 ,2020-06-29,village_hall,senior
33.2329543,126.2441886,일과1리,064-794-0877,제주특별자치도 서귀포시 대정읍 일과로 18  ,2020-06-29,village_hall,senior
33.2392238,126.2303265,일과1리(대수동),064-794-5147,제주특별자치도 서귀포시 대정읍 일과대수로27번길 10  ,2020-06-29,village_hall,senior
33.2468741,126.2240533,일과2리,064-794-6810,제주특별자치도 서귀포시 대정읍 서림로 18 ,2020-06-29,village_hall,senior
33.2150412,126.259188,하모1리,064-794-1281,제주특별자치도 서귀포시 대정읍 하모백사로 41 ,2020-06-29,village_hall,senior
