위도,경도,name,phone,addr:full,source:date,community_centre,community_centre:for,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.1693191,126.2716551,가파리,064-794-1954,,2020-06-29,village_hall,senior,,가파로67번길,48,대정읍,,,
33.274311,126.2802209,구억리,064-794-1130,,2020-06-29,village_hall,senior,,중산간서로,2362,대정읍,,,
33.2276743,126.2517033,서귀포대정아파트,,제주특별자치도 서귀포시 대정읍 하모중앙로6 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2284963,126.2431782,동일1리,064-792-1944,,2020-06-29,village_hall,senior,,동일하모로,99,대정읍,,,
33.2578381,126.2366708,동일2리,064-792-5890,,2020-06-29,village_hall,senior,,암반수마농로329번길,18,대정읍,,,
33.291839,126.284336,라온아파트,,,2020-06-29,village_hall,senior,,에듀시티로,74,대정읍,,,
33.1171145,126.2671148,마라리,064-794-1130,,2020-06-29,village_hall,senior,,77번길,11,대정읍,,,
33.2225379,126.2524545,모슬포,064-794-1388,,2020-06-29,village_hall,senior,,하모중앙로,63,대정읍,,,
33.2701383,126.203086,무릉1리,064-792-0663,,2020-06-29,village_hall,senior,,서삼중로,81,대정읍,,,
33.2784006,126.2461042,무릉2리(인향동),064-792-2212,,2020-06-29,village_hall,senior,,무릉인향로14번길,21-2,대정읍,,,
33.2747978,126.2353875,무릉2리(좌기동),064-792-3334,제주특별자치도 서귀포시 대정읍 중산간서로2868 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2813695,126.2233914,무릉2리(평지동),064-792-1555,,2020-06-29,village_hall,senior,,무영로228번길,17-11,대정읍,,,
33.2513899,126.27307,보성리,064-794-8387,,2020-06-29,village_hall,senior,,추사로,93-8,대정읍,,,
33.2090508,126.2906995,산이수동,064-794-5289,,2020-06-29,village_hall,senior,,411번길,8,대정읍,,,
33.28505,126.27843,삼정지에듀,,,2020-06-29,village_hall,senior,,에듀시티로,148,대정읍,,,
33.2264426,126.2694199,상모1리(이교동),064-794-5534,,2020-06-29,village_hall,senior,,상모인성로,18,대정읍,,,
33.2227189,126.2615116,상모2리(대동),064-794-1307,,2020-06-29,village_hall,senior,,269번길,14,대정읍,,,
33.2248133,126.2583594,상모2리(서상동),064-794-0279,,2020-06-29,village_hall,senior,,288번길,18,대정읍,,,
33.221954,126.258459,상모3리,064-794-1892,,2020-06-29,village_hall,senior,,영서중로,45-4,대정읍,,,
33.2783854,126.1918199,신도1리,064-792-5560,,2020-06-29,village_hall,senior,,도원로,217,대정읍,,,
33.2775937,126.1749091,신도2리,064-773-1732,,2020-06-29,village_hall,senior,,도원로,43,대정읍,,,
33.2867,126.1846927,신도3리,064-772-4806,,2020-06-29,village_hall,senior,,비자낭로,8,대정읍,,,
33.2653436,126.2590019,신평리,064-794-3623,,2020-06-29,village_hall,senior,,중산간서로,2610,대정읍,,,
33.2501849,126.2818826,안성리,064-792-6500,,2020-06-29,village_hall,senior,,추사로,10-1,대정읍,,,
33.2585101,126.2109505,영락리,064-792-5204,,2020-06-29,village_hall,senior,,영락중동로,11,대정읍,,,
33.2477907,126.2805421,인성리,064-794-2619,제주특별자치도 서귀포시 대정읍 향교로75번길60 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2329543,126.2441886,일과1리,064-794-0877,,2020-06-29,village_hall,senior,,일과로,18,대정읍,,,
33.2392238,126.2303265,일과1리(대수동),064-794-5147,,2020-06-29,village_hall,senior,,일과대수로27번길,10,대정읍,,,
33.2468741,126.2240533,일과2리,064-794-6810,,2020-06-29,village_hall,senior,,서림로,18,대정읍,,,
33.2150412,126.259188,하모1리,064-794-1281,,2020-06-29,village_hall,senior,,하모백사로,41,대정읍,,,
33.2202452,126.253548,하모2리,064-794-2244,,2020-06-29,village_hall,senior,,신영로94번길,7,대정읍,,,
33.2216675,126.2498653,하모3리,064-792-3588,,2020-06-29,village_hall,senior,,하모상가로,9,대정읍,,,
33.28691522,126.2803435,한신더휴,,,2020-06-29,village_hall,senior,,에듀시티로,102,대정읍,,,
33.2777575,126.716053,남원1리,064- 764-4611,,2020-06-29,village_hall,senior,,남원회관로,27,남원읍,,,
33.2929569,126.7100276,남원2리,064- 764-5234,제주특별자치도 서귀포시 남원읍 남한로173 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2784254,126.7000067,남원LH아파트,,,2020-06-29,village_hall,senior,,남원체육관로,342,남원읍,,,
33.3190481,126.7087521,수망리,064- 764-4776,제주특별자치도 서귀포시 남원읍 남조로578-3 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.287937,126.6301037,신례1리,064- 767-2745,제주특별자치도 서귀포시 남원읍 신례로259 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2650867,126.6408776,신례2리,064- 767-3664,제주특별자치도 서귀포시 남원읍 공천포로69-1 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.3045865,126.7676424,신흥1리,064- 764-5440,제주특별자치도 서귀포시 남원읍 신흥로32-10 ,2020-06-29,village_hall,senior,,,,남원읍,,,
