위도,경도,amenity,social_facility ,social_facility :for,community_centre,community_centre:for,name,addr:full,start_date,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2810632,126.5893206,social_facility ,nursing_home,senior,,,경천전문요양원,,2008-05-28,064-732-9009,2019-01-02,,토평로,170,토평동,,,
33.2661622,126.598318,social_facility ,nursing_home,senior,,,기로회요양원,,2006-03-01,064-767-0925,2019-01-02,,상효로,74-8,상효동,,,
33.2958106,126.5888256,social_facility ,nursing_home,senior,,,성요셉요양원,,2006-03-01,064-732-7607,2019-01-02,,배낭골로,81,상효동,,,
33.2521107,126.577921,social_facility ,nursing_home,senior,,,제일요양원,,2008-06-19,064-733-2587,2019-01-02,,정방연로,52-8,토평동,,,
33.2814173,126.5887481,social_facility ,nursing_home,senior,,,평안전문요양원,,2007-07-01,064-733-9005,2019-01-02,,토평로,172,토평동,,,
33.2627638,126.5468604,community_centre,,,villiage_hall,senior,서귀원광노인복지센터,제주특별자치도 서귀포시 서홍로69번길129-2(서홍동),2000-06-10,064-763-2456,2019-01-02,,,,서홍동,,,
33.2679517,126.5209527,social_facility ,nursing_home,senior,,,서호요양원,,2009-10-05,064-739-9911,2019-01-02,,서호호근로238번길,10,서호동,,,
33.2622424,126.4343293,social_facility ,nursing_home,senior,,,중문요양원,,2003-03-29,064-738-4020,2019-01-02,,일주서로728번길,74,중문동,,,
33.2483956,126.2844578,social_facility ,nursing_home,senior,,,가족요양원,,2005-02-03,064-792-7662,2019-01-02,,인안성로,52-74,대정읍,,,
33.2302782,126.2528702,social_facility ,nursing_home,senior,,,남제주요양원,,2008-05-28,064-794-2232,2019-01-02,,대한로88번길,78,대정읍,,,
33.2219442,126.251399,social_facility ,nursing_home,senior,,,드림요양원,,2004-06-26,064-794-0698,2019-01-02,,하모중앙로68번길,5,대정읍,,,
33.2545158,126.2363658,social_facility ,nursing_home,senior,,,이화요양원,,2005-04-20,064-794-1060,2019-01-02,,암반수마농로235번길,31,대정읍,,,
33.2574397,126.2703331,social_facility ,nursing_home,senior,,,쉼팡에벤엣셀,제주특별자치도 서귀포시 대정읍 추사로192-26,2008-10-04,064-792-2554,2019-01-02,,,,대정읍,,,
33.2911873,126.6617083,social_facility ,nursing_home,senior,,,내친구가사는집 자미성,,2002-03-12,064-764-3315,2019-01-02,,자배오름로139번길,157,남원읍,,,
33.2764936,126.6596161,social_facility ,nursing_home,senior,,,위미에덴요양원,,2008-05-28,064-764-8254,2019-01-02,,태위로115번길,15,남원읍,,,
33.2835671,126.7051642,social_facility ,nursing_home,senior,,,프란치스코의 집,,2004-03-14,064-764-8599,2019-01-02,,일주동로,7166,남원읍,,,
33.4481017,126.8531376,social_facility ,nursing_home,senior,,,미타요양원,,2002-10-01,064-782-1930,2019-01-02,,수송로162번길,14,성산읍,,,
33.4143696,126.8999778,social_facility ,nursing_home,senior,,,성산원광소규모요양시설,,2008-05-29,064-784-2999,2019-01-02,,일주동로,4254,성산읍,,,
33.4478464,126.9138032,community_centre,,,villiage_hall,senior,한마음노인복지센터,,2003-11-15,064-784-0609,2019-01-02,,고성오조로,15,성산읍,,,
33.3118998,126.3392206,community_centre,,,villiage_hall,senior,동광효도마을,제주특별자치도 서귀포시 안덕면 한창로619,2008-06-13,064-792-0361,2019-01-02,,,,안덕면,,,
33.3426607,126.8211769,social_facility ,nursing_home,senior,,,예담노인전문요양원,,2003-05-30,064-787-9492,2019-01-02,,번영로3428번길,107,표선면,,,
