위 도,경 도,internet_access,internet_access:fee,internet_access:operator,start_date,addr:full,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.207397,128.69031,wlan,no,KT,2018-03-01,,,,31,가음동,,,
35.209548,128.686188,wlan,no,KT,2018-06-01,,,,626,가음정동,,,
35.221194,128.682947,wlan,no,KT,2018-03-01,,,,24,상남동,,,
35.228356,128.682073,wlan,no,SKB,2015-10-01,,,중앙대로,151,,,,
35.227904,128.685541,wlan,no,SKB,2017-04-01,경상남도 창원시 의창구 중앙대로 162번길 9,,중앙대로,9,,,,
35.25739,128.613159,wlan,no,SKB,2015-10-01,경상남도 창원시 의창구 팔용로 451번길 8,,팔용로,8,,,,
35.332318,128.708211,wlan,no,SKB,2015-10-01,,,진산대로355번길,14-9,대산면,,,
35.279717,128.688659,wlan,no,SKB,2015-10-01,,,용잠로,41,동읍,,,
35.347876,128.607152,wlan,no,SKB,2015-10-01,,,천주로,1085,북면,,,
35.233512,128.678974,wlan,no,SKB,2015-10-01,,,용호로,50,반송동,,,
35.253122,128.648511,wlan,no,SKB,2015-10-01,,,서곡길,21,,,,
35.257319,128.623532,wlan,no,SKB,2015-10-01,경상남도 창원시 의창구 평산로 135번길 32(서상동),,평산로,32,서상동,,,
35.236,128.654406,wlan,no,SKB,2015-10-01,,,원이대로,450,두대동,,,
35.373486,128.676347,wlan,no,SKB,2017-04-01,경상남도 창원시 의창구 대산면 갈전로 99번길 100,,갈전로,100,대산면,,,
35.282317,128.599858,wlan,no,SKB,2016-06-01,,,달천길,150,북면,,,
35.298689,128.663234,wlan,no,SKB,2017-04-01,경상남도 창원시 의창구 동읍 화양리 680,,,680,동읍,,,
35.243079,128.64208,wlan,no,SKB,2017-04-01,경상남도 창원시 의창구 우곡로 101번길 30-3,,우곡로,30-3,,,,
35.253816,128.640154,wlan,no,SKB,2015-10-01,,,태복산로15번길,8,도계동,,,
35.28471,128.682446,wlan,no,SKB,2018-04-01,,,동읍로,88,동읍,,,
35.277108,128.700344,wlan,no,SKB,2018-04-01,,,자여로,64,동읍,,,
35.347876,128.607152,wlan,no,SKB,2018-04-01,,,천주로,1085,북면,,,
35.29961,128.602767,wlan,no,SKB,2018-04-01,,,천주로,483-7,북면,,,
35.335328,128.70826,wlan,no,SKB,2018-04-01,,,주남로,577,대산면,,,
35.262036,128.622854,wlan,no,SKB,2018-04-01,,,서상로12번길,83-9,,,,
35.265176,128.620625,wlan,no,SKB,2018-04-01,,,읍성로,25,,,,
35.257275,128.599992,wlan,no,SKB,2018-04-01,,,소계로84번길,7,,,,
35.25548,128.612815,wlan,no,SKB,2018-04-01,,,팔용로,435,,,,
35.232523,128.650511,wlan,no,SKB,2018-04-01,,,대원로27번길,28,,,,
35.253372,128.640458,wlan,no,SKB,2018-04-01,,,태복산로15번길,8,,,,
35.245781,128.649145,wlan,no,SKB,2018-04-01,,,명지로122번길,20,,,,
35.243279,128.641763,wlan,no,SKB,2018-04-01,,,우곡로101번길,28,,,,
35.245406,128.658515,wlan,no,SKB,2018-04-01,,,대봉로26번길,5,,,,
35.242373,128.682047,wlan,no,SKB,2018-04-01,,,창이대로,415,,,,
35.235899,128.684092,wlan,no,SKB,2018-04-01,,,용지로239번길,19-4,,,,
35.227793,128.692296,wlan,no,SKB,2018-04-01,,,신월로,48,,,,
35.211699,128.694652,wlan,no,SKB,2015-05-01,,,원이대로,848,,,,
35.229994,128.661411,wlan,no,SKB,2017-04-01,,,충혼로72번길,16,,,,
35.213686,128.695427,wlan,no,SKB,2015-10-01,,,원이대로,810,,,,
35.20214,128.707727,wlan,no,SKB,2015-10-01,,,외리로,47,남산동,,,
35.170815,128.704799,wlan,no,SKB,2017-04-01,경상남도 창원시 성산구 천선동 산54-2,,,,천선동,,,
35.198365,128.702731,wlan,no,SKB,2015-10-01,,,창원대로,1086,성주동,,,
35.235844,128.669611,wlan,no,SKB,2018-04-01,,,원이대로473번길,19-14,,,,
35.240625,128.662497,wlan,no,SKB,2018-04-01,,,반송로,52,,,,
35.221048,128.673641,wlan,no,SKB,2018-04-01,,,외동반림로,5,,,,
35.217375,128.669514,wlan,no,SKB,2018-04-01,,,연덕로184번길,35,,,,
35.21614,128.687309,wlan,no,SKB,2018-04-01,,,동산로,73,,,,
35.215836,128.708769,wlan,no,SKB,2018-04-01,,,대암로,109,,,,
35.221819,128.698309,wlan,no,SKB,2018-04-01,,,창이대로706번길,16-23,,,,
35.213008,128.700551,wlan,no,SKB,2018-04-01,,,가음로13번길,31,,,,
35.208619,128.697185,wlan,no,SKB,2018-04-01,,,원이대로883번길,15-38,,,,
35.189369,128.695011,wlan,no,SKB,2018-04-01,,,공단로,735,,,,
35.199318,128.710932,wlan,no,SKB,2018-04-01,,,외리로14번길,18,,,,
35.205361,128.627165,wlan,no,SKB,2018-04-01,,,신촌로,50,,,,
35.16611,128.615415,wlan,no,SKB,2018-04-01,,,귀산로58번길,8,,,,
35.182978,128.56295,wlan,no,SKB,2015-10-01,,,월영동16길,22,해운동,,,
35.115754,128.464168,wlan,no,SKB,2017-04-01,,,지산1길,71,,,,
35.1346,128.570484,wlan,no,SKB,2016-04-01,,,가포로,739,,,,
35.140973,128.583785,wlan,no,SKB,2017-04-01,경상남도 창원시 마산합포구 덕동동 산162-1,,,,덕동동,,,
35.182357,128.562879,wlan,no,SKB,2015-10-01,,,월영동북로,15,해운동,,,
35.115791,128.484563,wlan,no,SKB,2015-10-01,,,신서촌로,13,진동면,,,
35.115754,128.464168,wlan,no,SKB,2015-10-01,,,지산1길,71,진북면,,,
35.102713,128.418902,wlan,no,SKB,2015-10-01,,,대실로,155,진전면,,,
35.086264,128.585797,wlan,no,SKB,2015-10-01,,,이순신로,12,구산면,,,
35.207081,128.574758,wlan,no,SKB,2016-06-01,,,오동서6길,24,,,,
35.206276,128.577135,wlan,no,SKB,2016-12-01,경상남도 창원시 마산합포구 동서북 16길 31-4,,16길,31-4,,,,
35.206567,128.569043,wlan,no,SKB,2016-06-01,경상남도 창원시 마산합포구 문신길 147 문신미술관,,문신길,147,,,,
35.067588,128.562639,wlan,no,SKB,2017-04-01,경상남도 창원시 마산합포구 구산면 구복리 산 183-25,,,183-25,구산면,,,
35.205611,128.569124,wlan,no,SKB,2017-04-01,,,문신길,105,,,,
35.214223,128.574237,wlan,no,SKB,2017-04-01,경상남도 창원시 마산합포구 노산북 8길 49-1,,8길,49-1,,,,
35.205611,128.569124,wlan,no,SKB,2015-06-01,,,문신길,147,추산동,,,
35.19691,128.567834,wlan,no,SKB,2015-10-01,경상남도 창원시 마산합포구 3·15대로 210(중앙동3가),,3·15대로,210,,,,
35.119481,128.580329,wlan,no,SKB,2018-04-01,,,구산로,554,구산면,,,
35.115675,128.48431,wlan,no,SKB,2018-04-01,,,신서촌로,11,진동면,,,
35.115453,128.467447,wlan,no,SKB,2018-04-01,,,지산5길,80,진북면,,,
35.102713,128.418902,wlan,no,SKB,2018-04-01,,,대실로,155,진전면,,,
35.149839,128.553787,wlan,no,SKB,2018-04-01,,,현동7길,27,,,,
35.169496,128.572056,wlan,no,SKB,2018-04-01,,,가포해안길,33,,,,
35.179235,128.557731,wlan,no,SKB,2018-04-01,,,월영남1길,13,,,,
35.184587,128.558228,wlan,no,SKB,2018-04-01,,,문화남5길,36,,,,
35.194016,128.564025,wlan,no,SKB,2018-04-01,,,중앙남5길,45,,,,
35.190309,128.562451,wlan,no,SKB,2018-04-01,경상남도 창원시 마산합포구 중앙동1가 4-2,,,4-2,,,,
35.199469,128.564205,wlan,no,SKB,2018-04-01,,,완월동11길,6,,,,
35.205457,128.565433,wlan,no,SKB,2018-04-01,,,자산동5길,1,,,,
35.20422,128.573672,wlan,no,SKB,2018-04-01,,,동서북4길,13,,,,
35.207379,128.572728,wlan,no,SKB,2018-04-01,,,몽고정길,30,,,,
35.208731,128.578558,wlan,no,SKB,2018-04-01,,,오동북11길,2,,,,
35.214332,128.566241,wlan,no,SKB,2018-04-01,,,교방동5길,18,,,,
35.212663,128.574226,wlan,no,SKB,2018-04-01,,,노산남6길,45,,,,
35.2109,128.579222,wlan,no,SKB,2018-04-01,,,허당로,31,,,,
35.216014,128.585958,wlan,no,SKB,2018-04-01,,,산호남로,60,,,,
35.10212,128.501505,wlan,no,SKB,2018-06-01,,,광암해안길,117-22,진동면,,,
35.196928,128.567867,wlan,no,SKB,2017-10-01,경상남도 창원시 마산합포구 마산어시장 장어거리,,,,,,,
35.19691,128.567834,wlan,no,SKB,2017-04-01,경상남도 창원시 마산합포구 3·15대로 210(중앙동3가),,3·15대로,210,,,,
35.250556,128.600745,wlan,no,SKB,2015-10-01,,,구암남14길,33,구암동,,,
35.246692,128.507679,wlan,no,SKB,2015-11-01,,,중리상곡로,65,내서읍,,,
35.224331,128.573462,wlan,no,SKB,2015-10-01,경상남도 창원시 마산회원구 회원동 3-15대로 558(회원동),,3-15대로,558,회원동,회원,,
35.232728,128.501352,wlan,no,SKB,2015-10-01,경상남도 창원시 마산회원구 내서읍 삼풍로 79(삼계리),,삼풍로,79,내서읍,,,
35.255949,128.511891,wlan,no,SKB,2017-04-01,,,유통단지로,33,내서읍,,,
35.220822,128.579677,wlan,no,SKB,2015-10-01,,,삼호로,63,양덕동,,,
35.246692,128.507679,wlan,no,SKB,2018-04-01,,,중리상곡로,65,내서읍,,,
35.262246,128.523372,wlan,no,SKB,2018-04-01,,,호원로,323,내서읍,,,
35.21818,128.57421,wlan,no,SKB,2018-04-01,,,회원동11길,7,,,,
35.218924,128.569272,wlan,no,SKB,2018-04-01,,,회원남로,74,,,,
35.230291,128.573175,wlan,no,SKB,2018-04-01,,,석전동4길,52,,,,
35.229386,128.568225,wlan,no,SKB,2018-04-01,,,석전남16길,84,,,,
35.233013,128.56168,wlan,no,SKB,2018-04-01,,,북성로,327,,,,
35.232275,128.586152,wlan,no,SKB,2018-04-01,,,팔용로,25,,,,
35.229113,128.583866,wlan,no,SKB,2018-04-01,,,율림교로,3,,,,
35.242165,128.583938,wlan,no,SKB,2018-04-01,,,합성서3길,21,,,,
35.239042,128.586717,wlan,no,SKB,2018-04-01,,,합성남8길,46,,,,
35.249339,128.593505,wlan,no,SKB,2018-04-01,,,구암서2길,95,,,,
35.24899,128.598426,wlan,no,SKB,2018-04-01,,,구암남16길,12,,,,
35.217556,128.602446,wlan,no,SKB,2018-04-01,,,봉양로,148,,,,
35.133626,128.710371,wlan,no,SKB,2015-10-01,,,진해대로,1101,풍호동,,,
35.149901,128.661871,wlan,no,SKB,2015-10-01,,,중원동로,62,,,,
35.152449,128.667423,wlan,no,SKB,2015-10-01,,,충장로,141,,,,
35.100304,128.817232,wlan,no,SKB,2015-10-01,,,용재로,66,,,,
35.161925,128.700595,wlan,no,SKB,2017-04-01,경상남도 창원시 진해구 진해대로 763번길 30,,진해대로,30,,,,
35.114161,128.754302,wlan,no,SKB,2017-04-01,,,웅천로,218,,,,
35.143498,128.689957,wlan,no,SKB,2017-04-01,,,천자로,101,,,,
35.12711,128.81875,wlan,no,SKB,2017-04-01,,,두동로,236,,,,
35.147213,128.684951,wlan,no,SKB,2016-06-01,,,진희로,150,,,,
35.09209,128.720901,wlan,no,SKB,2016-06-01,,,명동로,62,,,,
35.133626,128.710371,wlan,no,SKB,2015-10-01,,,진해대로,1101,풍호동,,,
35.152099,128.655567,wlan,no,SKB,2018-04-01,,,충무로,69,,,,
35.14569,128.662133,wlan,no,SKB,2018-04-01,,,태평로,26,,,,
35.150513,128.660328,wlan,no,SKB,2018-04-01,,,중원로74번길,6,,,,
35.158563,128.660273,wlan,no,SKB,2018-04-01,,,여명로,77,,,,
35.153863,128.677379,wlan,no,SKB,2018-04-01,,,중초로9번길,38,,,,
35.154305,128.686898,wlan,no,SKB,2018-04-01,,,경화로8번길,5,,,,
35.15502,128.689505,wlan,no,SKB,2018-04-01,,,경화로16번길,31,,,,
35.158736,128.700195,wlan,no,SKB,2018-04-01,,,돌리로,3,,,,
35.149363,128.699906,wlan,no,SKB,2018-04-01,,,냉천로12번길,9,,,,
35.147041,128.70545,wlan,no,SKB,2018-04-01,,,덕산로51번길,12,,,,
35.143337,128.703739,wlan,no,SKB,2018-04-01,,,동진로157번길,5,,,,
35.13752,128.707321,wlan,no,SKB,2018-04-01,,,진해대로1034번길,6,,,,
35.111287,128.749559,wlan,no,SKB,2018-04-01,,,웅천중로,59,,,,
35.125861,128.782685,wlan,no,SKB,2018-04-01,,,웅동로57번가길,6,,,,
35.101168,128.81474,wlan,no,SKB,2018-04-01,,,용재로,46,,,,
35.087773,128.813356,wlan,no,SKB,2018-04-01,,,신항4로,53-45,,,,
35.159197,128.687291,wlan,no,KT,2018-04-01,,,진해대로,649,,,,
35.133626,128.710371,wlan,no,SKB,2015-10-01,,,진해대로,1101,풍호동,,,
35.231946,128.681696,wlan,no,KT,2013-01-01,경상남도 창원시 의창구 용지로 169번길,,용지로,,,,,
35.230167,128.687076,wlan,no,KT,2014-01-01,경상남도 창원시 의창구 중앙대로 210번길,,중앙대로,,,,,
35.250416,128.678434,wlan,no,LGU+,2014-01-01,,,봉곡로97번길,85,,,,
35.252914,128.636762,wlan,no,KT,2014-01-01,,,원이대로114번길,6,,,,
35.196747,128.624617,wlan,no,LGU+,2014-01-01,,,신촌로134번길,43,,,,
35.072878,128.583936,wlan,no,LGU+,2014-01-01,,,반동길,370-1,구산면,,,
35.072726,128.58366,wlan,no,LGU+,2014-01-01,,,반동길,370-2,구산면,,,
35.15312,128.411258,wlan,no,LGU+,2014-01-01,,,미천2길,243,진전면,,,
35.194446,128.558636,wlan,no,SKT,2014-01-01,,,반월서7길,59,,,,
35.14591,128.659764,wlan,no,SKT,2014-01-01,,,태평로,6,,,,
35.216571,128.704755,wlan,no,LGU+,2014-01-01,,,창이대로,781,,,,
35.184833,128.55767,wlan,no,KT,2014-01-01,,,문화남7길,12,,,,
35.111287,128.749559,wlan,no,KT,2014-01-01,,,웅천중로,59,,,,
35.222492,128.697128,wlan,no,LGU+,2014-01-01,경상남도 창원시 성산구 창이대로 684번길 26 (사파동),,창이대로,26,사파동,,,
35.216453,128.579064,wlan,no,KT,2014-01-01,,,용마로,30,,,,
35.151693,128.667176,wlan,no,KT,2014-01-01,경상남도 창원시 진해구 충장로 140번길,,충장로,,,,,
35.20232,128.571188,wlan,no,LGU+,2014-01-01,경상남도 창원시 마산합포구 동서남1길 5 (신포동2가),,동서남1길,5,,,,
35.213104,128.691688,wlan,no,SKT,2014-01-01,경상남도 창원시 성산구 대정로 35번길 3,,대정로,3,,,,
35.257265,128.637269,wlan,no,LGU+,2014-01-01,경상남도 창원시 의창구 원이대로 69번길 20 일원,,원이대로,20,,,,
35.249118,128.647073,wlan,no,KT,2014-01-01,경상남도 창원시 의창구 원이대로 189번길 42 일원,,원이대로,42,,,,
35.235133,128.671055,wlan,no,KT,2014-01-01,경상남도 창원시 성산구 원이대로 473번길 20-11,,원이대로,20-11,,,,
35.206222,128.573489,wlan,no,KT,2014-01-01,,,3.15대로,352,,,,
35.24011,128.587582,wlan,no,KT,2014-01-01,경상남도 창원시 마산회원구 합성남 8길 76,,8길,76,,,,
35.236719,128.578724,wlan,no,SKT,2014-01-01,경상남도 창원시 마산회원구 석전동17길 37 일원,,석전동17길,37,,,,
35.151052,128.665623,wlan,no,KT,2014-01-01,경상남도 창원시 진해구 벚꽃로 60번길 25,,벚꽃로,25,,,,
35.230159,128.654327,wlan,no,LGU+,2014-01-01,,,두대로,97,,,,
35.240197,128.591912,wlan,no,SKT,2014-01-01,,,팔용로,128,,,,
35.133776,128.71553,wlan,no,LGU+,2014-01-01,,,천자로,484,풍호동,,,
35.201987,128.696799,wlan,no,LGU+,2014-01-01,경상남도 창원시 성산구 정동로 162번길 57,,정동로,57,,,,
35.30774,128.6779,wlan,no,KT,2019-12-01,,,주남로101번길,32,동읍,,,
35.16546,128.59887,wlan,no,KT,2019-05-01,,,,644-2,귀곡동,,,
35.20616,128.6991,wlan,no,SKB,2019-06-01,,,대정로20번길,11,,,,
