위도,경도,amenity,name,opening_hours,capacity,books,ref:isil,addr:full,operator,phone,website,source,source:date
37.40327085,126.6416471,library,송도2동작은도서관,,60,,KR-128086,인천광역시 연수구 신송로 248,인천광역시 연수구청,032-749-6595,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.38582094,126.6590472,library,해돋이도서관,Mo off; Tu-Fr 09:00-20:00; Sa 09:00-18:00; Su off,200,,KR-128099,인천광역시 연수구 해돋이로 7,인천광역시 연수구청,032-749-6950,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4222546,126.6810562,library,연수1동작은도서관,,60,,KR-128100,인천광역시 연수구 함박뫼로 127,인천광역시 연수구청,032-749-6151,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4255593,126.6609502,library,연수청학도서관,Mo off; Tu-Fr 09:00-20:00; Sa 09:00-18:00; Su off,400,,KR-128058,인천광역시 연수구 솔샘로 146,인천광역시 연수구청,032-749-8270,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.41233703,126.6747411,library,연수어린이도서관,Mo off; Tu-Sa 10:00-18:00; Su off,500,children,KR-128005,인천광역시 연수구 먼우금로 164,인천광역시 연수구청,032-749-8200,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.3979798,126.653648,library,송도국제어린이도서관,Mo off; Tu-Sa 10:00-18:00; Su off,200,children,KR-128047,인천광역시 연수구 컨벤시아대로 43,인천광역시 연수구청,032-749-8220,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4273352,126.6550785,library,옥련1동작은도서관,,34,,KR-128038,인천광역시 연수구 비류대로 186번길 14,인천광역시 연수구청,032-749-6026,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.42619099,126.6482894,library,옥련2동어린이작은도서관,,100,children,KR-128011,인천광역시 연수구 옥련로 82,인천광역시 연수구청,032-749-6084,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4116297,126.6818255,library,연수2동작은도서관,,60,,KR-128082,인천광역시 연수구 원인재로 158,인천광역시 연수구청,032-749-6244,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.37148711,126.6601642,library,송도3동작은도서관,,30,,KR-728143,인천광역시 연수구 송도교육로 63,인천광역시 연수구청,032-749-6797,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4298457,126.6978667,library,선학별빛도서관,Mo off; Tu-Fr 09:00-20:00; Sa 09:00-18:00; Su off,200,,KR-128104,인천광역시 연수구 넘말로30,인천광역시 연수구청,032-749-6710,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.4078237,126.6640528,library,동춘나래도서관,Mo off; Tu-Sa 09:00-18:00; Su off,95,,KR-128108,인천광역시 연수구 봉재산로54번길 30,인천광역시 연수구청,033-749-8240,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
37.42570103,126.6868034,library,함박비류도서관,Mo off; Tu-Sa 09:00-18:00; Su off,23,,KR-128109,인천광역시 연수구 함박안로 218,인천광역시 연수구청,032-749-6970,http://www.yspubliclib.go.kr,공공데이터포털,2021-01-01
