위도,경도,name,도서관유형,opening_hours,,capacity,ref:isil,addr:full,operator,phone,website,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.889423,128.609444,거제시립장평도서관,공공도서관,"Tu-Su 09:00-18:00; Mo, PH off",,305,KR-148184,,경상남도 거제시청,+82 55 639 3861,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,장평3로,10,,,,
34.897043,128.687551,거제시립옥포도서관,공공도서관,"Tu-Su 09:00-18:00; Mo, PH off",,197,KR-148089,,경상남도 거제시청,+82 55 639 3881,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,진목로,20,,,,
34.86990566,128.731335,거제시립장승포도서관,공공도서관,"Tu-Su 09:00-18:00; Mo, PH off",,164,KR-148033,,경상남도 거제시청,+82 55 639 3871,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,신부로,36,,,,
34.887938,128.6462711,거제시립수양도서관,공공도서관,"Tu-Su 09:00-18:00; Mo, PH off",,250,KR-148302,,경상남도 거제시청,+82 55 639 3891,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,제산로5길,26,,,,
34.955369,128.6551964,거제시립하청도서관,공공도서관,"Tu-Su 09:00-18:00; Mo, PH off",,170,KR-148307,,경상남도 거제시청,+82 55 639 3891,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,하청로,12-7,하청면,,,
34.893799,128.696573,옥포작은도서관,작은도서관,"Mo-Sa 09:00-18:00; Su, PH off",,19,KR-148211,,경상남도 거제시 옥포종합사회복지관,+82 55 680 7021,http://www.okpowelfare.or.kr,공공데이터포털,2021-02-08,,옥포대첩로,84,,,,
34.883467,128.625253,거제2동 새마을문고작은도서관,작은도서관,"Mo-Fr 10:00-17:00; Sa-Su, PH off",,10,KR-126049,,경상남도 거제시 새마을운동거제시지회,+82 55 637 0185,http://www.saemaul.com,공공데이터포털,2021-02-08,,거제중앙로,1849,,,,
34.86909587,128.627921,푸른숲작은도서관,작은도서관,Mo-Fr 14:00-22:00; Sa-Su 10:00-18:00; PH off,,80,KR-746089,,경상남도 거제시 대동다숲아파트입주자대표회,+82 55 633 8849,,공공데이터포털,2021-02-08,,상동7길,30,,,,
34.862441,128.691076,모오리돌작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa 09:00-17:00; Su, PH off",,60,KR-148175,,경상남도 거제시 YWCA,+82 55 682 4950,http://www.gjywca.or.kr,공공데이터포털,2021-02-08,,탑곡로,75,,,,
34.73225056,128.610145,남부면작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,16,KR-148173,,경상남도 거제시 남부면주민자치센터,+82 55 639 6537,,공공데이터포털,2021-02-08,,남부해안로,30,남부면,,,
34.8842936,128.6193499732,글밭작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,12,KR-148170,,경상남도 거제시 거제시여성단체협의회,+82 55 636 3019,,공공데이터포털,2021-02-08,,계룡로13길,6,,,,
34.901991,128.684162,성은작은도서관,작은도서관,"Mo-Fr 12:00-17:00; Sa-Su, PH off",,12,KR-148284,,경상남도 거제시 성은아파트입주자대표회,+82 55 687 7794,,공공데이터포털,2021-02-08,,옥포로,315-2,,,,
34.741477,128.662206,바람의언덕작은도서관,작은도서관,"Mo-Su, PH 09:00-17:00",,10,none,,경상남도 거제시 해금강교회,+82 55 633 1527,,공공데이터포털,2021-02-08,,도장포1길,50-4,남부면,,,
34.85109247,128.596057,참새미작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,16,KR-747005,,경상남도 거제시 거제면주민자치센터,+82 55 632 6452,http://gw.re.kr/development/development07.jsp,공공데이터포털,2021-02-08,,동상3길,26,거제면,,,
34.890039,128.6411267,힐나눔작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,30,none,,경상남도 거제시 힐스테이트입주자대표회,+82 55 637 8201,,공공데이터포털,2021-02-08,,제산로,51,,,,
34.86643348,128.6849359,덕산아내프리미엄아파트 작은도서관,작은도서관,"Tu-Su 09:00-18:00; Mo, PH off",,40,none,,경상남도 거제시 덕산아내프리미엄1차아파트입주자대표회,+82 55 681 9766,,공공데이터포털,2021-02-08,,아주로,100-10,,,,
34.879448,128.6264279,파라미타작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,20,none,,사단법인 좋은벗,+82 55 681 2679,,공공데이터포털,2021-02-08,,계룡로2길,69-1,,,,
34.86690134,128.6832833,덕산아내프리미엄2차아파트작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,16,none,,경상남도 거제시 덕산아내프리미엄2차아파트입주자대표회,+82 55 681 2679,,공공데이터포털,2021-02-08,,아주로,100-11,,,,
34.85852366,128.6345179,벽산3차새마을작은도서관,작은도서관,"Mo-Fr 14:00-23:00; Sa-Su, PH off",,45,KR-748091,,경상남도 거제시 벽산e-솔렌스힐 3차아파트입주자대표회,+82 55 637 2500,,공공데이터포털,2021-02-08,,상동5길,117-50,,,,
34.86059289,128.6307668,벽산-e솔렌스힐2차작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,24,none,,경상남도 거제시 벽산e-솔렌스힐 2차아파트입주자대표회,+82 55 632 7066,,공공데이터포털,2021-02-08,,상동5길,117-16,,,,
34.89811443,128.6953232,e편한세상옥포아파트작은도서관,작은도서관,"Mo-Sa 16:00-22:00; Su, PH off",,12,none,,경상남도 거제시 e편한세상 옥포아파트입주자 대표회,+82 55 687 3226,,공공데이터포털,2021-02-08,,성산로,33,,,,
34.83654182,128.504779,둔덕청마꽃들작은도서관,작은도서관,"Tu-Su 09:00-18:00; Mo, PH off",,16,KR-748134,,경상남도 거제시 둔덕면 거제남서로 4624,+82 55 638 0011,,공공데이터포털,2021-02-08,,거제남서로,4624,둔덕면,,,
34.83607217,128.7173632,엘마르작은도서관,작은도서관,"Mo-Su, PH 08:00-23:00",,24,none,,경상남도 거제시 일운면 지세포해안로 258,+82 55 681 0117,,공공데이터포털,2021-02-08,,지세포해안로,258,일운면,,,
34.94326154,128.7152614,외포바다마을 작은도서관,작은도서관,"Tu-Su 09:00-18:00; Mo, PH off",,34,KR-748165,,경상남도 거제시청,+82 55 636 5063,,공공데이터포털,2021-02-08,,외포4길,12,장목면,,,
34.86925907,128.6461879,거제시종합사회복지관 작은도서관,작은도서관,"Mo-Fr 09:00-18:00; Sa-Su, PH off",,20,none,,"경상남도 거제시 양정1길 45, 1층(양정동)",+82 55 636 0303,,공공데이터포털,2021-02-08,,외포4길,12,장목면,,,
34.86806377,128.6378538166,상문동스마트도서관,작은도서관,,,,none,,경상남도 거제시청,+82 55 639 3861,http://www.lib.geoje.go.kr,공공데이터포털,2021-02-08,,거제중앙로,1641,,,,
