연번,행정동,수거함위치명,도로명 주소,세부위치,위도,경도,데이터기준일자
1,구월동,구월1동행정복지센터,인천광역시 남동구 선수촌공원로 104,1층 민원실내,37.434480,126.729272,2020-12-14
2,구월동,구월2동행정복지센터,인천광역시 남동구 구월로 208,1층 민원실내,37.456113,126.713354,2020-12-14
3,구월동,구월3동행정복지센터,인천광역시 남동구 문화서로 84,2층 민원실내,37.452690,126.696945,2020-12-14
4,구월동,구월4동행정복지센터,인천광역시 남동구 구월말로 7,1층 청사입구,37.449634,126.724066,2020-12-14
5,간석동,간석1동행정복지센터,인천광역시 남동구 구월로137번길 39,1층 민원실내,37.458611,126.705286,2020-12-14
6,간석동,간석2동행정복지센터,인천광역시 남동구 남동대로916번길 47,2층 민원실내,37.463980,126.710947,2020-12-14
7,간석동,간석3동행정복지센터,인천광역시 남동구 용천로 186,2층 민원실내,37.466111,126.714686,2020-12-14
8,간석동,간석4동행정복지센터,인천광역시 남동구 석정로 575,3층 민원실내,37.467356,126.699178,2020-12-14
9,만수동,만수1동행정복지센터,인천광역시 남동구 인주대로 851,1층 민원실내,37.448718,126.731970,2020-12-14
10,만수동,만수2동행정복지센터,인천광역시 남동구 만수서로 46,1층 민원실내,37.461387,126.731157,2020-12-14
11,만수동,만수3동행정복지센터,인천광역시 남동구 서판로 11,1층 민원실내,37.461966,126.723009,2020-12-14
12,만수동,만수4동행정복지센터,인천광역시 남동구 만수로50번길 39,1층 민원실내,37.459471,126.735620,2020-12-14
13,만수동,만수5동행정복지센터,인천광역시 남동구 구월로 303,5층 민원실내,37.455810,126.724503,2020-12-14
14,만수동,만수6동행정복지센터,인천광역시 남동구 장승남로 47,1층 민원실내,37.443769,126.737647,2020-12-14
15,서창동,장수서창동행정복지센터,인천광역시 남동구 독곡로 28,1층 민원실내,37.435880,126.747361,2020-12-14
16,서창동,서창2동행정복지센터,인천광역시 남동구 서창남순환로 43,1층 민원실내,37.427869,126.750647,2020-12-14
17,남촌동,남촌도림동행정복지센터,인천광역시 남동구 남촌동로 32,3층 민원실내,37.432265,126.715219,2020-12-14
18,논현동,논현1동행정복지센터,인천광역시 남동구 소래역로 115,1층 민원실내,37.405692,126.729317,2020-12-14
19,논현동,논현2동행정복지센터,인천광역시 남동구 논현고잔로 248,1층 민원실내,37.404228,126.716398,2020-12-14
20,논현동,논현고잔동행정복지센터,인천광역시 남동구 앵고개로847번길 32,1층 민원실내,37.397768,126.726390,2020-12-14
