위도,경도,amenity,community_centre,community_centre:for,name,addr:full,phone,세부시설,source:date
33.2372101,126.4777371,community_centre,youth_centre,juvenile,강정청소년문화의집,제주특별자치도 서귀포시 강정통물로 112,064-739-0046,다목적실. 상담실. 동아리방. 인터넷부스. 도서실 등 ,2020-06-30
33.2809983,126.70913,community_centre,youth_centre,juvenile,남원청소년문화의집,제주특별자치도 서귀포시 남원읍 남원체육관로 221번길 16,064-760-3404,다목적실. 동아리방. 인터넷부스. 노래연습실 등,2020-06-30
33.2663074,126.5670797,community_centre,youth_centre,juvenile,동흥청소년문화의집,제주특별자치도 서귀포시 중산간동로 7950,064-760-3476,다목적실. 동아리실. 댄스연습실. 노래연습실 등,2020-06-30
33.2355599,126.5142169,community_centre,youth_centre,juvenile,법환동청소년문화의집,제주특별자치도 서귀포시 막숙포로 70-1,064-738-4116,다목적홀. 상담실. 동아리방. 노래연습실. 북카페 등,2020-06-30
33.2507157,126.5651902,community_centre,youth_centre,juvenile,서귀포시청소년문화의집,제주특별자치도 서귀포시 일주동로 8702,064-762-1406,다목적실. 프로그램실. 방과후아카데미. 노래연습실. 댄스연습실 등,2020-06-30
33.416346,126.889907,community_centre,youth_centre,juvenile,신산청소년문화의집,제주특별자치도 서귀포시 성산읍 일주동로 5101-1,064-760-4297,다목적홀. 공연연습실. A/V 감상실 등,2020-06-30
33.2450378,126.5661672,community_centre,youth_centre,juvenile,송산청소년문화의집,제주특별자치도 서귀포시 소암로 4,064-760-4891,프로그램실. 인터넷부스. 음악창작활동실. AV감상실 등,2020-06-30
33.2496869,126.337098,community_centre,youth_centre,juvenile,안덕청소년문화의집,제주특별자치도 서귀포시 안덕면 화순로56번길 20,064-760-4391,다목적홀. 프로그램실. 인터넷부스. 공연연습실 등,2020-06-30
33.2469863,126.3902388,community_centre,youth_centre,juvenile,예래청소년문화의집,제주특별자치도 서귀포시 열리로 80,064-738-1300,다목적홀. 동아리방. 음악활동실 등 ,2020-06-30
33.3316176,126.8304314,community_centre,youth_centre,juvenile,표선청소년문화의집,제주특별자치도 서귀포시 표선면 표선중앙로 13,064-760-4491,다목적홀. 공연연습실. A/V 감상실 등,2020-06-30
33.2620217,126.6189961,community_centre,youth_centre,juvenile,하효청소년문화의집,제주특별자치도 서귀포시 하효중앙로 132,064-767-4005,다목적홀. 인터넷부스. A/V감상실. 북카페 등 ,2020-06-30
