행정동명,관리번호,설치장소,소재지도로명주소,소재지지번주소,수량,관리기관(부서),연락처,구군명,데이터기준일자,위도,경도
우1동,우1동-1,법륜사전봇대,,우동 391-28,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169127,129.157048
우1동,우1동-2,해운대여고 정문 앞,,우1동 85,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169153,129.15702
우1동,우1동-3,해광사 앞,,우동 351-18,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.17159686,129.1561777
우1동,우1동-4,해동초 입구,,우동 345-1,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.170244,129.155352
우1동,우1동-5,신동비치 부대끝,,우1동 345-6,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.170859,129.156752
우1동,우1동-6,협성프라임 102동 입구,,우동 333,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.170854,129.156543
우1동,우1동-7,관광고 입구,,우동 87-1,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.171384,129.155811
우1동,우1동-8,해운대 sgi정문 맞은편,,우동 해운대로483,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169812,129.157307
우1동,우1동-9,우동성당 옆 다슬기집,,우동483,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.164189,129.146198
우1동,우1동-10,신일교회 앞,,우동 963-6,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.162379,129.160366
우1동,우1동-11,해운정사입구,,우동 434-3,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.168041,129.159387
우2동,우2동-1,은혜의 집 인근,,우동 1209-29,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.174501,129.132468
우2동,우2동-2,삼호가든 후문,,우동 1108-136,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.175627,129.140858
우2동,우2동-3,두산위브 107동 앞,,우동 1105-1,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.174629,129.140637
우2동,우2동-4,해운대공고 옆,,우동 1540,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.167161,129.145177
우2동,우2동-5,자명병원 오르막길,,우동 1538,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.167824,129.146629
우2동,우2동-6,자명병원 삼거리,,우동 1540,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.167344,129.145718
우2동,우2동-7,센텀마리나 입구,,우동 1540,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.166874,129.145833
우2동,우2동-8,자이아파트 상가 옆,,우동 1526,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.167246,129.142441
우2동,우2동-9,길상사 입구 근처,,우동 1102-160,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.166869,129.142368
우2동,우2동-10,자이 인근 수정빌라 앞,,우동 1526,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169567,129.141629
우2동,우2동-11,센텀경동리인 정문 인근,,우동1543,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169111,129.141509
우2동,우2동-12,센텀경동리인 정문 인근,,우동1543,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.169243,129.141286
우2동,우2동-13,센텀경동리인 후문 인근,,우동1543,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.168709,129.142578
중2동,중2동-1,중2동 주민센터,,중동1807,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.161885,129.179343
중2동,중2동-2,부산은행,,중동 1539,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.162397,129.163163
중2동,중2동-3,산수대중사우나,,중동 1536,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.164526,129.183966
중2동,중2동-4,현우산호맨션,,중동 1536,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.164439,129.184183
중2동,중2동-5,현우산호맨션,,중동 1536,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.164362,129.184127
중2동,중2동-6,힐스테이트,,중동 1819,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.162107,129.181199
중2동,중2동-7,힐스테이트,,중동 1819,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.162093,129.181176
중2동,중2동-8,힐스테이트,,중동 1819,1,해운대구(안전총괄과),051-749-6167,해운대구,2021-01-01,35.162185,129.181203
