위도,경도,name,addr:full,description,office
37.89530477,127.083122,KAFKA(카프카) 협동조합,경기도 동두천시 광암로17번길 15-9,청소년 교육사업,cooperative
37.89209058,127.0526057,더불어꿈협동조합,경기도 동두천시 지행로 50,"다앙한 문화컨텐츠 운영, 지역현안분석, 마을카페운영",cooperative
37.93527114,127.0625511,동두천금강택시협동조합,경기도 동두천시 평화로2812번길 158,"여객자동차운수사업, 택시운송사업",cooperative
37.90146126,127.0502468,동두천두리온협동조합,경기도 동두천시 생연로 97-1,"특성화상품개발 및 공동생산, 공동판매장 운영 등",cooperative
37.94678969,127.0627941,동두천소요산맑은물주조협동조합,경기도 동두천시 평화로 2914-19,"탁주주조, 유통, 브랜드 개발",cooperative
37.93507301,127.0635804,동두천시민 협동조합,경기도 동두천시 평화로2812번길 161,택시운송업,cooperative
37.90483672,127.0553153,동성협동조합,경기도 동두천시 중앙로264번길 24,그리스도 복음전파를 통한 조합원 공동이익도모,cooperative
37.90913941,127.0484416,두드림 드론 협동조합,경기도 동두천시 상패로 86,"드론 판매 및 교육, 수리업",cooperative
37.89033083,127.0544489,두드림패션사업협동조합,경기도 동두천시 동두천로 97,섬유·봉제 자재 공동구매 및 공동판매,cooperative
37.91206967,127.1156196,두레목조건축협동조합,경기도 동두천시 쇠목길 413,"목조건축 연구및개발, 목수의 양성 및 친환경 건축사업",cooperative
37.91138784,127.1175632,두레자연마을협동조합,,"농임산물 재배및가공, 산림문화교육컨텐츠의 제작 및 기획서비스 제공",cooperative
37.91188152,127.0561539,러닝메이트 협동조합,경기도 동두천시 중앙로 344-8,"사업지원 및 임대서비스업, 숙박 및 음식점업",cooperative
37.93469952,127.0644954,미래희망 협동조합,경기도 동두천시 평화로2812번길 196,택시운송업,cooperative
37.90749659,127.0580842,사랑의 손길 협동조합,경기도 동두천시 평화로 2459-1,"즉석식품사업,반찬꾸러미사업",cooperative
37.88497501,127.0560917,소소수제화분협동조합,경기도 동두천시 평화로2185번길 56,수제화분 공동생산 및 판매,cooperative
37.89275703,127.0517467,송라지구디자인시티협동조합,경기도 동두천시 중앙로 125,"조합원의 임대주택 건설과 임차, 임차 이후의 소유권 취득 및 그에 따르는 제반사항 처리",cooperative
37.91754408,127.0681739,싸릿말버섯연구회 협동조합,경기도 동두천시 싸리말로 100,버섯 재배 및 판매,cooperative
37.90454323,127.0518674,"예술, 가치날다 협동조합",경기도 동두천시 정장로 12-4,"예술, 문화행사 사업",cooperative
37.91188152,127.0561539,옥탑방청년들 협동조합,경기도 동두천시 중앙로 344-8,"서비스, 미디어, 기획 사업 등(교육, 제조, 판매, 임대, 무역, 컨설팅, 위탁)",cooperative
37.90019172,127.0529584,온새미소비자협동조합,경기도 동두천시 큰시장로 43,생필품 공동구매 및 판매,cooperative
37.88162986,127.052025,이담공방협동조합,경기도 동두천시 중앙로33번길 92,문화예술 교육서비스 기획 및 사업,cooperative
37.92850327,127.04844,이지스소비자협동조합,경기도 동두천시 신천로 145,온라인 쇼핑몰을 통한 조합원 수익 증대 도모,cooperative
37.90049061,127.0520741,자연다믄협동조합,경기도 동두천시 큰시장로 52,두류식품 산지구매 및 입찰구매콩식품 가공제조 및 영업,cooperative
37.92725477,127.0292671,참살이에듀팜협동조합법인,경기도 동두천시 안흥로 213,"노숙인 등 취약계층에게 일자리와 사회서비스 등을 제공, 사회통합에 기여하는 사업을 관리, 운영",cooperative
37.89439787,127.0851496,턱거리사람들협동조합,경기도 동두천시 광암로6번길 46,"""만남과 치유""센터 설립,  구성원의 복리증진, 경제의 균형있는 발전",cooperative
37.90265669,127.0671288,하림운수 협동조합,경기도 동두천시 못골로49번길 16,택시운송업,cooperative
