위도,경도,office,name,start_date,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.72739281,126.5444686,public_attorney,신경란행정사,2020-02-07,,,2020-03-12,,김포대학로,78,월곶면,,,
37.60683554,126.7751271,public_attorney,행정사 사무소 단비,2019-12-24,,031-991-1925,2020-03-12,,신곡로,48,고촌읍,,,
37.60517917,126.7275317,public_attorney,한국토지보상행정사사무소,2019-11-18,,031-986-5670,2020-03-12,,양도로,46,,,,
37.61806819,126.716291,public_attorney,행정사최용석사무소,2012-12-31,,031-985-0793,2020-03-12,,봉화로,11,,,,
37.60898678,126.7255189,public_attorney,법률행정 경성 행정사무소,2019-06-10,,,2020-03-12,,양도로19번길,30,,,,
37.67692242,126.622788,public_attorney,베스트 행정사 사무소,2019-09-22,,031-910-0480,2020-03-12,,태장로795번길,23,장기동,,,
37.65216766,126.6239588,public_attorney,논스탑 행정사 사무소,2019-08-28,,031-983-1020,2020-03-12,,양곡1로,15,양촌읍,,,
37.71097194,126.6407468,public_attorney,하사랑 행정사사무소,2012-12-31,,031-982-0447,2020-03-12,,월하로775번길,4,하성면,,,
37.60898678,126.7255189,public_attorney,김형돈 행정사사무소,2019-04-23,,031-996-1135,2020-03-12,,양도로19번길,30,,,,
37.60898678,126.7255189,public_attorney,신승호 행정사 사무소,2019-04-11,,031-996-1135,2020-03-12,,양도로19번길,30,,,,
37.61899398,126.7210665,public_attorney,다솜공인번역행정사사무소,2018-04-20,,,2020-03-12,,김포대로,831,,,,
37.68978073,126.5999086,public_attorney,캄보디아이민행정사,2019-02-27,,031-992-2703,2020-03-12,,조강로,47,통진읍,,,
37.60279333,126.7667902,public_attorney,포윈스컨설팅,2019-01-18,,031-988-3718,2020-03-12,,수기로,8,고촌읍,,,
37.65426683,126.6848213,public_attorney,행정사한명수사무소,2006-07-13,,031-981-8100,2020-03-12,,김포한강1로,247,,,,
37.64371666,126.6101436,public_attorney,황형주행정사,2009-02-06,,,2020-03-12,,대곶남로,648,양촌읍,,,
37.67692242,126.622788,public_attorney,한강 행정사 사무소,2018-05-10,,070-7558-7483,2020-03-12,,사우중로3번길,,,,,
37.60299584,126.7723927,public_attorney,행정타운 행정사사무소,2018-05-16,,031-983-5625,2020-03-12,,은행영사정로23번길,28,고촌읍,,,
37.6448344,126.6271307,public_attorney,리더스 행정사사무소,2018-04-30,,031-987-2473,2020-03-12,,김포한강9로76번길,47,,,,
37.61649273,126.6212745,public_attorney,이월성 법무사세무사행정사사무소,2015-08-13,,031-988-8800,2020-03-12,,황금로,117,양촌읍,,,
37.63574656,126.6771487,public_attorney,해성장창열행정사사무소,2017-11-02,,070-7631-0113,2020-03-12,,태장로,845,,,,
37.6927074,126.5929599,public_attorney,군사협의 전문 행정사,2017-02-14,,070-4146-1450,2020-03-12,,김포대로2270번길,29,통진읍,,,
37.60199441,126.7188092,public_attorney,우리행정사,2004-01-27,,,2020-03-12,,풍무로69번길,51,,,,
37.6507704,126.5835181,public_attorney,국제드림항공행정사사무소,2012-12-28,"경기도 김포시 대곶면 율생로 76, (월드마트)",032-563-0632,2020-03-12,,율생로,76,대곶면,,,
37.60485539,126.7225768,public_attorney,유현진행정사,2003-01-06,,,2020-03-12,,풍무로,104,풍무동,,,
37.65461994,126.6865943,public_attorney,행정사119사무소,2017-04-25,,,2020-03-12,,김포한강11로,288-48,,,,
37.68516175,126.6131465,public_attorney,두리행정사사무소,2017-03-20,,031-984-5959,2020-03-12,,김포대로,2082,통진읍,,,
37.6446967,126.6261361,public_attorney,김포행정사사무소,2017-03-03,,031-997-8852,2020-03-12,,김포한강9로,90,구래동,,,
37.64159099,126.7094395,public_attorney,경기사행정사,2008-08-29,,031-996-3549,2020-03-12,,감암로,117,걸포동,,,
37.71928914,126.6345948,public_attorney,길손행정사,1999-12-24,,031-988-2607,2020-03-12,,하성로,503,하성면,,,
37.69638674,126.6008164,public_attorney,홍충호행정사,2000-09-18,,031-981-0240,2020-03-12,,서암로,127,통진읍,,,
37.61663006,126.7157833,public_attorney,근우행정사,2007-02-01,,031-998-7591,2020-03-12,,사우중로11번길,9,,,,
37.60485539,126.7225768,public_attorney,양도마을행정사,2004-12-30,,,2020-03-12,,풍무로,104,풍무동,,,
37.64432673,126.6677618,public_attorney,NEW KOREA 행정사 사무소,2015-10-14,,031-985-5122,2020-03-12,,김포한강4로,119,,,,
37.64696219,126.6617885,public_attorney,OK행정사사무소,2015-05-15,,,2020-03-12,,김포한강2로,208,,,,
37.60598225,126.7217987,public_attorney,남양행정사무소,2010-10-28,,031-998-5280,2020-03-12,,풍무로,113,,,,
37.59867698,126.7203156,public_attorney,비젼21행정사,2007-08-30,,,2020-03-12,,풍무로,33,,,,
37.66065028,126.6274178,public_attorney,김진섭행정사,2004-11-01,,031-989-3100,2020-03-12,,양곡4로,171,양촌읍,,,
37.62130867,126.7110359,public_attorney,조휘영행정사,2003-07-18,,031-984-4238,2020-03-12,,봉화로,72,사우동,,,
37.61600858,126.7166322,public_attorney,행정사신승옥사무소,2012-12-31,,031-984-4005,2020-03-12,,사우중로,6,사우동,,,
37.61824343,126.7158349,public_attorney,김병욱사무소,2012-12-31,"경기도 김포시 봉화로 15 ,(사우동)",031-983-2392,2020-03-12,,봉화로,15,사우동,,,
37.61862142,126.7157944,public_attorney,남한서사무소,2012-12-17,,031-985-0091,2020-03-12,,봉화로,18,,,,
37.61862142,126.7157944,public_attorney,김병길사무소,2012-11-27,,031-986-1778,2020-03-12,,봉화로,18,사우동,,,
37.59851158,126.7208506,public_attorney,박범희행정사,2008-01-07,,031-997-9823,2020-03-12,,풍무로,34,,,,
37.62221804,126.7134557,public_attorney,이선일행정사,2001-02-08,,,2020-03-12,,돌문로,98-8,사우동,,,
