위도,경도,amenity,operator:type,government,office,name,phone,addr:full,addr:postcode,source:date
35.242586,129.092097,government,government,,,금정구청,051-519-4000,부산광역시 금정구 중앙대로 1777 ,46274,2020-10-01
35.242586,129.092097,hospital,government,,,금정구 보건소,051-519-5051,부산광역시 금정구 중앙대로 1777,46274,2020-10-01
35.272691,129.096107,library,government,,,금정 도서관,051-519-5601,부산광역시 금정구 금정도서관로 33,46213,2020-10-01
35.245866,129.094163,community_centre,government,,,금정 문화회관,051-519-5651,부산광역시 금정구 체육공원로 7,46251,2020-10-01
35.217195,129.103916,community_centre,government,,,금정구 평생학습관,051-714-4231,부산광역시 금정구 서곡로33번길 9,,2020-10-01
35.21832,129.099121,townhall,government,administrative,,서1동 주민센터,051-519-5100,부산광역시 금정구 서부로69번길 17,,2020-10-01
35.212854,129.104483,townhall,government,administrative,,서2동 행정복지센터,051-519-5120,부산광역시 금정구 서동중심로 33,,2020-10-01
35.217195,129.103916,townhall,government,administrative,,서3동 주민센터,051-519-5140,부산광역시 금정구 서곡로33번길 9,,2020-10-01
35.220347,129.111099,townhall,government,administrative,,금사회동동 주민센터,051-519-5180,부산광역시 금정구 금사로85번길 12,,2020-10-01
35.224405,129.092117,townhall,government,administrative,,부곡1동 행정복지센터,051-519-5200,부산광역시 금정구 동부곡로6번길 29,,2020-10-01
35.229826,129.092684,townhall,government,administrative,,부곡2동 주민센터,051-519-5220,부산광역시 금정구 부곡로156번길 7,,2020-10-01
35.240524,129.093806,townhall,government,administrative,,부곡3동 주민센터,051-519-5240,부산광역시 금정구 기찰로 107,,2020-10-01
35.219885,129.088553,townhall,government,administrative,,부곡4동 주민센터,051-519-5260,부산광역시 금정구 부곡로18번안길 37,,2020-10-01
35.237702,129.084924,townhall,government,administrative,,장전1동 행정복지센터,051-519-5280,부산광역시 금정구 수림로71번길 36,,2020-10-01
35.227741,129.080957,townhall,government,administrative,,장전2동 행정복지센터,051-519-5300,부산 금정구 소정로 19,,2020-10-01
35.227484,129.085502,townhall,government,administrative,,장전3동 주민센터,051-519-5320,부산광역시 금정구 금정로 29-6,,2020-10-01
35.298259,129.113328,townhall,government,administrative,,선두구동 주민센터,051-519-5340,부산광역시 금정구 두구죽전1길 13,,2020-10-01
35.275245,129.089854,townhall,government,administrative,,청룡노포동 주민센터,051-519-5360,부산광역시 금정구 청룡로 25,,2020-10-01
35.271645,129.092246,townhall,government,administrative,,남산동 행정복지센터,051-519-5380,부산광역시 금정구 중앙대로2097번길 4,,2020-10-01
35.245147,129.086968,townhall,government,administrative,,구서1동 행정복지센터,051-519-4916,부산광역시 금정구 수림로72번길 123,,2020-10-01
35.255201,129.090574,townhall,government,administrative,,구서2동 주민센터,051-519-5420,부산광역시 금정구 두실로7번길 115,,2020-10-01
35.250261,129.056005,townhall,government,administrative,,금성동 주민센터,051-519-5440,부산광역시 금정구 산성로 452,,2020-10-01
