위도,경도,amenity,operator:type,government,office,name,phone,addr:full,addr:postcode,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.242586,129.092097,government,government,,,금정구청,051-519-4000,,46274,2020-10-01,,중앙대로,1777,,,,
35.242586,129.092097,hospital,government,,,금정구 보건소,051-519-5051,,46274,2020-10-01,,중앙대로,1777,,,,
35.272691,129.096107,library,government,,,금정 도서관,051-519-5601,,46213,2020-10-01,,금정도서관로,33,,,,
35.245866,129.094163,community_centre,government,,,금정 문화회관,051-519-5651,,46251,2020-10-01,,체육공원로,7,,,,
35.217195,129.103916,community_centre,government,,,금정구 평생학습관,051-714-4231,,,2020-10-01,,서곡로33번길,9,,,,
35.21832,129.099121,townhall,government,administrative,,서1동 주민센터,051-519-5100,,,2020-10-01,,서부로69번길,17,,,,
35.212854,129.104483,townhall,government,administrative,,서2동 행정복지센터,051-519-5120,,,2020-10-01,,서동중심로,33,,,,
35.217195,129.103916,townhall,government,administrative,,서3동 주민센터,051-519-5140,,,2020-10-01,,서곡로33번길,9,,,,
35.220347,129.111099,townhall,government,administrative,,금사회동동 주민센터,051-519-5180,,,2020-10-01,,금사로85번길,12,,,,
35.224405,129.092117,townhall,government,administrative,,부곡1동 행정복지센터,051-519-5200,,,2020-10-01,,동부곡로6번길,29,,,,
35.229826,129.092684,townhall,government,administrative,,부곡2동 주민센터,051-519-5220,,,2020-10-01,,부곡로156번길,7,,,,
35.240524,129.093806,townhall,government,administrative,,부곡3동 주민센터,051-519-5240,,,2020-10-01,,기찰로,107,,,,
35.219885,129.088553,townhall,government,administrative,,부곡4동 주민센터,051-519-5260,,,2020-10-01,,부곡로18번안길,37,,,,
35.237702,129.084924,townhall,government,administrative,,장전1동 행정복지센터,051-519-5280,,,2020-10-01,,수림로71번길,36,,,,
35.227741,129.080957,townhall,government,administrative,,장전2동 행정복지센터,051-519-5300,부산 금정구 소정로 19,,2020-10-01,,소정로,19,,,,
35.227484,129.085502,townhall,government,administrative,,장전3동 주민센터,051-519-5320,,,2020-10-01,,금정로,29-6,,,,
35.298259,129.113328,townhall,government,administrative,,선두구동 주민센터,051-519-5340,,,2020-10-01,,두구죽전1길,13,,,,
35.275245,129.089854,townhall,government,administrative,,청룡노포동 주민센터,051-519-5360,,,2020-10-01,,청룡로,25,,,,
35.271645,129.092246,townhall,government,administrative,,남산동 행정복지센터,051-519-5380,,,2020-10-01,,중앙대로2097번길,4,,,,
35.245147,129.086968,townhall,government,administrative,,구서1동 행정복지센터,051-519-4916,,,2020-10-01,,수림로72번길,123,,,,
35.255201,129.090574,townhall,government,administrative,,구서2동 주민센터,051-519-5420,,,2020-10-01,,두실로7번길,115,,,,
35.250261,129.056005,townhall,government,administrative,,금성동 주민센터,051-519-5440,,,2020-10-01,,산성로,452,,,,
35.230192,129.092041,fire_station,government,,,금정 세무서,051-580-6200,,,2020-10-01,,중앙대로,1636,,,,
35.243942,129.092577,fire_station,government,,,금정 소방서,051-760-4713,,,2020-10-01,,중앙대로,1789,,,,
35.243942,129.092577,fire_station,government,,,부곡119 안전센터,051-760-6711,,,2020-10-01,,중앙대로,1789,,,,
35.209032,129.103305,fire_station,government,,,서동119 안전센터,051-760-6721,,,2020-10-01,,반송로,331,,,,
35.261425,129.086883,fire_station,government,,,남산119 안전센터,051-760-6731,,,2020-10-01,,두실로,46,,,,
35.251053,129.050911,fire_station,government,,,산성119 안전센터,051-760-6751,,,2020-10-01,,산성로,396,,,,
35.243942,129.092577,police,government,,,금정 구조대,051-760-6701,,,2020-10-01,,중앙대로,1789,,,,
35.246888,129.091749,police,government,,,금정 경찰서,051-510-0324,,,2020-10-01,,중앙대로,1819,,,,
35.251655,129.096785,police,government,,,범어지구대,051-508-5501,,46221,2020-10-01,,팔송로39길,56,,,,
35.251655,129.096785,police,government,,,구서1치안센터,051-514-8502,,46245,2020-10-01,,금강로415길,8,,,,
35.251655,129.096785,police,government,,,구서2치안센터,051-515-3171,,46231,2020-10-01,,금강로565길,23,,,,
35.228007,129.092291,police,government,,,부곡지구대,051-514-8505,,46271,2020-10-01,,부곡로,136,,,,
35.221599,129.091206,police,government,,,부곡1치안센터,051-514-8504,,46308,2020-10-01,,서동로,9-1,,,,
35.241572,129.094451,police,government,,,부곡3치안센터,051-514-8503,,46253,2020-10-01,,오륜대로,17-1,,,,
35.229074,129.085967,police,government,,,장전지구대,051-514-8508,,46293,2020-10-01,,금정로,49,,,,
35.237087,129.087953,police,government,,,장전1치안센터,051-514-8506,,46284,2020-10-01,,금정로,140,,,,
35.226366,129.078285,police,government,,,장전2치안센터,051-514-8507,,46296,2020-10-01,,금샘로,4,,,,
35.216095,129.116482,police,government,,,서금지구대,051-522-4787,,46334,2020-10-01,,반송로,482-1,,,,
35.21809102,129.096453,police,government,,,서1치안센터,051-523-4887,,46319,2020-10-01,,동현로,126,,,,
35.213114,129.106403,police,government,,,서2치안센터,051-523-1035,,46328,2020-10-01,,서동로194번길,32,,,,
35.2152902,129.102127,police,government,,,서3치안센터,051-522-4786,,46320,2020-10-01,,서동로,141,,,,
35.226642,129.117418,police,government,,,회동치안센터,051-523-7166,,46260,2020-10-01,,금사로,173-1,,,,
35.272339,129.093118,police,government,,,팔송파출소,051-515-3170,,46214,2020-10-01,,중앙대로,2106,,,,
35.244315,129.092198,post_office,government,,,금정 우체국,051-519-6114,,46274,2020-10-01,,중앙대로1793번길,20,,,,
35.249664,129.087764,post_office,government,,,구서동 우체국,051-512-0101,,46232,2020-10-01,,금강로,473,,,,
35.229729,129.084477,post_office,government,,,장전동 우체국,051-582-2005,,46288,2020-10-01,,금강로,241-1,,,,
35.270773,129.090882,post_office,government,,,남산동 우체국,051-514-0608,,46219,2020-10-01,,범어천로52번길,28,,,,
35.222742,129.090601,post_office,government,,,부곡동 우체국,051-517-0572,,46306,2020-10-01,,부곡로,75,,,,
35.21546,129.103398,post_office,government,,,서동 우체국,051-522-2998,,46320,2020-10-01,,서동로149번길,13,,,,
35.216216,129.11146,,government,,government,고용노동부 부산동부지청,051-559-3700,,,2020-10-01,,공단서로,12,,,,
35.242024,129.091442,,government,,government,안전보건공단 부산지역본부,051-520-0510,,,2020-10-01,,중앙대로1763번길,26,,,,
35.242024,129.091442,,government,,government,근로복지공단 부산동부지사,1588-0075,,,2020-10-01,,중앙대로1763번길,26,,,,
35.223327,129.08973,,government,,government,금정구 선거관리위원회,051-514-1960,,46306,2020-10-01,,동현로,12,,,,
