위도,경도,office,name,addr:full,phone,fax,source:date
33.2461142577,126.5914843964,architect,건축사사무소 한빛,제주특별자치도 서귀포시 칠십리로317번길 62,064-733-9780,064-733-9782,2020-03-31
33.3126439561,126.8244343948,architect,건축사사무소 혜윰,제주특별자치도 서귀포시 표선면 표선동서로 76,064-787-7566,064-787-7565,2020-03-31
33.3365860856,126.828777715,architect,정원 건축사사무소,제주특별자치도 서귀포시 표선면 번영로 3497,064-787-2746,064-787-2745,2020-03-31
33.2466288169,126.5620982594,architect,신예 건축사사무소,제주특별자치도 서귀포시 중앙로 22,064-733-0810,064-733-0811,2020-03-31
33.4489825636,126.9152661678,architect,영 건축사사무소,제주특별자치도 서귀포시 성산읍 동류암로 51,064-784-0309,064-784-3309,2020-03-31
33.2572163333,126.5746291854,architect,건축사사무소 이즈건축,제주특별자치도 서귀포시 동홍동로 25,064-732-3262,064-732-3263,2020-03-31
33.2538604202,126.5062065355,architect,건축사사무소 NEW,제주특별자치도 서귀포시 신서로48번길 10,064-739-4810,064-739-6465,2020-03-31
33.2621898785,126.5512042203,architect,해밀종합건축사사무소,제주특별자치도 서귀포시 서홍로161,064-732-2940,064-732-2942,2020-03-31
33.2543560246,126.5478537179,architect,제이엠 건축사사무소,제주특별자치도 서귀포시 일주동로 8810,064-763-1414,064-763-4433,2020-03-31
33.2730153195,126.6521348982,architect,건축사사무소노리디자인,제주특별자치도 서귀포시 남원읍 태위로 41번지 ,,0303-3130-5908,2020-03-31
33.2187327145,126.2514911102,architect,행복 건축사사무소,제주특별자치도 서귀포시 대정읍 하모항구로6번길 29,064-792-1107,064-792-1108,2020-03-31
33.252520171,126.550726655,architect,㈜건축사사무소 더건축,제주특별자치도 서귀포시 일주동로 8777,064-763-2002,064-763-2003,2020-03-31
33.2531400072,126.5556609968,architect,건축사사무소 반디,제주특별자치도 서귀포시 중앙로101번길 50,064-733-9399,064-732-9399,2020-03-31
33.2575217228,126.5605008128,architect,건축사사무소 한일,제주특별자치도 서귀포시 중앙로 144,064-762-0600,064-762-0630,2020-03-31
33.25503556,126.5760546886,architect,건축사사무소 민건축,제주특별자치도 서귀포시 일주동로 8538,064-732-0328,064-732-0329,2020-03-31
33.2543057395,126.5650507844,architect,예성 건축사사무소,제주특별자치도 서귀포시 일주동로 8642,064-733-1617,064-733-1618,2020-03-31
33.2543560246,126.5478537179,architect,건축사사무소 강양,제주특별자치도 서귀포시 일주동로 8810,064-763-1414,064-763-4433,2020-03-31
33.244140636,126.5643461686,architect,숲 건축사사무소,제주특별자치도 서귀포시 솔동산로 7,064-732-2377,064-732-2367,2020-03-31
33.2560537,126.5701697,architect,김상우 건축사사무소,제주특별자치도 서귀포시 동홍중앙로 58-3,064-902-9961,064-902-9962,2020-03-31
33.2602039014,126.6112099085,architect,신도 건축사사무소,제주특별자치도 서귀포시 칠십리로533번길 241,064-733-7478,064-733-7488,2020-03-31
33.2598971577,126.5600683314,architect,건축사사무소 미우,제주특별자치도 서귀포시 중앙로 172,064-762-7975,064-762-7975,2020-03-31
33.254923031,126.5698305972,architect,건축사사무소 초송,제주특별자치도 서귀포시 동홍서로 68,064-733-4117,064-732-4111,2020-03-31
33.2548682984,126.3272334304,architect,산방 건축사사무소,제주특별자치도 서귀포시 안덕면 화순문화로22번길 17,064-792-3811,064-792-3809,2020-03-31
33.2520432971,126.5080988657,architect,김한준 건축사사무소,제주특별자치도 서귀포시 신중남로 3,064-739-8003,064-739-8005,2020-03-31
33.2513961,126.5760608,architect,올레 건축사사무소,제주특별자치도 서귀포시 태평로536번길 21,064-763-3357,064-763-3358,2020-03-31
33.2629947338,126.5678160642,architect,피엔디 건축사사무소,제주특별자치도 서귀포시 동홍로162번길 3,064-805-9007,064-805-9008,2020-03-31
33.4505197355,126.9143688448,architect,건축사사무소 대창,제주특별자치도 서귀포시 성산읍 고성동서로 66,064-782-5317,051-980-7970,2020-03-31
33.2517026019,126.5597603189,architect,㈜건축사사무소 이담,제주특별자치도 서귀포시 서문로 12,064-733-9993,064-733-9994,2020-03-31
33.2633470512,126.5586161141,architect,건축사사무소가온,제주특별자치도 서귀포시 중앙로 209,064-732-6451,064-733-6451,2020-03-31
33.2500610295,126.5721683006,architect,온 건축사사무소,제주특별자치도 서귀포시 태평로 506,064-732-0075,064-732-1375,2020-03-31
33.2272095957,126.256241361,architect,호암종합건축사사무소,제주특별자치도 서귀포시 대정읍 동일하모로 227-20,064-805-3007,064-805-3008,2020-03-31
