위도,경도,office,name,addr:full,phone,fax,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2461142577,126.5914843964,architect,건축사사무소 한빛,,+82 64 733 9780,+82 64 733 9782,2020-03-31,,칠십리로317번길,62,,,,
33.3126439561,126.8244343948,architect,건축사사무소 혜윰,,+82 64 787 7566,+82 64 787 7565,2020-03-31,,표선동서로,76,표선면,,,
33.3365860856,126.828777715,architect,정원 건축사사무소,,+82 64 787 2746,+82 64 787 2745,2020-03-31,,번영로,3497,표선면,,,
33.2466288169,126.5620982594,architect,신예 건축사사무소,,+82 64 733 0810,+82 64 733 0811,2020-03-31,,중앙로,22,,,,
33.4489825636,126.9152661678,architect,영 건축사사무소,,+82 64 784 0309,+82 64 784 3309,2020-03-31,,동류암로,51,성산읍,,,
33.2572163333,126.5746291854,architect,건축사사무소 이즈건축,,+82 64 732 3262,+82 64 732 3263,2020-03-31,,동홍동로,25,,,,
33.2538604202,126.5062065355,architect,건축사사무소 NEW,,+82 64 739 4810,+82 64 739 6465,2020-03-31,,신서로48번길,10,,,,
33.2621898785,126.5512042203,architect,해밀종합건축사사무소,제주특별자치도 서귀포시 서홍로161,+82 64 732 2940,+82 64 732 2942,2020-03-31,,,,,,,
33.2543560246,126.5478537179,architect,제이엠 건축사사무소,,+82 64 763 1414,+82 64 763 4433,2020-03-31,,일주동로,8810,,,,
33.2730153195,126.6521348982,architect,건축사사무소노리디자인,제주특별자치도 서귀포시 남원읍 태위로 41번지 ,,+82 303 3130 5908,2020-03-31,,태위로,,남원읍,,,
33.2187327145,126.2514911102,architect,행복 건축사사무소,,+82 64 792 1107,+82 64 792 1108,2020-03-31,,하모항구로6번길,29,대정읍,,,
33.252520171,126.550726655,architect,㈜건축사사무소 더건축,,+82 64 763 2002,+82 64 763 2003,2020-03-31,,일주동로,8777,,,,
33.2531400072,126.5556609968,architect,건축사사무소 반디,,+82 64 733 9399,+82 64 732 9399,2020-03-31,,중앙로101번길,50,,,,
33.2575217228,126.5605008128,architect,건축사사무소 한일,,+82 64 762 0600,+82 64 762 0630,2020-03-31,,중앙로,144,,,,
33.25503556,126.5760546886,architect,건축사사무소 민건축,,+82 64 732 0328,+82 64 732 0329,2020-03-31,,일주동로,8538,,,,
33.2543057395,126.5650507844,architect,예성 건축사사무소,,+82 64 733 1617,+82 64 733 1618,2020-03-31,,일주동로,8642,,,,
33.2543560246,126.5478537179,architect,건축사사무소 강양,,+82 64 763 1414,+82 64 763 4433,2020-03-31,,일주동로,8810,,,,
33.244140636,126.5643461686,architect,숲 건축사사무소,,+82 64 732 2377,+82 64 732 2367,2020-03-31,,솔동산로,7,,,,
33.2560537,126.5701697,architect,김상우 건축사사무소,,+82 64 902 9961,+82 64 902 9962,2020-03-31,,동홍중앙로,58-3,,,,
33.2602039014,126.6112099085,architect,신도 건축사사무소,,+82 64 733 7478,+82 64 733 7488,2020-03-31,,칠십리로533번길,241,,,,
33.2598971577,126.5600683314,architect,건축사사무소 미우,,+82 64 762 7975,+82 64 762 7975,2020-03-31,,중앙로,172,,,,
33.254923031,126.5698305972,architect,건축사사무소 초송,,+82 64 733 4117,+82 64 732 4111,2020-03-31,,동홍서로,68,,,,
33.2548682984,126.3272334304,architect,산방 건축사사무소,,+82 64 792 3811,+82 64 792 3809,2020-03-31,,화순문화로22번길,17,안덕면,,,
33.2520432971,126.5080988657,architect,김한준 건축사사무소,,+82 64 739 8003,+82 64 739 8005,2020-03-31,,신중남로,3,,,,
33.2513961,126.5760608,architect,올레 건축사사무소,,+82 64 763 3357,+82 64 763 3358,2020-03-31,,태평로536번길,21,,,,
33.2629947338,126.5678160642,architect,피엔디 건축사사무소,,+82 64 805 9007,+82 64 805 9008,2020-03-31,,동홍로162번길,3,,,,
33.4505197355,126.9143688448,architect,건축사사무소 대창,,+82 64 782 5317,+82 51 980 7970,2020-03-31,,고성동서로,66,성산읍,,,
33.2517026019,126.5597603189,architect,㈜건축사사무소 이담,,+82 64 733 9993,+82 64 733 9994,2020-03-31,,서문로,12,,,,
33.2633470512,126.5586161141,architect,건축사사무소가온,,+82 64 732 6451,+82 64 733 6451,2020-03-31,,중앙로,209,,,,
33.2500610295,126.5721683006,architect,온 건축사사무소,,+82 64 732 0075,+82 64 732 1375,2020-03-31,,태평로,506,,,,
33.2272095957,126.256241361,architect,호암종합건축사사무소,,+82 64 805 3007,+82 64 805 3008,2020-03-31,,동일하모로,227-20,대정읍,,,
33.2548554026,126.5678523844,architect,건축사사무소 지인건축,,+82 64 762 4578,+82 64 763 6260,2020-03-31,,일주동로,8614,,,,
33.2530910639,126.5620449952,architect,건축사사무소 미루,,+82 64 767 4441,+82 64 767 4443,2020-03-31,,일주동로,8671,,,,
33.2507749456,126.5615044453,architect,건축사사무소 웅지,,+82 64 762 4285,+82 64 732 4285,2020-03-31,,중앙로,70,,,,
33.253651757,126.5606560455,architect,오제호 건축사사무소,,+82 64 733 3553,+82 64 763 3663,2020-03-31,,중앙로101번길,1,,,,
33.255456616,126.506922571,architect,위드에이 건축사사무소,,+82 64 739 9663,+82 64 739 9664,2020-03-31,,신서로52번길,24,,,,
33.2524785027,126.5582483892,architect,건축사사무소 도원,제주특별자치도 서귀포시 일주동로8707,+82 64 733 0517,+82 64 763 0578,2020-03-31,,,,,,,
33.2589844073,126.5685253356,architect,건축사사무소 이오공간,,+82 64 748 3009,+82 64 757 3009,2020-03-31,,동홍로,116,,,,
33.2590007501,126.5722378439,architect,건축사사무소 생활공간,,+82 64 805 0007,+82 64 805 0009,2020-03-31,,동홍중앙로,94,,,,
33.2538534244,126.5630282525,architect,건축사사무소 휘,,+82 64 767 0904,+82 64 733 0904,2020-03-31,,일주동로,8660,,,,
33.2513712058,126.5567011928,architect,건축사사무소 부건축,,+82 64 762 5222,+82 64 762 5223,2020-03-31,,서문로38번길,23-1,,,,
33.2481191687,126.561548505,architect,건축사사무소 나우,,+82 64 763 2555,+82 64 763 5580,2020-03-31,,중앙로,39,,,,
33.2553693462,126.5718447408,architect,건축사사무소 이현건축 ,,+82 64 762 3142,+82 64 762 3143,2020-03-31,,동홍중앙로51번길,2,,,,
33.2554384813,126.5765789059,architect,조은 건축사사무소 ,제주특별자치도 서귀포시 동홍중앙로 52번길 41,+82 64 732 5484,+82 64 732 5485,2020-03-31,,동홍중앙로,41,,,,
33.2558394736,126.57542634,architect,피아이 건축사사무소,,+82 64 902 1922,+82 64 900 7021,2020-03-31,,동홍중앙로66번길,30-7,,,,
33.2488167938,126.5694814016,architect,삼 건축사사무소,,+82 64 733 0656,+82 64 733 0657,2020-03-31,,중정로,123,,,,
