경도,위도,landuse,industrial,amenity,시설종류,name,addr:full,source:date
126.7457265,37.80687394,industrial,factory,,유해화학물질 취급시설,엑스탈테크놀로지 주식회사,경기도 파주시  축현산단로 63-24,2020-05-01
126.8002047,37.84668789,industrial,factory,,유해화학물질 취급시설,국제케미칼,경기도 파주시  분수리 94-30,2020-05-01
126.7360449,37.80991501,industrial,factory,,유해화학물질 취급시설,주식회사 유성에스티,경기도 파주시  웅지로 44-60,2020-05-01
126.7543718,37.8154709,industrial,factory,,유해화학물질 취급시설,대성산업가스(주)파주공장(휴업),경기도 파주시  엘씨디로 284,2020-05-01
126.8002047,37.84668789,industrial,factory,,유해화학물질 취급시설,파주에너지서비스,"경기도 파주시  봉암리544-4,1층",2020-05-01
126.8159344,37.88906706,industrial,factory,,유해화학물질 취급시설,영훈산업 주식회사,경기도 파주시  장승배기로268번길 1,2020-05-01
126.8479199,37.76656973,industrial,factory,,유해화학물질 취급시설,SOLATEX(쏠라텍스),경기도 파주시 수레길332,2020-05-01
126.7823443,37.83972034,industrial,factory,,유해화학물질 취급시설,LG이노텍㈜,경기도 파주시 휴암로570,2020-05-01
126.8249785,37.77395692,industrial,factory,,유해화학물질 취급시설,거성화이바,경기도 파주시  매봉재길 99-67,2020-05-01
126.7357873,37.70490138,industrial,factory,,유해화학물질 취급시설,㈜하이테크에스씨,경기도 파주시 덕이로292번길 34-49,2020-05-01
126.7775598,37.83430095,industrial,factory,,유해화학물질 취급시설,㈜LG화학 파주공장,경기도 파주시 휴암로 477,2020-05-01
126.7070842,37.77741779,industrial,factory,,유해화학물질 취급시설,시그네틱스㈜,경기도 파주시 평화로 711,2020-05-01
126.7333611,37.81012947,industrial,factory,,유해화학물질 취급시설,(주)리켐,경기도 파주시 웅지로44-37(축현리242-20번지),2020-05-01
126.7756749,37.75848996,industrial,factory,,유해화학물질 취급시설,영인상사,경기도 파주시 금촌동772-1,2020-05-01
126.8284281,37.77258567,industrial,factory,,유해화학물질 취급시설,㈜자산유리,경기도 파주시 등원로 313,2020-05-01
126.8869389,37.7712511,industrial,factory,,유해화학물질 취급시설,유아이엘주식회사,경기도 파주시 보광로869-71,2020-05-01
126.7959277,37.75805869,industrial,factory,,유해화학물질 취급시설,(주)정우페인팅,경기도 파주시 통일로537,2020-05-01
126.7269578,37.77691317,industrial,factory,,유해화학물질 취급시설,지오TSC,경기도 파주시 방촌로348번길26,2020-05-01
126.6880238,37.79613702,industrial,factory,,유해화학물질 취급시설,어플라이드사이언스 주식회사,경기도 파주시 새오리로 130-3                                      ,2020-05-01
126.8672219,37.76162992,industrial,factory,,유해화학물질 취급시설,주식회사 랜드마크코리아,경기도 파주시 장지산로368번길 25-11,2020-05-01
126.7448033,37.80304393,industrial,factory,,유해화학물질 취급시설,㈜코프론케미칼,경기도 파주시 축현산단로88-20,2020-05-01
126.8086023,37.85935082,industrial,factory,,유해화학물질 취급시설,솔브레인멤시스㈜,경기도 파주시 돈유2로35,2020-05-01
126.756818,37.81588414,industrial,factory,,유해화학물질 취급시설,엘지디스플레이주식회사,경기도 파주시 엘지로245,2020-05-01
126.8002047,37.84668789,industrial,factory,,유해화학물질 취급시설,주식회사 티엠에스 월롱공장,경기도 파주시  황소바위길 187-6,2020-05-01
126.8334819,37.91466775,industrial,factory,,유해화학물질 취급시설,주식회사 티엠에스 파평공장,경기도 파주시  청송로 90,2020-05-01
126.8086023,37.85935082,industrial,factory,,유해화학물질 취급시설,주식회사 프로웰,경기도 파주시 돈유2로 35,2020-05-01
126.6928141,37.79362241,industrial,factory,,유해화학물질 취급시설,일야CS㈜,경기도 파주시 한록산길 49,2020-05-01
126.8572184,37.85711117,industrial,factory,,유해화학물질 취급시설,(주)미래화학,경기도 파주시 가좌울길131-48,2020-05-01
126.7697904,37.76296076,industrial,factory,,유해화학물질 취급시설,명페인트방수,경기도 파주시 금촌동 928-3,2020-05-01
126.7029009,37.73416932,industrial,factory,,유해화학물질 취급시설,주식회사 켐플러스,경기도 파주시 소라지로 75-16,2020-05-01
126.8214073,37.74073741,industrial,factory,,유해화학물질 취급시설,킴스케미칼,경기도 파주시 삼태기말길52,2020-05-01
126.8494103,37.76853945,industrial,factory,,유해화학물질 취급시설,한독산업,경기도 파주시 수레길382,2020-05-01
126.7776347,37.73798552,industrial,factory,,유해화학물질 취급시설,시제이테크㈜,경기도 파주시 운정역길9,2020-05-01
126.9087836,37.97143919,industrial,factory,,유해화학물질 취급시설,주식회사 창대핫멜시트,경기도 파주시  적성산단1로 21-14,2020-05-01
126.9084398,37.96775101,industrial,factory,,유해화학물질 취급시설,주식회사 하성,경기도 파주시  적성산단2로 11,2020-05-01
126.7662517,37.76829374,industrial,factory,,유해화학물질 취급시설,대일종합상사,경기도 파주시 평화로130,2020-05-01
126.7696083,37.76367966,industrial,factory,,유해화학물질 취급시설,삼화페인트,경기도 파주시 평화로69,2020-05-01
126.7710229,37.72270795,industrial,factory,,유해화학물질 취급시설,한진페인트상사,경기도 파주시 운정안길86-3,2020-05-01
126.7957892,37.76170632,industrial,factory,,유해화학물질 취급시설,도마루,경기도 파주시 통일로576,2020-05-01
126.775393,37.7659563,industrial,factory,,유해화학물질 취급시설,칼라뱅크,경기도 파주시 새꽃로207,2020-05-01
126.7803939,37.85744957,industrial,factory,,유해화학물질 취급시설,대흥상사,경기도 파주시 문산로11,2020-05-01
126.7875364,37.77227158,industrial,factory,,유해화학물질 취급시설,주안페인트상사,경기도 파주시 아동로 147,2020-05-01
126.8507955,37.77951813,industrial,factory,,유해화학물질 취급시설,신도상사,경기도 파주시 혜음로1082,2020-05-01
126.816667,37.83182579,industrial,factory,,유해화학물질 취급시설,페인트클럽,경기도 파주시 우계로 55,2020-05-01
126.7333422,37.70597439,industrial,factory,,유해화학물질 취급시설,동일화학경기도사업소,경기도 파주시 동패리299-12,2020-05-01
126.7321267,37.70542975,industrial,factory,,유해화학물질 취급시설,평화페인트상사,경기도 파주시 동패리299-10,2020-05-01
126.7424497,37.78579194,industrial,factory,,유해화학물질 취급시설,한국화학상사,경기도 파주시 검산로130-37,2020-05-01
126.7914097,37.7721041,industrial,factory,,유해화학물질 취급시설,153TECH,경기도 파주시 통일로690번길 31-6,2020-05-01
