위도,경도,man_made,product,name,addr:full,제조장소재지지번주소,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.74356038,126.613311,work,fertilizer,자연애,,경기도 김포시 하성면 가금리 404-2,+82 31 998 0329,2020-02-20,,가금로228번길,75,하성면,,,
37.67778268,126.5589954,work,fertilizer,청솔산업,,경기도 김포시 대곶면 석정리 239-10,+82 31 982 1842,2020-02-20,,대곶로382번길,115,대곶면,,,
37.67778268,126.5589954,work,fertilizer,청솔산업,,경기도 김포시 대곶면 석정리 239-10,+82 31 982 1842,2020-02-20,,대곶로382번길,115,대곶면,,,
37.70814124,126.5556639,work,fertilizer,김포퇴비,,경기도 김포시 월곶면 군하리 323,+82 31 987 1882,2020-02-20,,김포대로2659번길,39,월곶면,,,
37.6059927,126.5642762,work,fertilizer,청용비료,,경기도 김포시 대곶면 대벽리 798,+82 31 989 4420,2020-02-20,,약암로,522-36,대곶면,,,
37.67056979,126.569699,work,fertilizer,선풍산업,,경기도 김포시 대곶면 석정리 111-19,+82 31 988 4054,2020-02-20,,대곶북로305번길,167,대곶면,,,
37.61628731,126.5624814,work,fertilizer,신기원예산업,,경기도 김포시 대곶면 대벽리 999,,2020-02-20,,약암로,598-180,대곶면,,,
37.68829023,126.539371,work,fertilizer,금화농장,,경기도 김포시 월곶면 고양리 627,+82 31 989 9973,2020-02-20,,고양로,183-105,월곶면,,,
37.67086886,126.5499024,work,fertilizer,장락농장,,경기도 김포시 대곶면 쇄암리 445-4,,2020-02-20,,대곶로321번길,104,대곶면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.69878605,126.6463867,work,fertilizer,주식회사 한농코리아,,경기도 김포시 하성면 봉성리 4-5,+82 31 996 5631,2020-02-20,,봉성로,125-1,하성면,,,
37.60484382,126.564638,work,fertilizer,김포축산업협동조합,,경기도 김포시 대곶면 대벽리 819,+82 31 989 9380,2020-02-20,,약암로,522-38,대곶면,,,
37.72326265,126.5514912,work,fertilizer,후인바이오,,경기도 김포시 월곶면 고막리 384-1,+82 31 997 4565,2020-02-20,,용강로37번길,76-47,월곶면,,,
37.70286852,126.5988462,work,fertilizer,더쎈,,경기도 김포시 통진읍 서암리 235-1,+82 70 4741 0334,2020-02-20,,서암로183번길,97,통진읍,,,
37.68987833,126.5366528,work,fertilizer,미래산업,,경기도 김포시 월곶면 고양리 225-30,+82 31 944 1170,2020-02-20,,고양로,183-68,월곶면,,,
37.68987833,126.5366528,work,fertilizer,미래산업,,경기도 김포시 월곶면 고양리 225-30,+82 31 944 1170,2020-02-20,,고양로,183-68,월곶면,,,
37.66672059,126.6326446,work,fertilizer,정인바이오,,경기도 김포시 양촌읍 양곡리 114-5,+82 31 671 5091,2020-02-20,,양곡2로,134-126,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,리더스케미컬,,경기도 김포시 양촌읍 학운리 445-92번지 2호,+82 2 3488 5826,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,리더스케미컬,,경기도 김포시 양촌읍 학운리 445-92번지 2호,+82 2 3488 5826,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,리더스케미컬,,경기도 김포시 양촌읍 학운리 445-92번지 2호,+82 2 3488 5826,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,케이유,,경기도 김포시 양촌읍 학운리 445-92,+82 31 302 3831,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,케이유,,경기도 김포시 양촌읍 학운리 445-92,+82 31 302 3831,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,케이유,,경기도 김포시 양촌읍 학운리 445-92,+82 31 302 3831,2020-02-20,,황금로273번길,31,양촌읍,,,
37.60982329,126.6065155,work,fertilizer,케이유,,경기도 김포시 양촌읍 학운리 445-92,+82 31 302 3831,2020-02-20,,황금로273번길,31,양촌읍,,,
,,,,㈜마이크로바이오텍,,경기도 김포시 양촌읍 학운산단2로 53-37 2동 2호,,2020-02-20,,학운산단2로,53-37,양촌읍,,,2
,,,,주식회사 네이처이온에너지,,경기도 김포시 하성면 봉성리 36-13,+82 31 987 2149,2020-02-20,,봉성로,125-1,하성면,,,
