위도,경도,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.846676,128.593345,대백할인마트,053-472-6117,대구광역시 남구 봉덕로 5길30,2020-06-24,,봉덕로,,,,,
35.847323,128.593978,한아름마트,053-472-0113,대구광역시 남구 중앙대로 32길60,2020-06-24,,중앙대로,,,,,
35.843606,128.601056,에이플러스마트,053-475-7960,대구광역시 남구 봉덕로 20길21,2020-06-24,,봉덕로,,,,,
35.842192,128.600187,진주할인마트,053-471-0867,대구광역시 남구 중앙대로 22길174,2020-06-24,,중앙대로,,,,,
35.838799,128.594886,원마트,053-475-1006,대구광역시 남구 삼정 2길32,2020-06-24,,,,,,,
35.856074,128.595491,오케이마트,053-473-3909,대구광역시 남구 명덕로228-17,2020-06-24,,,,,,,
35.842506,128.579617,파워마트남부점,053-628-5675,,2020-06-24,,현충로,107,,,,
35.844235,128.575717,대경할인마트,053-624-7552,대구광역시 남구 현충로 25길71,2020-06-24,,현충로,,,,,
35.840894,128.577468,K할인마트 정우점,053-624-7175,대구광역시 남구 장전 3길96,2020-06-24,,,,,,,
35.853063,128.592623,새마을슈퍼,053-472-0397,대구광역시 남구 영선시장 2길70-2,2020-06-24,,,,,,,
35.852397,128.592138,영선만물상회,053-474-2943,대구광역시 남구 중앙대로 48길24,2020-06-24,,중앙대로,,,,,
35.852338,128.592938,대경할인마트,053-471-1370,대구광역시 남구 중앙대로 48길36,2020-06-24,,중앙대로,,,,,
35.855573,128.588062,원마트,053-627-7010,대구광역시 남구 중앙대로 49길46,2020-06-24,,중앙대로,,,,,
35.852028,128.578877,승우할인마트,053-213-1462,대구광역시 남구 계명 8길35,2020-06-24,,,,,,,
35.850363,128.580799,하나로마트,053-626-5034,,2020-06-24,,현충로,195,,,,
35.853722,128.583516,파워마트대명점,053-621-5544,,2020-06-24,,현충로,236,,,,
35.855779,128.584163,하나로마트,053-622-2092,대구광역시 남구 명덕로 26길14,2020-06-24,,명덕로,,,,,
35.848159,128.570632,원마트,053-652-9087,,2020-06-24,,성당시장길,48,,,,
35.844713,128.568175,봉화할인마트,053-621-2111,대구광역시 남구 두류공원로 17길42,2020-06-24,,두류공원로,,,,,
35.844954,128.586239,코사마트대구유통,053-621-7066,대구광역시 남구 대명로 53길45,2020-06-24,,대명로,,,,,
35.838987,128.566123,팜스마트,053-656-5711,대구광역시 남구 대명로78,2020-06-24,,,,,,,
35.836956,128.568174,대구할인마트,053-654-7451,대구광역시 남구 대명로 20길51,2020-06-24,,대명로,,,,,
35.837593,128.564848,아름다운마트,053-621-6550,대구광역시 남구 대명로 14길31-2,2020-06-24,,대명로,,,,,
35.836219,128.583511,원마트,053-654-6477,,2020-06-24,,큰골길,135,,,,
35.837334,128.583092,성주할인,053-621-9356,대구광역시 남구 자유1길86,2020-06-24,,,,,,,
35.837569,128.582152,대한할인마트,053-625-4145,대구광역시 남구 큰골5길26,2020-06-24,,,,,,,
35.837035,128.579982,우리할인슈퍼,053-627-4829,,2020-06-24,,큰골길,69,,,,
35.840598,128.567641,코사마트만물점,053-621-2640,,2020-06-24,,19길,23,,,,
35.837035,128.559179,홈마트관문점,053-627-1228,대구광역시 남구 관문시장 1길17,2020-06-24,,,,,,,
35.837548,128.561248,우리마트성당점,053-654-9234,,2020-06-24,,골안길,18,,,,
35.833766,128.564783,홈마트-빨래터,053-623-0622,대구광역시 남구 대명로14길122-2,2020-06-24,,,,,,,
