위도,경도,name,addr:full,start_date,source:date,sells:tobacco,branch
33.2707830612,126.6473341275,S.J골프,제주특별자치도 서귀포시 남원읍 일주동로 7825,2004-07-23,2020-06-25,yes,
33.2512151072,126.4128222348,GS25 중문단지점,제주특별자치도 서귀포시 중문관광로110번길 32 ,2016-06-13,2020-06-25,yes,중문단지점
33.2545566346,126.5200182128,(주)글로벌에이엠시 콘쿱 서호점,제주특별자치도 서귀포시 서호중앙로 84 ,2018-11-02,2020-06-25,yes,
33.2789787256,126.3942293864,(주)대유산업,제주특별자치도 서귀포시 상예로 381  ,2010-05-03,2020-06-25,yes,
33.4091679458,126.7705343183,(주)동부레져,제주특별자치도 서귀포시 표선면 번영로 2454,2011-02-22,2020-06-25,yes,
33.247252244,126.5668471287,(주)두레,제주특별자치도 서귀포시 명동로 46 ,2018-02-26,2020-06-25,yes,
33.2674677722,126.3768959847,(주)레이크힐스골프텔제주,제주특별자치도 서귀포시 존제로 24  ,2001-12-29,2020-06-25,yes,
33.3228717542,126.8449556046,(주)비지에프리테일 해비치리조트점,제주특별자치도 서귀포시 표선면 민속해안로 537,2019-07-18,2020-06-25,yes,
33.4260310216,126.9264485043,(주)비지에프휴먼넷 벨라테라스점,제주특별자치도 서귀포시 성산읍 섭지코지로 107,2013-01-22,2020-06-25,yes,
33.3819460664,126.8419921248,(주)삼영관광,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,2002-05-29,2020-06-25,yes,
33.2577855898,126.4134736939,(주)세븐일레븐서귀포색달점,제주특별자치도 서귀포시 색달중앙로 25 ,2011-03-18,2020-06-25,yes,
33.2422840907,126.5182612268,(주)신성리조트,제주특별자치도 서귀포시 이어도로 989  ,2009-01-30,2020-06-25,yes,
33.2881159281,126.4142155758,(주)아코스롯데리조트제주 아트빌라스점,제주특별자치도 서귀포시 색달중앙로252번길 124 ,2020-06-03,2020-06-25,yes,
33.2443543103,126.4225680271,(주)에스씨랜드,제주특별자치도 서귀포시 중문관광로 227-20  ,2006-06-15,2020-06-25,yes,
33.2434188577,126.4509354343,(주)웰,제주특별자치도 서귀포시 이어도로 297  ,2008-05-21,2020-06-25,yes,
