위도,경도,tourism,amenity,bath:type,name,addr:full,operator,phone,website,,,,,rooms
35.442052,127.828592,motel,,,동의본가힐링타운,경상남도 산청군 금서면 동의보감로479번길 57,최주리,055-972-1318,,,,,,12
35.441061,127.827488,motel,,,항노화힐링누리원,경상남도 산청군 금서면 동의보감로555번길 58,곽기업,055-974-5355,,,,,,12
35.427098,127.848816,motel,,,티(T)모텔,경상남도 산청군 금서면 친환경로2451번길 133-7,윤계자,055-974-0949,,,,,,10
35.417768,127.863627,motel,,,실크로드모텔,경상남도 산청군 금서면 친환경로2533번길 4,최필영,055-973-6199,,,,,,18
35.261952,127.936154,motel,,,아이리스모텔,경상남도 산청군 단성면 목화로 139-13,이필옥,055-974-0606,,,,,,14
35.264496,127.935414,motel,,,리오모텔,경상남도 산청군 단성면 목화로 96-9,백정흠,055-972-0019,,,,,,18
35.295282,127.883555,motel,,,영산산장펜션,경상남도 산청군 단성면 백운로51번길 228,조한진,055-973-4637,,,,,,7
35.270546,127.886788,motel,,,지리산 가는길 모텔,경상남도 산청군 단성면 지리산대로 2316,정연주,,,,,,,12
35.280253,127.903193,motel,,,별바라기모텔,경상남도 산청군 단성면 지리산대로 2641,정호정,055-974-3400,,,,,,16
35.272111,127.917866,motel,,,숲모텔,경상남도 산청군 단성면 지리산대로2705번길 24-4,김시진,,,,,,,17
35.30241,127.964269,motel,,,단성모텔,경상남도 산청군 단성면 지리산대로3362번길 17,최정자,055-973-6616,,,,,,15
35.340559,127.907246,motel,,,청계산장,경상남도 산청군 단성면 호암로 915,허화임,,,,,,,12
35.41227,127.878971,motel,,,킹모텔,경상남도 산청군 산청읍 꽃봉산로 132,최윤자,055-973-7645,,,,,,32
35.414135,127.872648,motel,,,산청파크장,경상남도 산청군 산청읍 웅석봉로 38,이현실,055-973-6840,,,,,,22
35.415278,127.876579,motel,,,휴엔조이,경상남도 산청군 산청읍 중앙로 130,양호경,055-974-8883,,,,,,20
35.415278,127.876579,motel,,,유(u)모텔,경상남도 산청군 산청읍 중앙로 136,유현지,055-973-0200,,,,,,19
35.416182,127.876211,motel,,,경호장여관,경상남도 산청군 산청읍 친환경로 2674-10,권용순,055-973-2625,,,,,,7
35.416548,127.878104,motel,,,리앙스모텔,경상남도 산청군 산청읍 친환경로 2674-5,박문상,055-972-7756,,,,,,20
35.417276,127.875881,motel,,,영남장여관,경상남도 산청군 산청읍 친환경로 2683,김옥연,055-972-6767,,,,,,13
35.412306,127.883267,motel,,,W모텔,경상남도 산청군 산청읍 친환경로2720번길 106-24,조수진,055-974-6652,,,,,,18
35.337344,127.836605,motel,,,늘푸른가든궁전여관,경상남도 산청군 삼장면 친환경로 801,박정기,055-972-9778,,,,,,12
35.36296,128.063367,motel,,,양천장여관,경상남도 산청군 생비량면 비량로411번길 2-5,하형근,055-972-2540,,,,,,15
35.356961,128.072304,motel,,,산장파크여관,경상남도 산청군 생비량면 지리산대로 4733-9,최기봉,055-973-6500,,,,,,17
35.355945,128.072731,motel,,,스타모텔2,경상남도 산청군 생비량면 지리산대로 4739,문정선,055-974-1059,,,,,,11
35.356069,128.075433,motel,,,스타모텔,경상남도 산청군 생비량면 지리산대로 4741-5,김인자,055-972-3302,,,,,,14
35.346548,128.079063,motel,,,리베라모텔,경상남도 산청군 생비량면 진산로 2180,정성임,055-974-2244,,,,,,12
35.346548,128.079063,motel,,,리베라2,경상남도 산청군 생비량면 진산로 2180,최기봉,055-974-2245,,,,,,8
35.343156,128.067431,motel,,,필모텔,경상남도 산청군 생비량면 태봉로 119,김영수,070-4200-5933,,,,,,9
35.492657,127.83199,motel,,,백만장여관,경상남도 산청군 생초면 산수로 1038,이응남,055-973-1661,,,,,,10
35.276982,127.83867,motel,,,덕산장여관,경상남도 산청군 시천면 남명로 220-2,김점남,055-972-8610,,,,,,13
35.276849,127.837242,motel,,,삼보파크텔,경상남도 산청군 시천면 남명로200번길 13,박정임,055-972-9200,,,,,,15
35.229896,127.788204,motel,,,서지관광농원여관,경상남도 산청군 시천면 반천로 211-102,노현섭,055-972-1451,,,,,,14
35.29141,127.748565,motel,,,지리산장모텔,경상남도 산청군 시천면 지리산대로 1305-7,백준봉,055-973-0868,,,,,,17
35.24338,127.803192,motel,,,젠모텔,경상남도 산청군 시천면 지리산대로 1346,김정미,055-973-6001,,,,,,15
35.291416,127.755628,motel,,,지리산계곡호텔,경상남도 산청군 시천면 지리산대로 555,최재경,055-972-1441,,,,,,18
35.289001,127.759005,motel,,,지리산대웅모텔,경상남도 산청군 시천면 지리산대로 605,홍종순,055-973-8181,,,,,,17
35.286038,127.751335,motel,,,지리산대경숙박,경상남도 산청군 시천면 지리산대로 855,김순덕,,,,,,,15
35.295852,127.754269,motel,,,지리산뷰캐슬펜션,경상남도 산청군 시천면 지리산대로511번길 11-20,김홍연,055-973-2250,,,,,,17
35.297338,127.753573,motel,,,지리산리조트 주식회사,경상남도 산청군 시천면 지리산대로511번길 11-31,홍일근,055-711-7015,,,,,,3
35.297405,127.754358,motel,,,지리산통나무산장,경상남도 산청군 시천면 지리산대로511번길 11-36,김영부,055-973-0666,,,,,,8
35.302992,127.969386,motel,,,경호파크장,경상남도 산청군 신안면 원지강변로 21,이민선,055-973-5204,,,,,,11
35.302869,127.967246,motel,,,포유,경상남도 산청군 신안면 원지강변로 23,강나리,055-974-0019,,,,,,26
35.302325,127.967023,motel,,,동궁모텔,경상남도 산청군 신안면 원지강변로 31,최규연,055-973-5750,,,,,,13
35.30217,127.969178,motel,,,초원파크,경상남도 산청군 신안면 원지강변로 33,옥삼돌,055-973-8253,,,,,,19
