위도,경도,tourism,amenity,bath:type,name,addr:full,operator,phone,website,,,,,rooms,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.442052,127.828592,motel,,,동의본가힐링타운,,최주리,055-972-1318,,,,,,12,,동의보감로479번길,57,금서면,,,
35.441061,127.827488,motel,,,항노화힐링누리원,,곽기업,055-974-5355,,,,,,12,,동의보감로555번길,58,금서면,,,
35.427098,127.848816,motel,,,티(T)모텔,,윤계자,055-974-0949,,,,,,10,,친환경로2451번길,133-7,금서면,,,
35.417768,127.863627,motel,,,실크로드모텔,,최필영,055-973-6199,,,,,,18,,친환경로2533번길,4,금서면,,,
35.261952,127.936154,motel,,,아이리스모텔,,이필옥,055-974-0606,,,,,,14,,목화로,139-13,단성면,,,
35.264496,127.935414,motel,,,리오모텔,,백정흠,055-972-0019,,,,,,18,,목화로,96-9,단성면,,,
35.295282,127.883555,motel,,,영산산장펜션,,조한진,055-973-4637,,,,,,7,,백운로51번길,228,단성면,,,
35.270546,127.886788,motel,,,지리산 가는길 모텔,,정연주,,,,,,,12,,지리산대로,2316,단성면,,,
35.280253,127.903193,motel,,,별바라기모텔,,정호정,055-974-3400,,,,,,16,,지리산대로,2641,단성면,,,
35.272111,127.917866,motel,,,숲모텔,,김시진,,,,,,,17,,지리산대로2705번길,24-4,단성면,,,
35.30241,127.964269,motel,,,단성모텔,,최정자,055-973-6616,,,,,,15,,지리산대로3362번길,17,단성면,,,
35.340559,127.907246,motel,,,청계산장,,허화임,,,,,,,12,,호암로,915,단성면,,,
35.41227,127.878971,motel,,,킹모텔,,최윤자,055-973-7645,,,,,,32,,꽃봉산로,132,산청읍,,,
35.414135,127.872648,motel,,,산청파크장,,이현실,055-973-6840,,,,,,22,,웅석봉로,38,산청읍,,,
35.415278,127.876579,motel,,,휴엔조이,,양호경,055-974-8883,,,,,,20,,중앙로,130,산청읍,,,
35.415278,127.876579,motel,,,유(u)모텔,,유현지,055-973-0200,,,,,,19,,중앙로,136,산청읍,,,
35.416182,127.876211,motel,,,경호장여관,,권용순,055-973-2625,,,,,,7,,친환경로,2674-10,산청읍,,,
35.416548,127.878104,motel,,,리앙스모텔,,박문상,055-972-7756,,,,,,20,,친환경로,2674-5,산청읍,,,
35.417276,127.875881,motel,,,영남장여관,,김옥연,055-972-6767,,,,,,13,,친환경로,2683,산청읍,,,
35.412306,127.883267,motel,,,W모텔,,조수진,055-974-6652,,,,,,18,,친환경로2720번길,106-24,산청읍,,,
35.337344,127.836605,motel,,,늘푸른가든궁전여관,,박정기,055-972-9778,,,,,,12,,친환경로,801,삼장면,,,
35.36296,128.063367,motel,,,양천장여관,,하형근,055-972-2540,,,,,,15,,비량로411번길,2-5,생비량면,,,
35.356961,128.072304,motel,,,산장파크여관,,최기봉,055-973-6500,,,,,,17,,지리산대로,4733-9,생비량면,,,
35.355945,128.072731,motel,,,스타모텔2,,문정선,055-974-1059,,,,,,11,,지리산대로,4739,생비량면,,,
35.356069,128.075433,motel,,,스타모텔,,김인자,055-972-3302,,,,,,14,,지리산대로,4741-5,생비량면,,,
35.346548,128.079063,motel,,,리베라모텔,,정성임,055-974-2244,,,,,,12,,진산로,2180,생비량면,,,
35.346548,128.079063,motel,,,리베라2,,최기봉,055-974-2245,,,,,,8,,진산로,2180,생비량면,,,
35.343156,128.067431,motel,,,필모텔,,김영수,070-4200-5933,,,,,,9,,태봉로,119,생비량면,,,
35.492657,127.83199,motel,,,백만장여관,,이응남,055-973-1661,,,,,,10,,산수로,1038,생초면,,,
35.276982,127.83867,motel,,,덕산장여관,,김점남,055-972-8610,,,,,,13,,남명로,220-2,시천면,,,
35.276849,127.837242,motel,,,삼보파크텔,,박정임,055-972-9200,,,,,,15,,남명로200번길,13,시천면,,,
35.229896,127.788204,motel,,,서지관광농원여관,,노현섭,055-972-1451,,,,,,14,,반천로,211-102,시천면,,,
35.29141,127.748565,motel,,,지리산장모텔,,백준봉,055-973-0868,,,,,,17,,지리산대로,1305-7,시천면,,,
35.24338,127.803192,motel,,,젠모텔,,김정미,055-973-6001,,,,,,15,,지리산대로,1346,시천면,,,
35.291416,127.755628,motel,,,지리산계곡호텔,,최재경,055-972-1441,,,,,,18,,지리산대로,555,시천면,,,
35.289001,127.759005,motel,,,지리산대웅모텔,,홍종순,055-973-8181,,,,,,17,,지리산대로,605,시천면,,,
35.286038,127.751335,motel,,,지리산대경숙박,,김순덕,,,,,,,15,,지리산대로,855,시천면,,,
35.295852,127.754269,motel,,,지리산뷰캐슬펜션,,김홍연,055-973-2250,,,,,,17,,지리산대로511번길,11-20,시천면,,,
35.297338,127.753573,motel,,,지리산리조트 주식회사,,홍일근,055-711-7015,,,,,,3,,지리산대로511번길,11-31,시천면,,,
35.297405,127.754358,motel,,,지리산통나무산장,,김영부,055-973-0666,,,,,,8,,지리산대로511번길,11-36,시천면,,,
35.302992,127.969386,motel,,,경호파크장,,이민선,055-973-5204,,,,,,11,,원지강변로,21,신안면,,,
35.302869,127.967246,motel,,,포유,,강나리,055-974-0019,,,,,,26,,원지강변로,23,신안면,,,
35.302325,127.967023,motel,,,동궁모텔,,최규연,055-973-5750,,,,,,13,,원지강변로,31,신안면,,,
35.30217,127.969178,motel,,,초원파크,,옥삼돌,055-973-8253,,,,,,19,,원지강변로,33,신안면,,,
35.301542,127.966908,motel,,,서울모텔,,최미용,055-973-1492,,,,,,20,,원지강변로,39,신안면,,,
35.300975,127.968813,motel,,,헤라모텔,,최동복,055-973-3242,,,,,,18,,원지강변로,49,신안면,,,
35.300709,127.968952,motel,,,이(e) 편한모텔,,정숙희,055-974-0560,,,,,,11,,원지강변로,51,신안면,,,
35.301105,127.969212,motel,,,씨에프(CF)모텔,,임은주,055-972-2299,,,,,,24,,원지강변로61번길,10,신안면,,,
35.300854,127.96907,motel,,,랑데뷰모텔,,김민경,055-973-8345,,,,,,11,,원지강변로61번길,7,신안면,,,
35.301102,127.968915,motel,,,프라하,,심재숙 외 1명,055-973-7680,,,,,,18,,원지강변로61번길,9,신안면,,,
35.312505,127.983367,motel,,,사파리모텔,,이범용,055-972-5586,,,,,,14,,지리산대로,3645,신안면,,,
35.314217,127.983691,motel,,,호텔홍천궁,,이성근,055-972-0399,,,,,,15,,지리산대로,3657-13,신안면,,,
35.320295,127.974063,motel,,,엘리제모텔,,안영희,055-973-5432,,,,,,12,,지리산대로,3677,신안면,,,
35.315261,127.987909,motel,,,부엉이모텔,,김숙희,055-974-3353,,,,,,19,,지리산대로,3694,신안면,,,
35.334134,127.894296,motel,,,라움펜션,,이미연,,,,,,,10,,호암로701번길,155-14,단성면,,,
35.413174,127.882949,,public_bath,thermal,삼정㈜산청온천,,김정식,055-972-8233,http://www.sjtown.co.kr,,,,,,,꽃봉산로162번길,14,산청읍,,,
35.265788,127.931522,,public_bath,thermal,예담참숯굴랜드_찜질방,,남상현,055-973-5959,http://www.iyedam.co.kr,,,,,,,지리산대로,2850-69,단성면,,,
35.402794,127.884157,,public_bath,thermal,산청한방리조트_찜질방,,권일현,055-972-9989,http://www.sancheongresort.com,,,,,,,웅석봉로151번길,68,산청읍,,,
35.442256,127.828787,,public_bath,thermal,덕진동의보감약초탕,,곽기업,055-972-2828,http://okqr.kr/6054,,,,,,,동의보감로555번길,58,금서면,,,
35.438712,127.827708,hostel,,,산청한방가족호텔,,심재범,055-972-7000,,,,,,108,,동의보감로479번길,43,금서면,,,
35.394246,127.844842,hostel,,,지리산리조트,,최상근,055-973-8890,,,,,,62,,친환경로,1715,금서면,,,
