위도,경도,building,name,addr:full,지번주소,rooms,building:levels,building:levels:underground,start_date,비고,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2598072313,126.5568087292,residential,천지연립주택,,제주특별자치도 서귀포시 서홍동 327-1,20,2,,1984-02-28,연립,2020-02-18,,흙담솔로,17-6,,,,
33.250323191,126.4264948515,residential,타운하우스,,제주특별자치도 서귀포시 중문동 2036,45,3,1,1986-07-30,연립,2020-02-18,,천제연로208번길,16,,,,
33.2572265224,126.5562336648,apartment,민우아파트,,제주특별자치도 서귀포시 서홍동 349-2,88,5,1,1986-09-03,아파트,2020-02-18,,홍중로,53-3,,,,
33.255458869,126.5683991859,residential,남양맨션,,제주특별자치도 서귀포시 동홍동 482-1,77,5,1,1987-04-21,연립,2020-02-18,,동홍로72번길,8,,,,
33.4485599913,126.9092941667,residential,대일연립주택,,제주특별자치도 서귀포시 성산읍 고성리 1453,24,3,,1987-12-28,연립,2020-02-18,,고성중앙로,62-3,성산읍,,,
33.251609137,126.5721181548,apartment,주공1차아파트,,제주특별자치도 서귀포시 동홍동 147,310,5,,1988-10-14,아파트,2020-02-18,,동홍중앙로,10,,,,
33.2595107732,126.5555953705,apartment,신라호텔아파트,,제주특별자치도 서귀포시 서홍동 1592-2,60,5,1,1989-09-02,아파트,2020-02-18,,홍중로,81,,,,
33.2556935507,126.570557206,apartment,한라아파트,,제주특별자치도 서귀포시 동홍동 490,98,5,,1990-03-03,아파트,2020-02-18,,동홍서로,82,,,,
33.2592288564,126.5554250875,apartment,세림아파트,,제주특별자치도 서귀포시 서홍동 344-3,60,5,1,1990-07-09,아파트,2020-02-18,,홍중로,75,,,,
33.2529197719,126.5746486096,apartment,세기아파트(1차),,제주특별자치도 서귀포시 동홍동 139-1,170,5,1,1990-09-22,아파트,2020-02-18,,태평로,549,,,,
33.2440610906,126.6004308114,apartment,로얄하이츠빌라,,제주특별자치도 서귀포시 보목동 875,80,5,1,1990-09-22,아파트,2020-02-18,,마소물로8번길,10-1,,,,
33.2530480411,126.5720896795,apartment,주공2차아파트,,제주특별자치도 서귀포시 동홍동 119,300,5,,1990-11-07,아파트,2020-02-18,,동홍중앙로,30,,,,
33.2468049772,126.5699482728,apartment,명지아파트,,제주특별자치도 서귀포시 서귀동 114-1,51,5,,1991-01-05,아파트,2020-02-18,,동부로12번길,9,,,,
33.4498577947,126.9136208085,apartment,동명아파트,,제주특별자치도 서귀포시 성산읍 고성리 1132-21,85,5,1,1991-02-13,아파트,2020-02-18,,고성동서로56번길,10,성산읍,,,
33.2540366997,126.4278055518,apartment,남주아파트,,제주특별자치도 서귀포시 중문동 1675-1,60,5,1,1991-04-23,아파트,2020-02-18,,천제연로213번길,33-4,,,,
33.2525940434,126.3289483848,apartment,한전아파트,,제주특별자치도 서귀포시 안덕면 화순리 1202-1,48,3,,1991-07-11,아파트,2020-02-18,,화순서서로,15,안덕면,,,
33.2505454014,126.5753297182,apartment,삼아아파트,,제주특별자치도 서귀포시 동홍동 201,240,5,1,1991-08-13,아파트,2020-02-18,,태평로536번길,6,,,,
33.2497418984,126.4287048722,residential,파인플라자,,제주특별자치도 서귀포시 중문동 2433,94,3,,1991-12-12,연립,2020-02-18,,천제연로232번길,18-6,,,,
33.2801615935,126.7234901183,residential,씨사이드빌리지,,제주특별자치도 서귀포시 남원읍 남원리 47-1,32,4,1,1991-12-18,연립,2020-02-18,,태위로724번길,4,남원읍,,,
33.2473637345,126.4339009692,residential,풍림빌라,,제주특별자치도 서귀포시 대포동 829,183,4,,1992-01-20,연립,2020-02-18,,대포복개로,95,,,,
33.2265980774,126.2559324301,residential,한라빌라,,제주특별자치도 서귀포시 대정읍 상모리 3844,32,4,1,1992-02-08,연립,2020-02-18,,동일하모로,227-12,대정읍,,,
33.2505756119,126.5118244593,residential,삼주연립주택,,제주특별자치도 서귀포시 법환동 749,258,3,,1992-02-17,연립,2020-02-18,,김정문화로,66,,,,
33.2602458505,126.5615071443,apartment,나산아파트,,제주특별자치도 서귀포시 동홍동 1382,60,5,1,1992-03-31,아파트,2020-02-18,,중앙로150번길,33,,,,
33.2531815744,126.5763299897,apartment,세기아파트(2차),,제주특별자치도 서귀포시 동홍동 189-1,45,5,1,1992-06-11,아파트,2020-02-18,,태평로,558,,,,
33.2416015063,126.5970986035,apartment,장안아파트,,제주특별자치도 서귀포시 보목동 1280,55,5,1,1992-06-19,아파트,2020-02-18,,문필로,54,,,,
33.249432154,126.5117750174,residential,현대연립주택,,제주특별자치도 서귀포시 법환동 749-1,156,3,1,1992-12-21,연립,2020-02-18,,신서귀로,10,,,,
33.2606086431,126.5570236167,apartment,신생훼밀리아파트,,제주특별자치도 서귀포시 서홍동 303,44,3,1,1992-12-26,아파트,2020-02-18,,흙담솔로,20,,,,
33.2542984427,126.5645115723,apartment,동방아파트,,제주특별자치도 서귀포시 동홍동 1507-2,46,5,1,1993-02-04,아파트,2020-02-18,,일주동로,8648-6,,,,
33.2499537469,126.5742208708,apartment,주공3차아파트,,제주특별자치도 서귀포시 동홍동 353-1,400,5,,1993-04-08,아파트영구임대,2020-02-18,,태평로512번길,9,,,,
33.2220480389,126.2513411243,apartment,성환아파트,,제주특별자치도 서귀포시 대정읍 하모리 946-1,32,5,1,1993-08-31,아파트,2020-02-18,,하모중앙로68번길,5,대정읍,,,
33.2527861347,126.4279982766,apartment,중문민우아파트,,제주특별자치도 서귀포시 중문동 1999-2,98,5,1,1993-09-23,아파트,2020-02-18,,천제연로213번길,14-3,,,,
33.2515461951,126.5055436103,residential,현대2차연립,,제주특별자치도 서귀포시 강정동 178,70,3,1,1994-03-28,연립,2020-02-18,,김정문화로,6,,,,
33.2392134281,126.5141622572,residential,기영연립주택,,제주특별자치도 서귀포시 법환동 398,32,4,1,1994-06-08,연립,2020-02-18,,이어도로,943,,,,
33.2482051924,126.4317794943,residential,중문월드연립주택,,제주특별자치도 서귀포시 대포동 759-1,33,4,1,1994-08-04,연립,2020-02-18,,대포로,15,,,,
33.2493795312,126.5718929448,apartment,주공4차아파트,,제주특별자치도 서귀포시 동홍동 355-1,320,5,,1994-10-20,아파트,2020-02-18,,태평로512번길,10,,,,
33.2502055443,126.509431408,residential,동남연립,,제주특별자치도 서귀포시 법환동 748-1,143,3,1,1995-01-18,연립,2020-02-18,,신서귀로,9,,,,
33.2512168938,126.5061721492,residential,대림연립,,제주특별자치도 서귀포시 강정동 177,198,3,1,1995-01-21,연립,2020-02-18,,신서귀로97번길,87,,,,
33.2514935879,126.5050116525,residential,성산연립주택,,제주특별자치도 서귀포시 강정동 178-1,156,3,1,1995-01-27,연립,2020-02-18,,신서귀로97번길,84,,,,
33.25108768,126.5090616291,residential,민우연립,,제주특별자치도 서귀포시 법환동 748,142,3,1,1995-01-27,연립,2020-02-18,,신서귀로,11,,,,
33.2577203947,126.5705515826,apartment,영신아파트,,제주특별자치도 서귀포시 동홍동 91-3,60,5,1,1995-05-06,아파트,2020-02-18,,동홍북로22번길,20,,,,
33.2438739422,126.3877332626,residential,진양연립주택,,제주특별자치도 서귀포시 하예동 285-1,39,4,1,1995-05-08,연립,2020-02-18,,하예로44번길,21,,,,
33.2523558211,126.5711100871,apartment,일호아파트,,제주특별자치도 서귀포시 동홍동 649-2,58,5,1,1996-01-22,아파트,2020-02-18,,문부로,27-4,,,,
33.2783543508,126.7122033087,apartment,남원에덴아파트,,제주특별자치도 서귀포시 남원읍 남원리 1323-2,140,5,,1996-10-31,아파트,2020-02-18,,남원광지로,5,남원읍,,,
33.2578758597,126.5727572696,apartment,일호2차아파트,,제주특별자치도 서귀포시 동홍동 95-1,45,5,1,1998-02-11,아파트,2020-02-18,,동홍중앙로90번길,4-11,,,,
33.2562445807,126.5692924801,apartment,대오아파트,,제주특별자치도 서귀포시 동홍동 506-1,70,7,1,1998-03-11,아파트,2020-02-18,,동홍서로,83,,,,
33.2432920144,126.5990351208,residential,신환연립주택,,제주특별자치도 서귀포시 보목동 881-12,27,4,1,1999-02-03,연립,2020-02-18,,마소물로,3,,,,
33.3164504148,126.8272346967,residential,표선연립주택,,제주특별자치도 서귀포시 표선면 표선리 1459,48,4,,1999-04-07,연립,2020-02-18,,표선동서로,133-7,표선면,,,
33.2228439279,126.263842292,residential,대정반석타운,,제주특별자치도 서귀포시 대정읍 상모리 3056-9,40,4,,1999-04-09,연립,2020-02-18,,상모로269번길,33,대정읍,,,
33.2653460368,126.5606488057,apartment,주공5차아파트,,제주특별자치도 서귀포시 동홍동 1674,830,5,,1999-04-16,아파트,2020-02-18,,중산간동로,8002,,,,
33.2663535365,126.554925337,apartment,서홍반석타운,,제주특별자치도 서귀포시 서홍동 2004-1,70,5,1,2000-01-03,아파트,2020-02-18,,현청로,41-14,,,,
33.3222872489,126.8283100424,apartment,표선반석타운,,제주특별자치도 서귀포시 표선면 표선리 1544-1,40,5,,2000-02-01,아파트,2020-02-18,,표선동서로193번길,22,표선면,,,
33.2197567361,126.2595774065,apartment,한빛테크아파트,,제주특별자치도 서귀포시 대정읍 상모리 4148-1,40,5,1,2000-02-10,아파트,2020-02-18,,비행장로55번길,16,대정읍,,,
33.2534599159,126.5712549301,apartment,신환아파트,,제주특별자치도 서귀포시 동홍동 648-3,20,5,1,2000-02-25,아파트,2020-02-18,,태평로537번길,40-6,,,,
33.2711020963,126.5935370807,apartment,토평반석주택,,제주특별자치도 서귀포시 토평동 175,100,5,,2000-06-26,아파트,2020-02-18,,중산간동로,7678,,,,
33.2436910384,126.4595563132,residential,월평정도주택,,제주특별자치도 서귀포시 월평동 476-7,49,4,1,2000-06-27,연립,2020-02-18,,월평하원로,20,,,,
33.2542275143,126.5077863662,apartment,한빛테크놀즈 105,,제주특별자치도 서귀포시 강정동 158-6,20,6,1,2000-10-27,아파트,2020-02-18,,김정문화로27번길,23-6,,,,
33.4721099835,126.8998540652,apartment,성산반석타운,,제주특별자치도 서귀포시 성산읍 시흥리 700-1,40,5,,2000-11-03,아파트,2020-02-18,,시흥상동로,31,성산읍,,,
