위도,경도,tourism,name,addr:full,source:date
33.2788890144,126.6559666344,guest_house,위미모루왓,제주특별자치도 서귀포시 남원읍 위미항구로 51,2020-07-06
33.2626602143,126.6379989159,guest_house,뜨레 향,제주특별자치도 서귀포시 남원읍 하례망장포로 27-8,2020-07-06
33.4025496387,126.8980818901,guest_house,온평가,제주특별자치도 서귀포시 성산읍 온평포구로 20,2020-07-06
33.4049009298,126.8716150344,guest_house,언덕위에 빨간지붕,제주특별자치도 서귀포시 성산읍 난고로499번길 17,2020-07-06
33.4670045096,126.9344954306,guest_house,성산 우리집,제주특별자치도 서귀포시 성산읍 한도로255번길 9,2020-07-06
33.3042902073,126.3385492173,guest_house,코즈 게스트하우스,제주특별자치도 서귀포시 안덕면 동광로100번길 20,2020-07-06
33.245552951,126.2973552986,guest_house,하이디펜션,제주특별자치도 서귀포시 안덕면 사계북로41번길 142,2020-07-06
33.2588994044,126.5080882403,guest_house,제주 해나루,제주특별자치도 서귀포시 신서로98번길 19-1,2020-07-06
33.3350992012,126.7119272647,guest_house,수망가라,제주특별자치도 서귀포시 남원읍 태수로 667-11,2020-07-06
33.4469444529,126.904334203,guest_house,에바다 라이더 하우스,제주특별자치도 서귀포시 성산읍 고성중앙로 7-8,2020-07-06
33.4667297429,126.9350927881,guest_house,아침노을펜션,제주특별자치도 서귀포시 성산읍 한도로 255번길 14-1,2020-07-06
33.2592450244,126.4103052475,guest_house,제주 디오빌,제주특별자치도 서귀포시 색달로 72번길 20,2020-07-06
33.2443592821,126.5681208967,guest_house,제주사랑,제주특별자치도 서귀포시 태평로 442번길 21,2020-07-06
33.2414824226,126.3669551971,guest_house,수펜션,제주특별자치도 서귀포시 안덕면 소기왓로 81-19,2020-07-06
33.2609392356,126.6027828848,guest_house,더나은스테이,제주특별자치도 서귀포시 일주동로 8280,2020-07-06
33.3721769306,126.8391970587,guest_house,삼달다방,제주특별자치도 서귀포시 성산읍 삼달신풍로 95-24,2020-07-06
33.4506812338,126.9080990604,guest_house,제주돌체,제주특별자치도 서귀포시 성산읍 산성효자로 40,2020-07-06
33.2359162782,126.3654704097,guest_house,치엘로게스트하우스,제주특별자치도 서귀포시 안덕면 대평로 12,2020-07-06
33.3440185408,126.791068838,guest_house,샤인빌,제주특별자치도 서귀포시 표선면 가시로 340,2020-07-06
33.3088941639,126.8217100312,guest_house,솔,제주특별자치도 서귀포시 표선면 민속해안로 227-39,2020-07-06
33.3530400631,126.8208772828,guest_house,피터팬하우스,제주특별자치도 서귀포시 표선면 한마음초등로 468,2020-07-06
33.3592266075,126.7746842519,guest_house,제주로가시리 민박,제주특별자치도 서귀포시 표선면 가시로 622번길 20-8,2020-07-06
33.2589621382,126.4049202278,guest_house,돌하르방 민박,제주특별자치도 서귀포시 색달로 6,2020-07-06
33.324404,126.793572,guest_house,행운클로버,제주특별자치도 서귀포시 표선면 세화강왓로 65,2020-07-06
33.3515894561,126.7739640358,guest_house,표선 가시리 민박,제주특별자치도 서귀포시 표선면 가시로 541-12,2020-07-06
33.3047153576,126.8035780373,guest_house,ST.28,제주특별자치도 서귀포시 표선면 가마행남로 28,2020-07-06
33.2409698717,126.3957639831,guest_house,제주팡숑예래,제주특별자치도 서귀포시 예래해안로 357,2020-07-06
33.2633671631,126.6126481016,guest_house,쇠소깍 민박,제주특별자치도 서귀포시 신효로 25번길 10-1,2020-07-06
33.2919745339,126.6616802871,guest_house,해든빌레,제주특별자치도 서귀포시 남원읍 자배오름로 139번길 149,2020-07-06
33.2763999248,126.6651283645,guest_house,콴도제주,제주특별자치도 서귀포시 남원읍 태위로 151번길 14-12,2020-07-06
33.2726226568,126.6985750717,guest_house,우디,제주특별자치도 서귀포시 남원읍 태위로 510번길 49,2020-07-06
33.2704946018,126.651706222,guest_house,Be Lazy,제주특별자치도 서귀포시 남원읍 위미해안로 129번길 17,2020-07-06
33.31009066,126.3585748213,guest_house,수줍은언니네,제주특별자치도 서귀포시 안덕면 신화역사로 682번길 42,2020-07-06
33.2281984383,126.2980670811,guest_house,서툰가족,제주특별자치도 서귀포시 안덕면 사계중앙로 41-15,2020-07-06
33.2283943211,126.2980922289,guest_house,서툰가족4번지,제주특별자치도 서귀포시 안덕면 사계중앙로 41-13,2020-07-06
