위도,경도,tourism,name,addr:full,지번주소,rooms,phone,source:date
33.241649,126.3336643,hotel,와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,제주특별자치도 서귀포시 안덕면 화순리 1888,32,064-794-7007,2020-06-30
33.2119765,126.2920144,hotel,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 256-5,제주특별자치도 서귀포시 대정읍 상모리 78,30,064-794-6307,2020-06-30
33.2328624,126.5105667,hotel,호텔 섬오름,제주특별자치도 서귀포시 막숙포로 114,제주특별자치도 서귀포시 법환동 1513,53,064-800-7200,2020-06-30
33.2623241,126.4157951,hotel,중문리조트,제주특별자치도 서귀포시 색달로 117,제주특별자치도 서귀포시 색달동 1821-3,44,064-738-0085,2020-06-30
33.4299542,126.8619886,hotel,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11,제주특별자치도 서귀포시 성산읍 수산리 2576,31,064-783-1000,2020-06-30
33.4665006,126.9308559,hotel,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40,제주특별자치도 서귀포시 성산읍 성산리 382-31,34,064-782-3100,2020-06-30
33.466534,126.930766,hotel,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,제주특별자치도 서귀포시 성산읍 성산리 382-6,40,064-784-0000,2020-06-30
33.4359606,126.9162583,hotel,썬라이즈호텔 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,제주특별자치도 서귀포시 성산읍 고성리 510-6,40,064-784-7848,2020-06-30
33.4549689,126.9104055,hotel,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186,제주특별자치도 서귀포시 성산읍 오조리 990-1,236,064-783-0053,2020-06-30
33.4445754,126.9095025,hotel,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,제주특별자치도 서귀포시 성산읍 고성리 1090-16,61,064-780-3000,2020-06-30
33.4590781,126.9103255,hotel,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20 ,제주특별자치도 서귀포시 성산읍 오조리 941-1,104,070-4548-2200,2020-06-30
33.4657004,126.9360502,hotel,더클라우드 가족호텔,제주특별자치도 서귀포시 성산읍 한도로 269-37,제주특별자치도 서귀포시 성산읍 성산리 308,30,064-783-8366,2020-06-30
33.4752383,126.9101641,hotel,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644 ,제주특별자치도 서귀포시 성산읍 시흥리 5  ,38,064-782-1300,2020-06-30
33.4790707,126.8834795,hotel,봄그리고가을 가족호텔,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,제주특별자치도 서귀포시 성산읍 시흥리 205,86,064-784-2211,2020-06-30
33.474087,126.9110984,hotel,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,제주특별자치도 서귀포시 성산읍 시흥리 208,46,064-784-2211,2020-06-30
33.4736223,126.9107438,hotel,더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,제주특별자치도 서귀포시 성산읍 시흥리 200,144,064-797-7700,2020-06-30
33.2625599,126.3838962,hotel,아라온리조트,제주특별자치도 서귀포시 소보리당로 220,제주특별자치도 서귀포시 상예동 2852 ,55,,2020-06-30
33.2426995,126.3852457,hotel,중문빌리지 가족호텔,제주특별자치도 서귀포시 예래로 270,제주특별자치도 서귀포시 하예동 141,30,064-738-3151,2020-06-30
33.2654708,126.4842819,hotel,토스카나호텔,제주특별자치도 서귀포시 용흥로66번길158-7,제주특별자치도 서귀포시 강정동 3700-4,65,064-735-7000,2020-06-30
33.240469,126.493008,hotel,글레즈하임호텔,제주특별자치도 서귀포시 이어도로 777,제주특별자치도 서귀포시 강정동 855-1,42,064-735-0200,2020-06-30
33.2339546,126.5025264,hotel,파미유리조트 가족호텔,제주특별자치도 서귀포시 이어도로 826-6,제주특별자치도 서귀포시 강정동 643,35,064-738-9186,2020-06-30
33.2433648,126.4467632,hotel,뷰티플리조트,제주특별자치도 서귀포시 이어도로253번길 2 ,제주특별자치도 서귀포시 대포동 1266,32,064-738-7407,2020-06-30
33.2453084,126.4512913,hotel,담앤루,제주특별자치도 서귀포시 이어도로343번길 63 ,제주특별자치도 서귀포시 대포동 1174,43,064-739-6617,2020-06-30
33.2544134,126.4390869,hotel,㈜일레인,제주특별자치도 서귀포시 일주서로 660,제주특별자치도 서귀포시 회수동 659,42,064-738-2013,2020-06-30
33.25639,126.4151672,hotel,그랑빌 가족호텔,제주특별자치도 서귀포시 중문관광로 17 ,제주특별자치도 서귀포시 색달동 2512,42,064-739-9994,2020-06-30
33.2652477,126.4164999,hotel,제이뷰호텔,제주특별자치도 서귀포시 중산간서로 935,제주특별자치도 서귀포시 색달동 1622-2,37,064-739-5200,2020-06-30
33.2628202,126.4517421,hotel,중문통나무가족호텔,제주특별자치도 서귀포시 중산간서로594번길 7-28,제주특별자치도 서귀포시 대포동 249,30,064-738-8383,2020-06-30
33.2504029,126.5595736,hotel,호텔 휴식 서귀포,제주특별자치도 서귀포시 중앙로 71번길 17,제주특별자치도 서귀포시 서귀동 308-2,74,064-730-5000,2020-06-30
33.246995,126.5585844,hotel,초이 호스텔 제주,제주특별자치도 서귀포시 태평로335번길 11-1,제주특별자치도 서귀포시 서귀동 316-14,32,064-732-3070,2020-06-30
33.2614405,126.5931337,hotel,제이앤비 가족호텔,제주특별자치도 서귀포시 토평남로30번길 10-8,제주특별자치도 서귀포시 토평동 237-2,31,064-733-8864,2020-06-30
33.2862573,126.4440737,hotel,WE호텔,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,86,064-730-1200,2020-06-30
33.2523353,126.5066913,hotel,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15,제주특별자치도 서귀포시 강정동 173,204,064-735-8899,2020-06-30
33.2534005,126.5077541,hotel,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4,제주특별자치도 서귀포시 강정동 164-1,64,064-738-9902,2020-06-30
33.2539331,126.5082261,hotel,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,제주특별자치도 서귀포시 강정동 160-2,31,064-739-0012,2020-06-30
33.2542585,126.553507,hotel,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135,제주특별자치도 서귀포시 서홍동 637,105,064-766-1000,2020-06-30
33.2542585,126.553507,hotel,풍경호텔,제주특별자치도 서귀포시 남성중로 147,제주특별자치도 서귀포시 서홍동 586,48,064-733-3355,2020-06-30
33.3190481,126.7087521,hotel,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,제주특별자치도 서귀포시 수망리 628-8,74,064-766-5500,2020-06-30
33.2399325,126.3855927,hotel,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45,제주특별자치도 서귀포시 하예동 460-1 ,94,064-801-7000,2020-06-30
33.241328,126.5644681,hotel,파인힐호텔,제주특별자치도 서귀포시 부두로 44,제주특별자치도 서귀포시 서귀동 776-1,55,064-762-5988,2020-06-30
33.259574,126.4060395,hotel,호텔더본제주,제주특별자치도 서귀포시 색달로 18,제주특별자치도 서귀포시 색달동 2138,139,064-766-8988,2020-06-30
33.2583312,126.4140335,hotel,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,제주특별자치도 서귀포시 색달동 2284-1,78,064-738-9780,2020-06-30
33.448917,126.9175588,hotel,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20,제주특별자치도 서귀포시 성산읍 고성리 297-1,235,064-766-3041,2020-06-30
33.4494963,126.920717,hotel,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,제주특별자치도 서귀포시 성산읍 성산읍 고성리 437-1,30,064-786-5353,2020-06-30
33.4623744,126.9309317,hotel,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,제주특별자치도 서귀포시 성산읍 성산리 169-16,47,064-782-6650,2020-06-30
33.4404976,126.9157525,hotel,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,제주특별자치도 서귀포시 성산읍 고성리 496-2 ,80,064-783-8877,2020-06-30
33.4637856,126.9343976,hotel,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297,제주특별자치도 서귀포시 성산읍 성산리 196-5,38,064-731-8888,2020-06-30
