위도,경도,name,addr:full,rooms,phone,source:date,leisure
33.247514,126.412715,㈜이랜드파크 한국콘도 제주중문,제주특별자치도 서귀포시 중문관광로72번길 29-29,216,064-738-9101,2020-06-30,resort
33.2336552,126.4890695,켄싱턴리조트 서귀포점,제주특별자치도 서귀포시 이어도로 684,246,064-739-9001,2020-06-30,resort
33.3400473,126.4049584,씨제이대한통운㈜  나인브릿지콘도미니엄,제주특별자치도 서귀포시 안덕면 광평로 34-156,100,064-793-9000,2020-06-30,resort
33.2674383,126.3769731,(주)레이크힐스리조트 제주,제주특별자치도 서귀포시 존제로 24,50,064-738-8711,2020-06-30,resort
33.2729636,126.7014772,금호리조트(주) 제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,326,064-766-8000,2020-06-30,resort
33.3056347,126.7921182,대명 샤인빌리조트,제주특별자치도 서귀포시 표선면 일주동로 6347-17,310,1588-4888,2020-06-30,resort
33.3234478,126.8447796,해비치리조트,제주특별자치도 서귀포시 표선면 민속해안로 537 ,215,064-780-8000,2020-06-30,resort
33.3397824,126.3516098,(주)캐슬렉스제주 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 평화로 1241,83,064-793-6600,2020-06-30,resort
33.3056347,126.7921182,대명 샤인빌리조트 2차,제주특별자치도 서귀포시 표선면 일주동로 6347-17,104,1588-4888,2020-06-30,resort
33.4112985,126.7819256,사이프러스 골프&리조트 휴양콘도미니엄,제주특별자치도 서귀포시 표선면 번영로 2300,72,064-786-2411,2020-06-30,resort
33.4305402,126.9277393,휘닉스 제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,350,064-731-7000,2020-06-30,resort
33.2424187,126.5185172,신성리조트,제주특별자치도 서귀포시 이어도로 989 ,62,064-739-0114,2020-06-30,resort
33.2443564,126.5110873,폴에이리조트 제주,제주특별자치도 서귀포시 월드컵로45번길 40  ,130,064-739-3001,2020-06-30,resort
33.2812324,126.4158092,(주)호텔롯데 롯데리조트제주,제주특별자치도 서귀포시 색달중앙로252번길 124,73,064-731-9111,2020-06-30,resort
33.3245683,126.6627718,스프링데일 골프&리조트,제주특별자치도 서귀포시 남원읍 서성로 459-1,44,064-800-8000,2020-06-30,resort
33.2368125,126.3726875,베이힐 풀 앤 빌라,제주특별자치도 서귀포시 예래로 424,30,064-801-9000,2020-06-30,resort
33.2663197,126.5671727,제주녹지리조트1,제주특별자치도 서귀포시 동홍로 443,188,064-733-8866,2020-06-30,resort
33.306381,126.5843885,우리들리조트 아트텔,제주특별자치도 서귀포시 산록남로 2917 ,25,064-766-7712,2020-06-30,resort
33.3205696,126.3856162,루체빌리조트,제주특별자치도 서귀포시 안덕면 산록남로 786,68,064-805-0114,2020-06-30,resort
33.2663197,126.5671727,제주녹지리조트2,제주특별자치도 서귀포시 솔오름로105번길 24,212,064-733-8866,2020-06-30,resort
33.2812754,126.5784104,빅토르힐 리조트,제주특별자치도 서귀포시 516로277번길 45,31,064-780-6300,2020-06-30,resort
33.4318562,126.9255225,오션스타 휴양콘도미니엄,제주특별자치도 서귀포시 성산읍 섭지코지로 169 ,330,064-783-1888,2020-06-30,resort
33.3057651,126.3888509,디 아넥스 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,43,064-792-5200,2020-06-30,resort
33.2412366,126.424492,제주부영리조트,제주특별자치도 서귀포시 중문관광로 216,187,064-731-5500,2020-06-30,resort
33.3096744,126.3218178,테디벨리리조트 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 서광동로34번길 204,190,064-773-7800,2020-06-30,resort
33.3060336,126.6580882,백통신원리조트,제주특별자치도 서귀포시 남원읍 서성로 427,116,064-766-6888,2020-06-30,resort
33.2536833,126.5418942,덴앤델리조트,제주특별자치도 서귀포시 태평로 156 ,78,070-4523-8000,2020-06-30,resort
33.2659029,126.3837498,중문훼미리 휴양콘도미니엄,제주특별자치도 서귀포시 소보리당로164번길 83,102,064-738-7871,2020-06-30,resort
33.3026456,126.316966,제주신화빌라스,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,721,1670-8800,2020-06-30,resort
33.2844099,126.5796743,더큐브리조트제주,제주특별자치도 서귀포시 솔오름로105번길 24,255,064-717-6642,2020-06-30,resort
33.2763665,126.4476633,ES제주리조트,제주특별자치도 서귀포시 1100로 501,153,070-4548-0285,2020-06-30,resort
33.2487954,126.4198849,씨사이드아덴,제주특별자치도 서귀포시 중문관광로 124,190,064-738-9636,2020-06-30,resort
