위도,경도,name,addr:full,rooms,phone,source:date,leisure,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.247514,126.412715,㈜이랜드파크 한국콘도 제주중문,,216,+82 64 738 9101,2020-06-30,resort,,중문관광로72번길,29-29,,,,
33.2336552,126.4890695,켄싱턴리조트 서귀포점,,246,+82 64 739 9001,2020-06-30,resort,,이어도로,684,,,,
33.3400473,126.4049584,씨제이대한통운㈜  나인브릿지콘도미니엄,,100,+82 64 793 9000,2020-06-30,resort,,광평로,34-156,안덕면,,,
33.2674383,126.3769731,(주)레이크힐스리조트 제주,,50,+82 64 738 8711,2020-06-30,resort,,존제로,24,,,,
33.2729636,126.7014772,금호리조트(주) 제주,,326,+82 64 766 8000,2020-06-30,resort,,태위로,522-12,남원읍,,,
33.3056347,126.7921182,대명 샤인빌리조트,,310,+82 1588 4888,2020-06-30,resort,,일주동로,6347-17,표선면,,,
33.3234478,126.8447796,해비치리조트,,215,+82 64 780 8000,2020-06-30,resort,,민속해안로,537,표선면,,,
33.3397824,126.3516098,(주)캐슬렉스제주 휴양콘도미니엄,,83,+82 64 793 6600,2020-06-30,resort,,평화로,1241,안덕면,,,
33.3056347,126.7921182,대명 샤인빌리조트 2차,,104,+82 1588 4888,2020-06-30,resort,,일주동로,6347-17,표선면,,,
33.4112985,126.7819256,사이프러스 골프&리조트 휴양콘도미니엄,,72,+82 64 786 2411,2020-06-30,resort,,번영로,2300,표선면,,,
33.4305402,126.9277393,휘닉스 제주 섭지코지,,350,+82 64 731 7000,2020-06-30,resort,,섭지코지로,107,성산읍,,,
33.2424187,126.5185172,신성리조트,,62,+82 64 739 0114,2020-06-30,resort,,이어도로,989,,,,
33.2443564,126.5110873,폴에이리조트 제주,,130,+82 64 739 3001,2020-06-30,resort,,월드컵로45번길,40,,,,
33.2812324,126.4158092,(주)호텔롯데 롯데리조트제주,,73,+82 64 731 9111,2020-06-30,resort,,색달중앙로252번길,124,,,,
33.3245683,126.6627718,스프링데일 골프&리조트,,44,+82 64 800 8000,2020-06-30,resort,,서성로,459-1,남원읍,,,
33.2368125,126.3726875,베이힐 풀 앤 빌라,,30,+82 64 801 9000,2020-06-30,resort,,예래로,424,,,,
33.2663197,126.5671727,제주녹지리조트1,,188,+82 64 733 8866,2020-06-30,resort,,동홍로,443,,,,
33.306381,126.5843885,우리들리조트 아트텔,,25,+82 64 766 7712,2020-06-30,resort,,산록남로,2917,,,,
33.3205696,126.3856162,루체빌리조트,,68,+82 64 805 0114,2020-06-30,resort,,산록남로,786,안덕면,,,
33.2663197,126.5671727,제주녹지리조트2,,212,+82 64 733 8866,2020-06-30,resort,,솔오름로105번길,24,,,,
33.2812754,126.5784104,빅토르힐 리조트,,31,+82 64 780 6300,2020-06-30,resort,,516로277번길,45,,,,
33.4318562,126.9255225,오션스타 휴양콘도미니엄,,330,+82 64 783 1888,2020-06-30,resort,,섭지코지로,169,성산읍,,,
33.3057651,126.3888509,디 아넥스 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,43,+82 64 792 5200,2020-06-30,resort,,산록남로,71,안덕면,,,
33.2412366,126.424492,제주부영리조트,,187,+82 64 731 5500,2020-06-30,resort,,중문관광로,216,,,,
33.3096744,126.3218178,테디벨리리조트 휴양콘도미니엄,,190,+82 64 773 7800,2020-06-30,resort,,서광동로34번길,204,안덕면,,,
33.3060336,126.6580882,백통신원리조트,,116,+82 64 766 6888,2020-06-30,resort,,서성로,427,남원읍,,,
33.2536833,126.5418942,덴앤델리조트,,78,+82 70 4523 8000,2020-06-30,resort,,태평로,156,,,,
33.2659029,126.3837498,중문훼미리 휴양콘도미니엄,,102,+82 64 738 7871,2020-06-30,resort,,소보리당로164번길,83,,,,
33.3026456,126.316966,제주신화빌라스,,721,+82 1670 8800,2020-06-30,resort,,신화역사로304번길,139,안덕면,,,
33.2844099,126.5796743,더큐브리조트제주,,255,+82 64 717 6642,2020-06-30,resort,,솔오름로105번길,24,,,,
33.2763665,126.4476633,ES제주리조트,,153,+82 70 4548 0285,2020-06-30,resort,,1100로,501,,,,
33.2487954,126.4198849,씨사이드아덴,,190,+82 64 738 9636,2020-06-30,resort,,중문관광로,124,,,,
