위도,경도,name,tourism,motor_vehicle,tents,caravans,static_caravans,addr:full,capacity:caravans,capacity:tents,power_supply,bbq,hot_water,internet_access,swimming_pool,shower,toilets,washing_machine,source:date
37.7608264,127.8469049,(주)데일리랜드 ,camp_site,yes,,,,강원도 춘천시 동산면 봉명리 35,0,16,yes,yes,yes,yes,yes,,,,2019-07-12
35.2715103,126.961211,(주)디노담양힐링파크 지점,camp_site,,yes,yes,yes,전남 담양군 봉산면 탄금길 9-26,2,26,yes,yes,yes,yes,yes,,,,2019-07-12
37.7015645,127.5960926,(주)쉐르빌리안티티,camp_site,,yes,,,강원도 홍천군 서면 밤벌길19번길111 ,0,18,yes,yes,yes,yes,yes,,,,2019-07-12
37.728234,127.510804,(주)아웃오브파크,camp_site,,,yes,yes,강원도 춘천시 남면 가옹개길 52-9,40,40,no,no,no,no,yes,,,,2019-07-12
35.1365006,128.3753007,(주)양촌여울체험캠프,camp_site,yes,yes,,,경상남도 창원시 마산합포구 진전면 의산삼일로 60,0,38,yes,no,yes,no,yes,,,,2019-07-12
37.732632,127.5116915,(주)어반슬로우시티,camp_site,yes,yes,,,강원도 춘천시 남면 가옹개길 108 ,0,47,yes,no,yes,yes,,,,,2019-07-12
37.6963001,127.6892996,쥴리어스지점 휴토피아,camp_site,,yes,,,강원도 홍천군 서면 어유포리 ,0,17,yes,yes,yes,yes,yes,,,,2019-07-12
35.9840344,129.0005945,(주)자연에너지-드림랜드오토캠핑장,camp_site,,yes,,,경상북도 영천시 고경면 고도길 38 ,0,270,yes,yes,yes,yes,yes,,,,2019-07-12
33.4687254,126.5399565,(주)자연인 ,camp_site,,yes,,,제주특별자치도 제주시 아란서길 110-0 ,0,20,no,no,no,no,,,,,2019-07-12
34.9968071,126.1776166,(주)태평소금 천일염 힐링캠프,camp_site,,yes,,,전라남도 신안군 증도면 지도증도로 1053-11 ,10,19,yes,yes,yes,no,yes,,,,2019-07-12
38.0893491,127.3214361,353 캠핑장 ,camp_site,,yes,,,경기도 포천시 영북면 산정리 ,0,,yes,yes,yes,no,yes,,,,2019-07-12
36.5013917,127.0202,505펜션&캠핑(오공오),camp_site,,yes,,,충청남도 공주시 사곡면 호계리 ,0,22,yes,yes,yes,yes,yes,,,,2019-07-12
36.0300417,128.6304762,80 SS 오토캠핑장,camp_site,yes,yes,,,경북 군위군 부계면 남산리 1138-4번지,0,31,yes,yes,yes,yes,yes,,,,2019-07-12
37.3467235,127.8105836,A&J오토캠핑장 ,camp_site,yes,,,,강원도 원주시 지정면 안창리 ,0,,yes,no,no,no,,,,,2019-07-12
35.8787838,127.9410435,Camp 1950 by 민들레울,camp_site,,yes,,,김천시 대덕면 남김천대로 160,0,20,yes,yes,yes,yes,yes,,,,2019-07-12
36.683579,126.2683706,CLUB 596,camp_site,,yes,,,충남 태안군 남면 몽산리 596,0,5,yes,yes,yes,yes,yes,,,,2019-07-12
38.135059,127.019045,DMZ 마루캠핑,camp_site,yes,,,,경기도 연천군 중면 군중로 399,0,30,yes,yes,yes,yes,yes,,,,2019-07-12
38.2201219,127.1806653,DMZ캠핑장 ,camp_site,yes,,,,강원도 철원군 철원읍 독서당길 225-134 ,0,13,yes,yes,no,yes,,,,,2019-07-12
37.2190029,127.1346316,EBS골드캠핑장 ,camp_site,yes,,,,경기도 용인시 기흥구 기흥단지로 397 ,15,30,yes,yes,yes,yes,yes,,,,2019-07-12
34.7367086,126.3935277,F1 오토캠핑장 ,camp_site,,yes,,,전라남도 영암군 삼호읍 삼포리 ,6,46,no,no,yes,no,,,,,2019-07-12
37.9613524,126.9268289,JB 캠핑하우스 ,camp_site,yes,,,,경기도 파주시 적성면 감악산로 1270-54 ,0,,yes,no,yes,no,yes,,,,2019-07-12
37.1103264,128.6037991,Najost Camp(나조스트 캠프),camp_site,,yes,,,강원 영월군 김삿갓면 김삿갓로 638,0,20,yes,yes,yes,yes,,,,,2019-07-12
37.5390902,128.1110517,THATS CAMPING 횡성자연휴양림야영장,camp_site,,yes,,,강원도 횡성군 갑천면정포로430번길 113 ,0,65,yes,yes,yes,no,yes,,,,2019-07-12
34.718507,127.781276,The Star 오토캠핑장,camp_site,yes,yes,yes,yes,전남 여수시 돌산읍 상하동길 268,2,30,yes,yes,yes,yes,yes,,,,2019-07-12
35.4972561,128.9267335,VIP오토캠핑장 ,camp_site,yes,,,,경상남도 밀양시 단장면 고례리 ,0,28,yes,no,no,no,,,,,2019-07-12
35.3932118,127.8873465,W글램핑 ,camp_site,,yes,,,경상남도 산청군 산청읍 내리 ,0,15,yes,no,no,no,,,,,2019-07-12
