시도명,시군구명,사업장명,연락처,부지(m²),시설내역_총점유면적(m²),시설내역_저온저장고(m²),시설내역_집하선별포장장(m²),시설내역_일반창고(m²),소재지도로명주소,경도,위도
강원도,춘천시,춘천원예농협,033-243-6100,5709,1410,59,1021,,강원도 춘천시 영서로 2926,127.7231848,37.91356581
강원도,춘천시,서춘천농협,033-243-8015,4743,1441,945,496,,강원도 춘천시 서면 서상로 151,127.6989227,37.93190387
강원도,춘천시,춘천농협,033-243-8310,15011,2042,297,1178,265,강원도 춘천시 신동로 113,127.7344564,37.9291036
강원도,춘천시,신북농협,033-244-9711,2640,2314,496,993,312,강원도 춘천시 신북읍 장본길 104,127.7612114,37.95233945
강원도,춘천시,동춘천농협,033-261-8903,688,564,66,495,,강원도 춘천시 동내면 향군길 7,127.7628879,37.84809156
강원도,평창군,평창농업협동조합,033-332-1106,5030,1944,620,297,,강원도 평창군 방림면 서동로 1241,128.3858202,37.43099494
강원도,평창군,대화농업협동조합,033-333-2722,8419,5170,1111,3699,,강원도 평창군 대화면 평창대로 733,128.4531219,37.48725191
강원도,평창군,대관령원예농협,033-335-0610,21154,7526,1322,2905,463,강원도 평창군 대관령면 경강로 4980,128.6816593,37.6864373
강원도,평창군,봉평농업협동조합,033-335-4501,4298,1586,631,634,,강원도 평창군 봉평면 기풍로 135,128.3780603,37.61468896
강원도,평창군,대관령농협,033-335-5966,21154,7526,1322,2905,463,강원도 평창군대관령면 경강로 4357,128.6200362,37.67265534
강원도,평창군,진부농업협동조합,033-335-7353,1672,1652,660,992,,강원도 평창군 진부면 하송정길 200-8,128.5534836,37.61307175
강원도,횡성군,둔내농협,033-343-1981,9755,1707,668,674,330,강원도 횡성군 둔내면 청태산로 84,128.2321876,37.51439878
강원도,횡성군,둔내농협,033-343-1981,4092,2316,150,,,강원도 횡성군 둔내면 고원로 49,128.2113814,37.5088261
강원도,횡성군,동횡성농협 청일지점,033-345-9888,2929,843,509,168,100,강원도 횡성군 청일면 유동로 7,128.1496807,37.58311569
강원도,정선군,예미농업협동조합,033-378-0080,4760,851,331,499,21,강원도 정선군 신동읍 의림로 426 ,128.6505209,37.22771295
강원도,홍천군,내면농협,033-432-2901,20285,5450,1790,3529,,강원도 홍천군 내면 대한동길 26,128.3964109,37.77732853
강원도,홍천군,서석농협,033-433-4019,17084,3037,,2369,,강원도 홍천군 서석면 구룡령로 2541,128.1873528,37.71210602
강원도,홍천군,내촌농협,033-433-5502,2282,2282,495,1622,,강원도 홍천군 내촌면 아홉사리로 1062,128.081257,37.81543952
강원도,화천군,화천농협중앙지소 APC,033-442-1400,29426,6170,990,4290,,강원도 화천군 화천읍 영서로 6371-1,127.6836984,38.11323126
강원도,철원군,갈말농협,033-452-5781,14397,1669,,826,843,강원도 철원군 호국로 5220,127.41377,38.247589
강원도,철원군,동송농협,033-455-8572,2792,1219,,,1219,강원도 철원군 동송읍 오덕로 71,127.227614,38.216635
강원도,철원군,조은그린㈜,033-458-1717,912,912,429,450,33,강원도 철원군 신벌로 33-64,127.433974,38.249922
강원도,철원군,김화농협,033-458-9054,28373,4389,264,2871,3135,강원도 철원군 근남면 와수로 486,127.465569,38.253971
강원도,인제군,사계절 농산물 선별 유통센터,033-460-2262,3438,780,132,472,,강원도 인제군 인제읍 오작로 50,128.3753168,38.0139375
강원도,인제군,인제농협,033-461-2570,7830,1254,,330,264,강원도 인제군 인제읍 이평로 261,127.7217949,37.8918872
강원도,인제군 ,기린농협,033-461-5016,1760,694,59,409,164,강원도 인제군 상남면 상남로 37,128.259389,37.873003
강원도,원주시,판부농협농산물산지유통센터,033-462-5601,3392,204,69.2,532.79,226.44,강원도 원주시 갈촌길 8(관설동),127.9701969,37.31429662
강원도,인제군,청정설악영농조합,033-462-5601,3550,204,204,,,강원도 인제군 북면 미시령로 1347 ,127.7217949,37.8918872
강원도,양구군,양구군,033-482-2357,7454,2264,5,3,,강원도 양구군 양구읍 금강산로 437-19,127.990017,38.118657
강원도,정선군,임계농업협동조합,033-562-6146,3649,1232,400,458,289,강원도 정선군 임계면 수고당길 12 ,128.8511066,37.47711208
강원도,정선군,그림바위영농조합법인 ,033-562-9282,5105,576,330,80,136,강원도 정선군 화암면 민둥산로 939 ,128.7934044,37.30319972
강원도,삼척시,삼척농협 하장지점,033-572-3900,3635,3635,240,,,강원도 삼척시 하장면 백두대간로 2677,128.944272,37.348837
강원도,강릉시,강릉농업협동조합장,033-646-4864,5143,969,330,,,강원도 강릉시 유산로 11-10,128.9123195,37.73652908
