시도명,시군구명,시설명,구분,연락처,소재지지번주소
강원도,강릉시,그루브,식품접객업,,강원도 강릉시 금학동 13-4  
강원도,강릉시,깊은맛하루애,식품접객업,,강원도 강릉시 송정동 331-13
강원도,강릉시,본푸드서비스㈜ 강원도립대점,기타,,강원도 강릉시 주문진읍 교항리 8-2
강원도,강릉시,㈜승산레저 기숙사,기타,,강원도 강릉시 난곡동 105
강원도,강릉시,외국인어선원복지회관,기타,,강원도 강릉시 주문진읍 교항리 167-49
강원도,강릉시,원복빌딩,기타,,강원도 강릉시 옥천동 140-2 외1필지
강원도,강릉시,그린타워,기타,,강원도 강릉시 금학동 13-4
강원도,강릉시,교동골드빌딩,기타,,강원도 강릉시 교동 1875-3
강원도,강릉시,실크로드,기타,,강원도 강릉시 교동 1871-2
강원도,강릉시,형제빌딩(형제스포츠센타 건물),기타,,강원도 강릉시 교동 1890-3
강원도,강릉시,원영빌딩,기타,,강원도 강릉시 임당동 86
강원도,강릉시,만옥빌딩(천방뚝감자탕 건물),기타,,강원도 강릉시 포남동 1292-2
강원도,강릉시,한국노인생활지원재단(승민식품),기타,,강원도 강릉시 담산동 335-1
강원도,강릉시,제중빌딩,기타,,강원도 강릉시 금학동 8-3
강원도,강릉시,"로얄빌딩(도담도담, 유디치과, TNGT)",기타,,강원도 강릉시 성내동 15-1
강원도,강릉시,시삼빌딩(삼일개발 상가건물),기타,,강원도 강릉시 옥천동 329-8
강원도,강릉시,드림타워빌딩,기타,,강원도 강릉시 입암동 113-2
강원도,강릉시,동보빌딩,기타,,강원도 강릉시 교동 1891-16
강원도,강릉시,우진빌딩,기타,,강원도 강릉시 포남동 1292 외1필지
강원도,강릉시,정관빌딩(남양홍씨예사공파정관종중),기타,,강원도 강릉시 교동 1875-4
강원도,강릉시,카리스마빌딩,기타,,강원도 강릉시 포남동 1289-1
강원도,강릉시,지산빌딩(넷드림),기타,,강원도 강릉시 옥천동 283
강원도,강릉시,택지일번가,기타,,강원도 강릉시 교동 1868-9
강원도,강릉시,진우빌딩(국민은행포남동출장소),기타,,강원도 강릉시 포남동 1276 외3필지
강원도,강릉시,덕양빌딩,기타,,강원도 강릉시 입암동 708-3
강원도,강릉시,국제프라자,기타,,강원도 강릉시 입암동 238
강원도,강릉시,현진빌딩,기타,,강원도 강릉시 교동 1882-3
강원도,강릉시,주영프라자,기타,,강원도 강릉시 입암동 238-5
강원도,강릉시,임오빌딩(코닝상사),기타,,강원도 강릉시 교동 1881-7
강원도,강릉시,조은빌딩,기타,,강원도 강릉시 교동 1881-6
강원도,강릉시,강릉항 회센터,기타,,강원도 강릉시 견소동 286-4
강원도,강릉시,청호빌딩,기타,,강원도 강릉시 교동 1888-1
강원도,강릉시,운해빌딩,기타,,강원도 강릉시 포남동 1291-5 외1필지
강원도,강릉시,문선빌딩,기타,,강원도 강릉시 임당동 112-1
강원도,강릉시,현대빌딩,기타,,강원도 강릉시 교동 1889-6
강원도,강릉시,유성빌딩,기타,,강원도 강릉시 교동 1890-4
강원도,강릉시,기흥빌딩,기타,,강원도 강릉시 교동 1881-4
강원도,강릉시,강릉일번가,기타,,강원도 강릉시 금학동 92-1 외4필지
강원도,강릉시,예닮원(예닮글로벌학교),기타,02-1670-1986,강원도 강릉시 구정면 제비리 236-21
강원도,강릉시,파마리서치프로덕트㈜,기타,033-210-340,강원도 강릉시 대전동 912-1
강원도,강릉시,㈜아워홈 라파즈한라시멘트생산식당,기타,033-530-1315,강원도 강릉시 옥계면 산계리 280-1 
강원도,강릉시,라파즈한라시멘트㈜항만공장,기타,033-530-1615,강원도 강릉시 옥계면 주수리 561-1
강원도,강릉시,㈜아워홈 라파즈한라시멘트항만식당,기타,033-530-1615,강원도 강릉시 옥계면 주수리 561-1
강원도,강릉시,㈜아워홈 라파즈한라시멘트협력업체식당,기타,033-530-1915,강원도 강릉시 옥계면 산계리 280-1 
강원도,강릉시,한국여성수련원,기타,033-530-4397,강원도 강릉시 옥계면 금진리 464-1 
강원도,강릉시,옥계예수요양병원,기타,033-530-7000,강원도 강릉시 옥계면 현내리 311-2 
강원도,강릉시,옥계초등학교,학교,033-534-0007,강원도 강릉시 옥계면 현내리 362
강원도,강릉시,옥계초등학교,기타,033-534-0026,강원도 강릉시 옥계면 현내리 344   
강원도,강릉시,금진초등학교,학교,033-534-0107,강원도 강릉시 옥계면 금진리 417   
강원도,강릉시,라파즈한라시멘트㈜,기타,033-534-0909,강원도 강릉시 옥계면 산계리 280-1
강원도,강릉시,싱싱금빛횟집,식품접객업,033-534-1130,강원도 강릉시 옥계면 금진리 124-19
강원도,강릉시,옥계예수요양병원,기타,033-534-1391,강원도 강릉시 옥계면 현내리 311-2 
강원도,강릉시,옥계휴게소(속초방향)서창산업㈜,식품접객업,033-534-1700,강원도 강릉시 옥계면 도직리 126-8 
강원도,강릉시,옥계휴게소(속초방향)서창산업㈜,기타,033-534-1700,강원도 강릉시 옥계면 도직리 126-8 외12필지 
강원도,강릉시,옥계라파즈한라아파트,공동주택,033-534-2123,강원도 강릉시 옥계면 현내리 346
강원도,강릉시,한국여성수련원,기타,033-534-7601,강원도 강릉시 옥계면 금진리 464-1
강원도,강릉시,옥계중학교,기타,033-534-7614,강원도 강릉시 옥계면 천남리 172  
강원도,강릉시,옥계중학교,학교,033-534-7614,강원도 강릉시 옥계면 천남리 172  
강원도,강릉시,메인모텔,숙박업,033-534-9380,강원도 강릉시 옥계면 현내리 241-1 
강원도,강릉시,강릉영동대학교,학교,033-610-0114,강원도 강릉시 홍제동 1009
강원도,강릉시,강릉영동대학교 생활관식당,기타,033-610-0147,강원도 강릉시 성산면 금산리 11 
강원도,강릉시,포남초등학교,학교,033-610-1000,강원도 강릉시 포남동 1085
강원도,강릉시,강릉의료원장례식장식당,식품접객업,033-610-1200,강원도 강릉시 남문동 164-1  
강원도,강릉시,강원도강릉의료원,기타,033-610-1200,강원도 강릉시 남문동 164-1
강원도,강릉시,강릉원주대학교 해양생물연구교육센터,기타,033-610-2005,강원도 강릉시 대전동
강원도,강릉시,한국수력원자력강릉수력발전소,기타,033-610-2211,강원도 강릉시 성산면 오봉리 212 
강원도,강릉시,강릉아산병원,기타,033-610-3114,강원도 강릉시 사천면 방동리 415  
강원도,강릉시,강릉아산병원,기타,033-610-3781,강원도 강릉시 사천면 방동리 415  
강원도,강릉시,강릉아산의전식당,식품접객업,033-610-3891,강원도 강릉시 사천면 방동리 415 
강원도,강릉시,강릉아산병원어린이집,보육시설,033-610-3899,강원도 강릉시 사천면 방동리 415  
강원도,강릉시,㈜현대그린푸드 강릉아산병원지점,기타,033-610-3995,강원도 강릉시 사천면 방동리 415  
강원도,강릉시,율곡중학교,학교,033-610-5205,강원도 강릉시 교동 695
강원도,강릉시,한국폴리텍Ⅲ대학 강릉캠퍼스,기타,033-610-6155,강원도 강릉시 노암동 779  
강원도,강릉시,한국폴리텍Ⅲ대학 강릉캠퍼스,기타,033-610-6199,강원도 강릉시 노암동 779  
강원도,강릉시,현대자동차(주)강릉서비스센터,기타,033-610-6433,강원도 강릉시 입암동 21-12  
강원도,강릉시,강릉중앙고등학교,기타,033-610-6600,강원도 강릉시 입암동 525  
강원도,강릉시,썬크루즈리조트,숙박업,033-610-7000,강원도 강릉시 강동면 정동진리 50-10
강원도,강릉시,아망떼(썬크루즈리조트),식품접객업,033-610-7000,강원도 강릉시 강동면 정동진리 50-153
강원도,강릉시,어국(썬크루즈리조트),식품접객업,033-610-7000,강원도 강릉시 강동면 정동진리 50-153 
강원도,강릉시,스페이스오페라(썬크루즈리조트),식품접객업,033-610-7118,강원도 강릉시 강동면 정동진리 50-10
강원도,강릉시,인터내셔날(썬크루즈리조트),식품접객업,033-610-7118,강원도 강릉시 강동면 정동진리 50-10
강원도,강릉시,동명중학교,학교,033-610-8804,강원도 강릉시 포남동 424
강원도,강릉시,강릉세무서,기타,033-610-9200,강원도 강릉시 교동 산68
강원도,강릉시,강릉우체국,기타,033-610-9711,강원도 강릉시 포남동 1118-4
강원도,강릉시,강원도교직원수련원,기타,033-611-3894,강원도 강릉시 주문진읍 향호리 1187-1
강원도,강릉시,롯데칠성음료㈜강릉공장,기타,033-640-0258,강원도 강릉시 회산동 81
강원도,강릉시,라카이샌드파인골프클럽레스토랑㈜승산,식품접객업,033-640-0683,강원도 강릉시 저동 522
강원도,강릉시,한국도로공사강릉지사,기타,033-640-1337 ,강원도 강릉시 성산면 위촌리 143-4 외24필지
강원도,강릉시,강릉원주대학교 소비자생활협동조합 문화관식당,기타,033-640-2037,강원도 강릉시 지변동 123  
강원도,강릉시,강릉원주대학교 소비자생활협동조합 학생식당,기타,033-640-2037,강원도 강릉시 지변동 산 1
강원도,강릉시,강릉원주대학교 학생생활관,기타,033-640-2645,강원도 강릉시 지변동 123  
강원도,강릉시,강릉원주대학교치과병원,기타,033-640-3114,강원도 강릉시 지변동 123
강원도,강릉시,강원도강릉교육지원청,기타,033-640-3315,강원도 강릉시 노암동 351-19
강원도,강릉시,강릉생활환경사업소,기타,033-640-3391,강원도 강릉시 강동면 임곡리 25
강원도,강릉시,강릉우편집중국청사,기타,033-640-3801,강원도 강릉시 교동 1783
강원도,강릉시,강릉단오문화관,공연장,033-640-3941,강원도 강릉시 노암동 722-2
강원도,강릉시,북부노인종합복지관,기타,033-640-4285,강원도 강릉시 연곡면 영진리 360-15
강원도,강릉시,강릉시여성문화센터,기타,033-640-4450,강원도 강릉시 포남동 1295
강원도,강릉시,주문진문화교육센터,기타,033-640-4454,강원도 강릉시 주문진읍 주문리 1033
강원도,강릉시,강릉국민체육센터(실내수영장),기타,033-640-4551,강원도 강릉시 교동 458-1 외2필지
강원도,강릉시,강남축구공원,기타,033-640-4552,강원도 강릉시 노암동 산35 외20필지
강원도,강릉시,청소년수련관,기타,033-640-4794,강원도 강릉시 교동 2-10
강원도,강릉시,강릉시노인종합복지관,기타,033-640-4809,강원도 강릉시 홍제동 96-54
강원도,강릉시,강릉시노인종합복지관,기타,033-640-4810,강원도 강릉시 홍제동 96-54  
강원도,강릉시,강릉시평생학습센터(도서관14개),기타,033-640-4850,강원도 강릉시 교동 822
강원도,강릉시,강릉시청소년문화의집,기타,033-640-4957,강원도 강릉시 연곡면 영진리 360-22
강원도,강릉시,강릉시청,기타,033-640-5084,강원도 강릉시 홍제동 1001  
강원도,강릉시,강릉시청구내식당,기타,033-640-5877,강원도 강릉시 홍제동 1001  
강원도,강릉시,사임당교육원,기타,033-640-6560,강원도 강릉시 주문진읍 교항리 48-146
강원도,강릉시,한국방송공사 강릉KBS,기타,033-640-7100,강원도 강릉시 용강동 62-5
강원도,강릉시,동부지방산림청청사,기타,033-640-8514,강원도 강릉시 교동 420-1
강원도,강릉시,강원도립강릉요양병원,기타,033-640-8820,강원도 강릉시 남문동 164-1
강원도,강릉시,강원도교육연수원(교육수련원),기타,033-640-9533,강원도 강릉시 초당동 57-18 외5필지
강원도,강릉시,강원도교육연수원(행정연수부),기타,033-640-9534,강원도 강릉시 병산동 445-5 외1필지
