시군명,시설구분,시설명,소재지도로명주소,소재지지번주소,전화번호,연면적,객석수또는관람석수또는병상수,위도,경도,데이터기준일자
양주시,인터넷컴퓨터게임시설제공업의 영업시설,사이버파크,경기도 양주시 회정로 107  (덕정동),,031-859-2001,398.6,,37.837832,127.065015,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,아론PC백석점,경기도 양주시 백석읍 양주산성로 544,,,343.18,,37.787023,126.993707,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,피씨나인,경기도 양주시 회정로 114,,,894.19,,37.837438,127.065903,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,아론pc 덕계점,경기도 양주시 평화로 1452(덕계동),,,381.28,,37.8198078,127.047684,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,더텐 피시카페,"경기도 양주시 고읍남로 20-5, 3층",,,487.01,,37.794379,127.080332,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,포텐pc방,"경기도 양주시 옥정로226, 11층",,031-867-9815,421.09,,37.822216,127.091599,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,탐스피씨카페,"경기도 양주시 광적면 삼일로16, 2층",,070-4009-7863,496.48,,37.820422,126.986909,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,옥스pc 광사점,"경기도 양주시 고읍남로14, 더테라스 3층",,,351.4,,37.795513,127.079995,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,㈜메르시,"경기도 양주시 회정로101, 가동 2층",,,343.74,,37.837574,127.064365,2020-07-15
양주시,인터넷컴퓨터게임시설제공업의 영업시설,피디에스 pc cafe 양주백석점,"경기도 양주시 백석읍 고릉말로49, 2층",,,320.03,,37.800233,126.9974679,2020-07-15
양주시,영화상영관,메가박스 양주,경기도 양주시 고읍남로 6-6 (광사동),,031-843-0600,11373.8,,37.796252,127.080094,2020-07-15
양주시,영화상영관,롯데시네마,경기도 양주시 고읍남로 6-16 (광사동),,1544-8855,7193.08,,37.795584,127.080106,2020-07-15
양주시,노인요양시설,효자재활요양원,경기도 양주시 백석읍 기산로440번길 78,,031-871-1566,1310.56,,37.773506,126.938582,2020-07-15
양주시,노인요양시설,물댄동산,경기도 양주시 은현면 운하로434번길 20,,031-865-5420,2473.84,,37.887143,127.0329861,2020-07-15
양주시,노인요양시설,삼성노인전문요양원,경기도 양주시 백석읍 기산로440번길 88,,031-871-5858,1416.58,,37.7728422,126.9361122,2020-07-15
