업종,상호,도로명주소,지번주소,위도,경도,시설전화번호,데이터기준일자
수영장업,켄싱턴 수영장,제주특별자치도 서귀포시 이어도로 684,제주특별자치도 서귀포시 강정동 2677,33.2336777527,126.4890403912,064-739-9001,2020-02-06
수영장업,한라의료재단 서귀포분원 수영장,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,33.2861647329,126.4440335918,-,2020-02-06
수영장업,아쿠아랜드,제주특별자치도 서귀포시 월드컵로 31,제주특별자치도 서귀포시 법환동 914,33.2470669170,126.5073629555,064-739-1930,2020-02-06
수영장업,해비치수영장,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-69,33.3228717542,126.8449556046,064-780-8221,2020-02-06
수영장업,해비치호텔 야외수영장,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-69,33.3228717542,126.8449556046,-,2020-02-06
수영장업,금호리조트 아쿠아나,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.2736544528,126.7027558606,064-766-8000,2020-02-06
수영장업,휘닉스 실내수영장,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127-2,33.4260310216,126.9264485043,-,2020-02-06
수영장업,휘닉스 실외수영장,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127-2,33.4260310216,126.9264485043,-,2020-02-06
수영장업,서귀포중학교 실내수영장,제주특별자치도 서귀포시 태평로 474,제주특별자치도 서귀포시 서귀동 231,33.2477461453,126.5699093257,064-732-5248,2020-02-06
수영장업,(주)마린파크,제주특별자치도 서귀포시 안덕면 화순중앙로 132,제주특별자치도 서귀포시 안덕면 화순리 823,33.2408102252,126.3347121869,064-792-7776,2020-02-06
수영장업,(주)부영주택 제주부영호텔&리조트,제주특별자치도 서귀포시 중문관광로 222,제주특별자치도 서귀포시 중문동 2700-2,33.2425614379,126.4232493534,064-731-5500,2020-02-06
수영장업,제주헬스케어타운콘도미니엄-2,제주특별자치도 서귀포시 솔오름로20번길 12,제주특별자치도 서귀포시 동홍동 2051,33.2847785302,126.5557550497,064-717-6671,2020-02-06
수영장업,(주)호텔롯데 롯데리조트제주,제주특별자치도 서귀포시 색달중앙로252번길 124,제주특별자치도 서귀포시 색달동 301,33.2881159281,126.4142155758,-,2020-02-06
수영장업,빅토르힐 리조트,제주특별자치도 서귀포시 516로277번길 45,제주특별자치도 서귀포시 토평동 2869,33.2793461045,126.5814377231,-,2020-02-06
수영장업,K&D 스포츠(제주점),제주특별자치도 서귀포시 안덕면 신화역사로 473-7,제주특별자치도 서귀포시 안덕면 동광리 926-2,33.3110031658,126.3381999041,064-805-2299,2020-02-06
수영장업,모실 수영장,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.3049739532,126.3163541636,-,2020-02-06
수영장업,금호리조트아쿠아나,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.2736544528,126.7027558606,-,2020-02-06
수영장업,탐모라 수영장,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,제주특별자치도 서귀포시 안덕면 서광리 산 24-15,33.3027520740,126.3176084087,064-908-6000,2020-02-06
수영장업,블루라곤 실내수영장,제주특별자치도 서귀포시 성산읍 고성오조로 94,제주특별자치도 서귀포시 성산읍 고성리 1201,33.4521052372,126.9145263638,-,2020-02-06
수영장업,스카이풀 수영장,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.3049739532,126.3163541636,-,2020-02-06
수영장업,뽀로로&타요 테마파크 수영장,제주특별자치도 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리 79,33.3004434211,126.3708121899,-,2020-02-06
체육도장업,덕인태권도장,제주특별자치도 서귀포시 솜반천로 4,제주특별자치도 서귀포시 서홍동 397-111,33.2544315811,126.5603256959,064-762-6565,2020-02-06
체육도장업,청용태권도장,제주특별자치도 서귀포시 효돈로 174,제주특별자치도 서귀포시 하효동 142-2,33.2635315819,126.6172651258,-,2020-02-06
체육도장업,남원태권도장,제주특별자치도 서귀포시 남원읍 태위로 668,제주특별자치도 서귀포시 남원읍 남원리 113-4,33.2786739733,126.7179043523,064-764-1921,2020-02-06
체육도장업,안덕용두체육관,제주특별자치도 서귀포시 안덕면 화순중앙로 42,제주특별자치도 서귀포시 안덕면 화순리 1117-1,33.2485207226,126.3353619792,064-794-9768,2020-02-06
체육도장업,표선태권도장,제주특별자치도 서귀포시 표선면 표선관정로 48-14,제주특별자치도 서귀포시 표선면 표선리 1652-1,33.3271880395,126.8253919479,064-787-0667,2020-02-06
체육도장업,강무체육관,제주특별자치도 서귀포시 대정읍 하모중앙로38번길 4,제주특별자치도 서귀포시 대정읍 하모리 1424,33.2250377469,126.2519335594,064-794-2971,2020-02-06
체육도장업,비룡체육관,제주특별자치도 서귀포시 대정읍 상모로289번길 20,제주특별자치도 서귀포시 대정읍 상모리 3953,33.2220988945,126.2568158198,064-794-3796,2020-02-06
체육도장업,덕인태권도장,제주특별자치도 서귀포시 중문로 28,제주특별자치도 서귀포시 중문동 2073-10,33.2540358738,126.4245003525,-,2020-02-06
체육도장업,정도태권도체육관,제주특별자치도 서귀포시 남원읍 태위로43번길 11,제주특별자치도 서귀포시 남원읍 위미리 4140-1,33.2740847350,126.6517775163,-,2020-02-06
체육도장업,표선황우태권도체육관,제주특별자치도 서귀포시 표선면 표선중앙로58번길 10,제주특별자치도 서귀포시 표선면 표선리 555,33.3276528292,126.8302714569,064-787-5757,2020-02-06
체육도장업,힘찬태권도장,제주특별자치도 서귀포시 동홍중앙로52번길 7,제주특별자치도 서귀포시 동홍동 471-2,33.2554457258,126.5729493860,064-763-7888,2020-02-06
체육도장업,연세대성원태권도체육관,제주특별자치도 서귀포시 천제연로213번길 18,제주특별자치도 서귀포시 중문동 1998-5,33.2529901382,126.4276578460,-,2020-02-06
체육도장업,승무태권도장,제주특별자치도 서귀포시 대정읍 상모로270번길 6,제주특별자치도 서귀포시 대정읍 상모리 3125-4,33.2238242685,126.2606974028,064-794-7449,2020-02-06
