업종,업소명,주소,지번주소,위도,경도,데이터기준일자
목욕업,화순새마을목욕탕,제주특별자치도 서귀포시 안덕면 화순중앙로 76,제주특별자치도 서귀포시 안덕면 화순리 345,33.24548059,126.3360588,2020-07-01
미용업,윤경미용실,제주특별자치도 서귀포시 중정로 91번길 53-1,제주특별자치도 서귀포시 서귀동 288-24,33.25153673,126.5616837,2020-07-01
세탁업,스피드세탁소,제주특별자치도 서귀포시 남원읍 태위로 657 ,제주특별자치도 서귀포시 남원읍 남원리 140-5,33.27867125,126.7167064,2020-07-01
숙박업,장원민박,제주특별자치도 서귀포시 천제연로 49 ,제주특별자치도 서귀포시 색달동 2539-3,33.25695581,126.4111226,2020-07-01
숙박업,대림모텔,제주특별자치도 서귀포시 중정로 21 ,제주특별자치도 서귀포시 서귀동 319-6,33.24772519,126.5587797,2020-07-01
이미용업,삼진미용실,제주특별자치도 서귀포시 중앙로 198-11 ,제주특별자치도 서귀포시 동홍동 1312,33.26229719,126.5602691,2020-07-01
이미용업,영천이용원,제주특별자치도 서귀포시 516로 462 ,제주특별자치도 서귀포시 상효동 1298-3,33.29226222,126.594869,2020-07-01
이미용업,영미헤어라인,제주특별자치도 서귀포시 중앙로 48번길 8-1 ,제주특별자치도 서귀포시 서귀동 292-12,33.24892874,126.5625724,2020-07-01
이미용업,영미용실,제주특별자치도 서귀포시 이중섭로 5-7 ,제주특별자치도 서귀포시 서귀동 407-4,33.24787249,126.5647581,2020-07-01
이미용업,아름다운풍경미용실,제주특별자치도 서귀포시 흙담솔로 20 ,제주특별자치도 서귀포시 서홍동 303,33.26060864,126.5570236,2020-07-01
이미용업,웰빙이용원,제주특별자치도 서귀포시 천제연로 188번길 6-6 ,제주특별자치도 서귀포시 중문동 2121,33.25136098,126.4239642,2020-07-01
이미용업,소리헤어샵,제주특별자치도 서귀포시 중앙로4번길 4,제주특별자치도 서귀포시 서귀동 464-4,33.2449389,126.5603245,2020-07-01
중식,줄서서먹는짜장 신시가지점,제주특별자치도 서귀포시 일주동로 9213 ,제주특별자치도 서귀포시 법환동 843,33.24871234,126.5084912,2020-07-01
한식,둠비정원,제주특별자치도 서귀포시 신중로 13번길 20 ,제주특별자치도 서귀포시 강정동 143-4,33.25714549,126.5078644,2020-07-01
한식,해바라기,제주특별자치도 서귀포시 남원읍 한신로 280,제주특별자치도 서귀포시 남원읍 의귀리 767-3,33.31234925,126.7200338,2020-07-01
한식,작은식당,제주특별자치도 서귀포시 대정읍 신영로 36번길 69-1,제주특별자치도 서귀포시 대정읍 하모리 1067-21,33.22052111,126.2487153,2020-07-01
한식,김대감숯불갈비,제주특별자치도 서귀포시 동홍중앙로 67 ,제주특별자치도 서귀포시 동홍동 114-1,33.25662135,126.5718705,2020-07-01
한식,도새기1982식당,제주특별자치도 서귀포시 일주동로 8580 ,제주특별자치도 서귀포시 동홍동 117-11,33.25502941,126.5714447,2020-07-01
한식,맛있는집,제주특별자치도 서귀포시 중앙로 110 ,제주특별자치도 서귀포시 동홍동 1485-22,33.25432977,126.5611117,2020-07-01
한식,오일장왕십리식당,제주특별자치도 서귀포시 토평서로11번길 150,제주특별자치도 서귀포시 동홍동 774-3,33.26652251,126.5732905,2020-07-01
한식,일번지식당,제주특별자치도 서귀포시 토평서로11번길 150,제주특별자치도 서귀포시 동홍동 774-3,33.26652251,126.5732905,2020-07-01
한식,한동네,제주특별자치도 서귀포시 동부로 4 ,제주특별자치도 서귀포시 서귀동 121-6,33.24525432,126.5699902,2020-07-01
한식,바당국수,제주특별자치도 서귀포시 동문동로 21-1 ,제주특별자치도 서귀포시 서귀동 269-21,33.25050763,126.5654404,2020-07-01
한식,옛날어전,제주특별자치도 서귀포시 동문동로 31 ,제주특별자치도 서귀포시 서귀동 269-24,33.25102839,126.5648154,2020-07-01
