위도(WGS84좌표),경도(WGS84좌표),name,cuisine,operator,phone,addr:full,website,capacity,opening_hours,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity,source
37.49541,127.98833,금강산숯불구이,korean,정선용,+82 33 345 3377,,,72,Mo-Su 10:00-22:30,2019-09-20,,문화체육로,54,횡성읍,,,,restaurant,공공데이터포털
37.451448,128.074264,다래막국수,korean,이동옥,+82 33 344 2369,,,120,Mo-Su 09:00-20:00,2019-09-20,,한우로우항7길,9,우천면,,,,restaurant,공공데이터포털
37.526556,127.908917,동가래농장한우셀프점,korean,이승훈,+82 33 345 8840,,http://www.donggarae.com/home/subpage.php?f=user&m=p2,92,Mo-Su 10:00-21:00,2019-09-20,,경강로,1026,공근면,,,,restaurant,공공데이터포털
37.495429,127.987927,마옥막국수횡성한우우거지탕,korean,조선혜,+82 33 343 9925,,,105,Mo-Su 10:00-21:00,2019-09-20,,읍하남로13번길,42,횡성읍,,,,restaurant,공공데이터포털
37.512918,128.211432,민들레닭갈비,korean,김순영,+82 33 345 0366,,http://mindlele.modoo.at/,52,Mo-Su 10:00-22:00,2019-09-20,,둔방로3번길,5,둔내면,,,,restaurant,공공데이터포털
37.512499,128.216241,삼정,korean,원인숙,+82 33 342 3365,,,52,Mo-Su 11:00-21:00; Fr off,2019-09-20,,둔내로,52-1,둔내면,,,,restaurant,공공데이터포털
37.479718,127.982288,선돌막국수,korean,윤순길,+82 33 343 3260,,,80,Mo-Sa 10:00-15:00; Su off,2019-09-20,,입석로,34,횡성읍,,,,restaurant,공공데이터포털
37.514089,128.210553,심우향,korean,차영순,+82 33 345 7321,,,72,Mo-Su 16:00-10:00; Fr off,2019-09-20,,둔방로14번길,9,둔내면,,,,restaurant,공공데이터포털
37.533698,127.96675,쌍둥이네미꾸라지탕,korean,변희선,+82 33 342 8996,,,68,Mo-Su 11:00-20:00,2019-09-20,,공근남로,37,공근면,,,,restaurant,공공데이터포털
37.492105,127.986599,우도바지락칼국수,korean,박정미,+82 33 344  7677,,,88,Mo-Su 10:30-21:00,2019-09-20,,태기로19번길,17,횡성읍,,,,restaurant,공공데이터포털
37.57961,128.196039,윤가이가,korean,윤옥자,+82 33 343  1208,,,50,Mo-Su 11:00-20:00,2019-09-20,,큰고시길,41,청일면,,,,restaurant,공공데이터포털
37.45276,128.075212,축협횡성한우프라자,korean,엄경익,+82 33 342 6680,,,100,Mo-Su 10:00-21:30,2019-09-20,,한우로,1401,우천면,,,,restaurant,공공데이터포털
37.487316,128.002465,토토기사식당,korean,박명옥,+82 33 342 5858,,,64,Mo-Su 06:00-20:00,2019-09-20,,한우로,455,횡성읍,,,,restaurant,공공데이터포털
37.498951,127.98914,함밭식당,korean,김남규,+82 33 343 2549,,,130,Mo-Su 10:00-21:30,2019-09-20,,섬강로,88,횡성읍,,,,restaurant,공공데이터포털
37.493397,127.988985,향토추어탕,korean,박우경,+82 33 345 0067,,,70,Mo-Sa 09:00-21:00; Su off,2019-09-20,,화성로,27-1,횡성읍,,,,restaurant,공공데이터포털
37.463071,128.134671,회성반상야미레스토,korean,박종화,+82 33 343 4231,,,160,24/7,2019-09-20,,영동고속도로,154,안흥면,,,,restaurant,공공데이터포털
37.464919,128.13505,횡성(상)휴게소 한식양식,korean,이문자,+82 33 342 4200,,,150,24/7,2019-09-20,,영동고속도로,153,안흥면,,,,restaurant,공공데이터포털
37.51554,128.011777,횡성송어횟집,fish,최창성,+82 33 343 5353,,,36,Mo-Sa 11:30-21:00; Su off,2019-09-20,,섬강로388번길,75,횡성읍,,,,restaurant,공공데이터포털
37.490481,127.989263,횡성족발,korean,박덕식,+82 33 343 8384,,,50,Mo-Su 10:00-23:00,2019-09-20,,문정로55번길,24,횡성읍,,,,restaurant,공공데이터포털
37.459958,128.063706,횡성축협한우프라자,korean,엄경익,+82 33 345 6160,,http://www.hsplaza.co.kr/,130,Mo-Su 10:30-21:30,2019-09-20,,우항3길,6,우천면,,,,restaurant,공공데이터포털
37.484022,127.981563,횡성축협한우프라자본점,korean,엄경익,+82 33 343 9908,,http://www.hsplaza.co.kr/dnb/resource/main/index.php,224,Mo-Su 10:00-21:00,2019-09-20,,횡성로,337,횡성읍,,,,restaurant,공공데이터포털
37.489725,127.984102,횡성토종한우프라자,korean,최옥선,+82 33 344 2626,,http://tojonghanwoo.com/,130,Mo-Su 09:30-21:00,2019-09-20,,한우로,272,횡성읍,,,,restaurant,공공데이터포털
37.49542,127.98738,횡성한우국밥,korean,손창숙,+82 33 343 4959,,,68,Mo-Su 06:30-19:00; Th off,2019-09-20,,문화체육로,46,횡성읍,,,,restaurant,공공데이터포털
37.459687,128.064223,횡성한우마을,korean,송순영,+82 33 343 6005,,http://www.hanuvil.com/cs/index.php,64,Mo-Su 10:00-21:30,2019-09-20,,수남로,348,우천면,,,,restaurant,공공데이터포털
37.511335,128.221915,횡성한우피아,korean,이인영,+82 33 342 4231,,,200,Mo-Su 10:30-22:00,2019-09-20,,고원로,141,둔내면,,,,restaurant,공공데이터포털
