위도,경도,cuisine,name,addr:full,phone,opening_hours,source:date,addr:subdistrict,amenity,source
37.272031,126.57049,korean,33호 할머니칼국수,"경기도 안산시 단원구 대부황금로 1297, 1층 (대부북동)",032-886-9908,Mo-Su 09:00-21:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.308121,126.828741,international,AW웨딩컨벤션,"경기도 안산시 단원구 광덕1로 171, 3~5층 (고잔동,AW웨딩컨벤션)",031-501-5900,,2019-07-05,고잔동,restaurant,공공데이터포털
37.309066,126.816275,korean,가반,경기도 안산시 단원구 광덕2로 58-16 (초지동),031-483-7389,,2019-07-05,초지동,restaurant,공공데이터포털
37.302402,126.849903,korean,갈비락,"경기도 안산시 상록구 서암로3길 1, 2~3층 (사동)",031-408-9595,Mo-Su 11:30-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.328952,126.847514,korean,개성손만두요리전문점,"경기도 안산시 상록구 예술광장1로 52, 108호 (월피동)",031-475-8999,Mo-Su 11:00-22:00,2019-07-05,와동,restaurant,공공데이터포털
37.315114,126.823547,korean,고잔숯불갈비,"경기도 안산시 단원구 광덕4로 102, 121호 (고잔동)",031-403-9991,Mo-Su 10:00-22:30 ,2019-07-05,초지동,restaurant,공공데이터포털
37.280175,126.851211,korean,고향순대감자탕,경기도 안산시 상록구 선진4길 35 (사동),031-406-0166,,2019-07-05,사동,restaurant,공공데이터포털
37.328922,126.845212,korean,곱팽이더덕두루치기,경기도 안산시 상록구 예술광장로 11(월피동),031-487-5224,,2019-07-05,월피동,restaurant,공공데이터포털
37.313533,126.832609,korean,광양참숯불구이,"경기도 안산시 단원구 광덕동로 101, 206호 (고잔동)",031-419-9233,Mo-Su 11:00-22:30,2019-07-05,사동,restaurant,공공데이터포털
37.347806,126.819655,chinese,교동중화반점,경기도 안산시 단원구 화정천동로8길 6 (와동),031-487-5002,Mo-Su 10:30-21:30,2019-07-05,고잔동,restaurant,공공데이터포털
37.293762,126.843661,korean,구곡산장,경기도 안산시 상록구 댕이길 12 (사동),031-419-5292,,2019-07-05,사동,restaurant,공공데이터포털
37.314648,126.831163,korean,굴다리영양탕,"경기도 안산시 단원구 광덕대로 206, 214호 (고잔동)",031-402-9344,,2019-07-05,고잔동,restaurant,공공데이터포털
37.301619,126.851044,korean,궁중삼계탕,"경기도 안산시 상록구 석호공원로 69, 101호 (사동)",031-502-9090,,2019-07-05,사동,restaurant,공공데이터포털
