위도,경도,cuisine,name,phone,opening_hours,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename,amenity,source
37.272031,126.57049,korean,33호 할머니칼국수,+82 32 886 9908,Mo-Su 09:00-21:00,2019-07-05,,대부황금로,1297,대부북동,,1,,,restaurant,공공데이터포털
37.308121,126.828741,international,AW웨딩컨벤션,+82 31 501 5900,,2019-07-05,,광덕1로,171,고잔동,,3;4;5,,AW웨딩컨벤션,restaurant,공공데이터포털
37.309066,126.816275,korean,가반,+82 31 483 7389,,2019-07-05,,광덕2로,58-16,초지동,,,,,restaurant,공공데이터포털
37.302402,126.849903,korean,갈비락,+82 31 408 9595,Mo-Su 11:30-22:00,2019-07-05,,서암로3길,1,사동,,,,,restaurant,공공데이터포털
37.328952,126.847514,korean,개성손만두요리전문점,+82 31 475 8999,Mo-Su 11:00-22:00,2019-07-05,,예술광장1로,52,월피동,,,108,,restaurant,공공데이터포털
37.315114,126.823547,korean,고잔숯불갈비,+82 31 403 9991,Mo-Su 10:00-22:30 ,2019-07-05,,광덕4로,102,고잔동,,,121,,restaurant,공공데이터포털
37.280175,126.851211,korean,고향순대감자탕,+82 31 406 0166,,2019-07-05,,선진4길,35,사동,,,,,restaurant,공공데이터포털
37.328922,126.845212,korean,곱팽이더덕두루치기,+82 31 487 5224,,2019-07-05,,예술광장로,11,월피동,,,,,restaurant,공공데이터포털
37.313533,126.832609,korean,광양참숯불구이,+82 31 419 9233,Mo-Su 11:00-22:30,2019-07-05,,광덕동로,101,고잔동,,,206,,restaurant,공공데이터포털
37.347806,126.819655,chinese,교동중화반점,+82 31 487 5002,Mo-Su 10:30-21:30,2019-07-05,,화정천동로8길,6,와동,,,,,restaurant,공공데이터포털
37.293762,126.843661,korean,구곡산장,+82 31 419 5292,,2019-07-05,,댕이길,12,사동,,,,,restaurant,공공데이터포털
37.314648,126.831163,korean,굴다리영양탕,+82 31 402 9344,,2019-07-05,,광덕대로,206,고잔동,,,214,,restaurant,공공데이터포털
37.301619,126.851044,korean,궁중삼계탕,+82 31 502 9090,,2019-07-05,,석호공원로,69,사동,,,101,,restaurant,공공데이터포털
37.349195,126.820521,korean,금강산가든,+82 31 482 9595,Mo-Su 10:00-22:00 ,2019-07-05,,쑥개길,6,화정동,,,,,restaurant,공공데이터포털
37.320336,126.833102,korean,김가네낙지전문점,+82 31 402 0552,Mo-Su 10:00-22:00 ,2019-07-05,,당곡로,33,,,,125;126,프라움시티,restaurant,공공데이터포털
37.333945,126.848688,korean,김흥관힘센낙지 (빨간낙지마당),+82 31 410 3660,Mo-Su 10:30-22:30,2019-07-05,,안산천동로2길,1,월피동,,,,,restaurant,공공데이터포털
37.317836,126.836074,korean,낙원타코 안산중앙점,+82 31 401 0725,,2019-07-05,,고잔2길,45,,,,,,restaurant,공공데이터포털
37.318676,126.837573,korean,니뽕내뽕(안산중앙점),+82 31 475 4555,"Mo-Su 11:30-15:30, 16:30-21:30",2019-07-05,,고잔로,102,고잔동,,,201,,restaurant,공공데이터포털
37.329229,126.846103,chinese,단야 중화요리,+82 31 414 0064,,2019-07-05,,예술광장로,19,,,1,105;106;107,성포타운,restaurant,공공데이터포털
37.35009,126.822414,korean,단원,+82 31 486 9233,Mo-Su 10:00-22:00 SH o,2019-07-05,,너비울길,15,화정동,,,,,restaurant,공공데이터포털
37.319088,126.829743,korean,단원한정식,+82 31 401 3500,,2019-07-05,,광덕대로,251,고잔동,,,,,restaurant,공공데이터포털
37.268621,126.569247,korean,대부맛집 청미,+82 32 887 1108,Mo-Su 09:00-21:00,2019-07-05,,대선로,36,대부북동,,,,,restaurant,공공데이터포털
37.294177,126.844269,korean,대부흑염소,+82 31 438 1021,,2019-07-05,,댕이길,65,사동,,,,,restaurant,공공데이터포털
37.313146,126.846384,japanese,대포항별미집,+82 31 409 2791,Mo-Sa 12:00-22:00; Su off,2019-07-05,,송호3길,18,이동,,1,,,restaurant,공공데이터포털
37.294732,126.862685,korean,대호식당,+82 31 408 6460,,2019-07-05,,샘골로,123,본오동,,,104-105,,restaurant,공공데이터포털
37.293978,126.843988,korean,댕이골낙지마을,+82 31 407 7631,Mo-Su 11:00-01:00,2019-07-05,,댕이길,15,사동,,,,,restaurant,공공데이터포털
37.308566,126.85121,korean,도둑고기 안산한대역점,+82 31 417 3892,,2019-07-05,,광덕1로,379,이동,,,,,restaurant,공공데이터포털
37.331589,126.792964,korean,독일미,+82 31 493 8666,Mo-Su 10:00-01:00,2019-07-05,,부부로2길,22-1,원곡동,,1,,,restaurant,공공데이터포털
37.31076,126.827912,chinese,동방명주,+82 31 411 8595,,2019-07-05,,광덕2로,155-12,고잔동,,,,,restaurant,공공데이터포털
37.287699,126.575159,japanese,동원횟집,+82 31 881 8811,Mo-Su 10:00-24:00,2019-07-05,,대부황금로,1497,대부북동,,,209,,restaurant,공공데이터포털
37.313784,126.831605,korean,동천게장,+82 31 413 0660,Mo-Su 10:00-22:00,2019-07-05,,광덕3로,167-16,고잔동,,,109,,restaurant,공공데이터포털
37.313428,126.848076,korean,뜨락,+82 31 418 2082,,2019-07-05,,송호1길,69,이동,,,,,restaurant,공공데이터포털
37.309455,126.828941,korean,마루야끼,+82 31 480 3010,,2019-07-05,,광덕대로,145,고잔동,,,205,,restaurant,공공데이터포털
37.344115,126.821605,korean,마포네숯불갈비,+82 31 405 9282,Mo-Su 11:00-03:00,2019-07-05,,와동공원로,142,와동,,,,,restaurant,공공데이터포털
37.287791,126.845828,korean,마포숯불화로이야기,+82 31 416 3070,Mo-Su 10:30-22:30,2019-07-05,,항가울로,70,사동,,1,,,restaurant,공공데이터포털
37.326834,126.752776,korean,만해추어탕,+82 31 492 7070,Mo-Su 10:30-21:30,2019-07-05,,황새바위길,3,신길동,,1,,,restaurant,공공데이터포털
37.306258,126.849658,korean,맛수원왕갈비,+82 31 417 6635,Mo-Su 10:30-22:30,2019-07-05,,상록구중보1길,18,이동,,1,,,restaurant,공공데이터포털
37.351665,126.82144,korean,먹쇠장어,+82 31 485 5289,Mo-Su 10:00-22:00,2019-07-05,,꽃우물길,12,화정동,,1,,,restaurant,공공데이터포털
37.306235,126.845688,korean,명옥부대찌개,+82 31 417 8686,,2019-07-05,,천문4길,15,사동,,1,,,restaurant,공공데이터포털
37.306373,126.848293,korean,명장한우,+82 31 415 0068,Mo-Su 11:00-23:00,2019-07-05,,광덕1로,346,이동,,,301,,restaurant,공공데이터포털
37.335455,126.843005,korean,명태본가,+82 31 405 1063,Mo-Su 11:00-22:00,2019-07-05,,광덕산1로,3-3,월피동,,,,,restaurant,공공데이터포털
37.309031,126.828908,chinese,몽차우,+82 31 487 0085,,2019-07-05,,광덕대로,141,고잔동,,,,,restaurant,공공데이터포털
37.29368,126.84294,korean,무교뻘낙지,+82 31 419 5900,,2019-07-05,,댕이길,6,사동,,,,,restaurant,공공데이터포털
37.318814,126.827352,korean,묵은지찌개마을,+82 31 401 5555,Mo-Su 10:00-22:00,2019-07-05,,원고잔로,15,고잔동,,,101,반월빌딩,restaurant,공공데이터포털
37.276788,126.560552,japanese,바다회집(북동),+82 32 886 3164,Mo-Su 10:00-22:00,2019-07-05,,구봉길,102-22,대부북동,,,,,restaurant,공공데이터포털
37.275504,126.569106,korean,백합칼국수,+82 32 886 1002,Mo-Su 10:00-22:00,2019-07-05,,대부황금로,1337,대부북동,,,,,restaurant,공공데이터포털
37.293761,126.843379,korean,별장보쌈칼국수,+82 31 419 5900,"Mo-Fr 11:30-15:00, 17:0-21:00; Sa 11:30-16:00; Su off 11:30 ~ 21:00",2019-07-05,,댕이길,10,사동,,,,,restaurant,공공데이터포털
37.318814,126.827352,korean,복요리전문점복청(안산중앙점),+82 31 410 3588,Mo-Su 10:00-22:00,2019-07-05,,원고잔로,15,고잔동,,,,,restaurant,공공데이터포털
37.314287,126.797242,korean,복전문점복청,+82 31 491 0086,Mo-Su 10:00-22:00,2019-07-05,,동산로,63,원시동,,-2,201,,restaurant,공공데이터포털
37.335198,126.849543,chinese,북경대반점,+82 31 401 1283,Mo-Su 10:30-22:00,2019-07-05,,안산천동로4길,1,월피동,,,,,restaurant,공공데이터포털
37.311622,126.831914,japanese,사조회참치,+82 31 439 1315,Mo-Su 11:30-02:30,2019-07-05,,광덕2로,193-19,고잔동,,,176,,restaurant,공공데이터포털
37.293763,126.844327,korean,산골송어,+82 31 419 3735,,2019-07-05,,댕이길,18,사동,,,,,restaurant,공공데이터포털
37.302784,126.915739,korean,산촌쌈밥,+82 31 416 7370,Mo-Su 09:00-22:00,2019-07-05,,서해로,2813,사사동,,,,,restaurant,공공데이터포털
