위도,경도,amenity,cuisine,name,phone,addr:full,description,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,name:en,name:ko,addr:housename,diet:halal,source
37.54040696,126.9947589,restaurant,japanese,도쿄살롱,+82 2 792 3068,,매일 신선한 재료로 정성껏 만든 수제꼬치,,회나무로,74,,,1,,,,,,공공데이터포털
37.53546566,126.9911929,restaurant,french,바이휴고,+82 70 4063 1642,,캐쥬얼한 프렌치 레스토랑,,이태원로17길,23-13,,,1,,,,,,공공데이터포털
37.53319874,126.9912158,restaurant,cameroonian,Africanport,+82 2 792 9214,,아프리카의 품속으로,,이태원로14길,29-1,,,2,,,,,,공공데이터포털
37.53963898,126.9898573,restaurant,japanese,고로킹,+82 2 792 9214,,지구에서 제일 맛있는 고로케,,회나무로,29,,,1,,,,,,공공데이터포털
37.53334665,126.9935239,restaurant,american,매덕스피자이태원점,+82 2 792 2420,,뉴욕스타일의 조각피자,,이태원로26길,26,,,2,,,,,,공공데이터포털
37.53678504,127.0016067,restaurant,american,미트볼라운지,+82 2 790 1102,,Fast casual dining pub 미트볼전문점으로 다양한 미국식 퓨전음식과 맥주를 트렌디하게 즐길 수 있습니다,,이태원로54길,36,,,1,,,,,,공공데이터포털
37.54086836,127.0024848,restaurant,italian,스테이지비,+82 2 6399 7545,,외식과 문화가 공존하는 예술의 공간,,이태원로,294,,,2,,,,,,공공데이터포털
37.54086836,127.0024848,restaurant,japanese,솔로스키친,+82 2 6399 7447,,'혼공족'을 위해 간편하게 테이크아웃해서 어디서든 편안하게 먹을 수 있는 건강한 한그릇 메뉴,,이태원로,294,,,2,,,,,,공공데이터포털
37.53563537,126.998855,restaurant,jordanian,아라베스크이태원,+82 2 790 6910,,"할랄요리 전문점, 아랍요리 전문점",,이태원로,227,,,2,,,,,,공공데이터포털
37.53666612,126.9990948,restaurant,american,앤와이비엔비버거엔베이글,+82 2 553 7792,,한국에서 느낄 수 있는 뉴욕 맨하탄의 버거 맛,,이태원로55나길,6,,,1,,,,,,공공데이터포털
37.53468751,126.9981354,restaurant,japanese,유타로,+82 2 797 5776,,"먹는 것 이상의 맛있는 즐거운, 하키타 일본라면",,이태원로,216,,,1,,,,,,공공데이터포털
37.53453972,126.9970583,restaurant,japanese,후지야마소바,+82 2 749 4129,,일본에서 먹어본 맛을 즐길 수 있어요,,이태원로,208,,,1,,,,,,공공데이터포털
37.53737971,127.000258,restaurant,italian,일키아쏘,+82 2 792 5588,,한남동에 위치한 이탈리아 본고장의 맛과 분위기를 느낄 수 있는 이탈리아 레스토랑,,이태원로55가길,21,,,1,,,,,,공공데이터포털
37.53393038,126.9915235,restaurant,vietnamese,포하우스,+82 2 793 5220,,베트남쌀국수가 맛있는 이태원 포하우스,,이태원로20길,2-12,,,2,,,,,,공공데이터포털
