위도,경도,cuisine,name,phone,source:date,amenity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.5426714,127.0646503,korean,(주)남원추어탕,+82 2 498 8649,2021-01-29,restaurant,,동일로,114,화양동,,,
37.5547181,127.08812,korean,(주)장군갈비,+82 2 457 3241,2021-01-29,restaurant,,용마산로,11,중곡2동,,,
37.56468,127.0869436,korean,가마솥도가니탕 장수옥,+82 2 444 6888,2021-01-29,restaurant,,용마산로,124,중곡4동,,,
37.5380016,127.0851621,korean,거보주,+82 2 456 2266,2021-01-29,restaurant,,아차산로51길,24,구의1동,,,
37.5456713,127.0759066,korean,건국갈비,+82 2 2201 0018,2021-01-29,restaurant,,광나루로22가길,18,화양동,,,
37.551573,127.1109741,korean,광장동 가온,+82 2 3436 7100,2021-01-29,restaurant,,아차산로78길,75,광장동,,,106
37.5466931,127.1024213,korean,남원율천추어탕,+82 2 549 3066,2021-01-29,restaurant,,아차산로73길,48,광장동,,-1,
37.539935,127.0695705,korean,냉면전문점이대팔,+82 2 499 0458,2021-01-29,restaurant,,아차산로,238,자양4동,,1,
37.5419929,127.0943562,korean,대가식당,+82 2 456 1944,2021-01-29,restaurant,,광나루로,596,구의3동,,,
37.5358089,127.0684009,korean,대갈집,+82 2 463 2702,2021-01-29,restaurant,,능동로,49,자양4동,,,
37.5429115,127.0985331,korean,은행나무집,+82 2 457 7100,2021-01-29,restaurant,,아차산로69길,20,광장동,,,
37.5349372,127.0957088,japanese,동신참치,+82 2 3424 1338,2021-01-29,restaurant,,광나루로56길,85,구의3동,,9,36
37.5452127,127.0667517,korean,동해해물,+82 2 469 5843,2021-01-29,restaurant,,동일로26길,16,화양동,,,
37.5492754,127.0912249,korean,망향비빔국수,+82 2 454 1357,2021-01-29,restaurant,,천호대로,694,구의2동,,1,
37.5363506,127.0627208,korean,부림정,+82 2 463 5455,2021-01-29,restaurant,,뚝섬로,476-7,자양4동,,,
37.5428518,127.0936838,japanese,비조,+82 2 455 1345,2021-01-29,restaurant,,광나루로,586,구의3동,,,
37.5516078,127.0761909,international,빕스(VIPS) 어린이대공원점,+82 2 462 0997,2021-01-29,restaurant,,능동로,239,군자동,,2,
37.5466931,127.1024213,korean,산울,+82 2 453 2277,2021-01-29,restaurant,,아차산로73길,48,광장동,,2,201
37.5512509,127.0760697,chinese,샹그라,+82 2 464 8088,2021-01-29,restaurant,,능동로,237,군자동,,,
37.5558218,127.0804375,korean,소야지,+82 2 446 7645,2021-01-29,restaurant,,능동로36길,24,능동,,,
37.5387443,127.0665517,chinese,송화양꼬치,+82 2 462 7826,2021-01-29,restaurant,,동일로18길,70,자양4동,,,
37.5402789,127.0828938,korean,신선설농탕,+82 2 454 7944,2021-01-29,restaurant,,자양로,139,자양1동,,,
37.5608602,127.0852777,korean,심마니유황오리,+82 2 452 1610,2021-01-29,restaurant,,긴고랑로,85,중곡2동,,,
37.5398604,127.0932221,japanese,영덕물회&생태,+82 2 454 3396,2021-01-29,restaurant,,아차산로,461,구의3동,,1,
37.5363359,127.0852153,korean,영산강,+82 2 452 2119,2021-01-29,restaurant,,자양로16길,24,자양2동,,,
37.5424794,127.0652128,korean,예담밥상,+82 2 469 0072,2021-01-29,restaurant,,동일로22길,13,화양동,,,
37.5545639,127.0968977,korean,옹기생삼겹살,+82 2 447 3492,2021-01-29,restaurant,,영화사로,97,구의2동,,,
37.5673562,127.0864933,korean,유일설렁탕,+82 2 452 5860,2021-01-29,restaurant,,용마산로,154,중곡4동,,,
37.5474829,127.1074896,korean,중일가든,+82 2 447 4111,2021-01-29,restaurant,,아차산로76가길,4,광장동,,,
37.5582095,127.0792729,korean,지담정,+82 2 2205 3777,2021-01-29,restaurant,,능동로37길,10-3,중곡1동,,,
37.5331659,127.0762135,korean,찜집,+82 2 446 1149,2021-01-29,restaurant,,자양번영로,44,자양1동,,,
37.5633567,127.0872224,korean,채선당,+82 2 452 5200,2021-01-29,restaurant,,용마산로,110,중곡4동,,,
37.5382075,127.0912914,korean,천년의섬 명품 광어,+82 2 457 9706,2021-01-29,restaurant,,아차산로,438,구의3동,,,
37.5394861,127.0924708,korean,춘향골남원추어탕,+82 2 446 4005,2021-01-29,restaurant,,아차산로,453-1,구의3동,,,
37.5424128,127.0936563,international,팀스쿡,+82 2 447 0880,2021-01-29,restaurant,,광나루로50길,10,구의3동,,1-2,
37.5520304,127.07642,chinese,하이난,+82 2 466 0832,2021-01-29,restaurant,,능동로,243-1,군자동,,-1,
37.5477372,127.1095417,korean,한강옥,+82 2 456 0091,2021-01-29,restaurant,,아차산로78길,147,광장동,,,
37.545067,127.0797571,korean,함흥본가면옥,+82 2 447 8806,2021-01-29,restaurant,,광나루로,456,화양동,,,
37.5476428,127.0715491,korean,황금어장,+82 2 467 4414,2021-01-29,restaurant,,광나루로,376,화양동,,,
37.5316603,127.0792916,korean,장원닭한마리,+82 2 446 9662,2021-01-29,restaurant,,뚝섬로52길,8,자양2동,,,
37.5434818,127.0699485,korean,민벅,,2021-01-29,restaurant,,능동로13길,39,화양동,,,
37.5414436,127.0692519,korean,주식회사 돕,,2021-01-29,restaurant,,아차산로31길,9,화양동,,,
37.5559236,127.0797402,korean,홍천화로숯불구이,,2021-01-29,restaurant,,천호대로110길,27,능동,,,
37.547004,127.072799,korean,숨비소리,+82 2 466 5892,2021-01-29,restaurant,,,112-16,화양동,,,
37.538368,127.090389,korean,콩이랑두부랑,+82 2 3425 3800,2021-01-29,restaurant,,,244-62,구의동,,,
37.557005,127.078257,korean,태평양수산회세꼬시,+82 2 499 9192,2021-01-29,restaurant,,군자로,183,,,,
