위도,경도,name,cuisine,opening_hours,addr:full,amenity,phone,source,dog,leisure,takeaway
34.54096045,126.6121998,해물밭에 노는 닭,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 고산로 291,restaurant,061-533-5311,공공데이터포털,no,,yes
34.57769936,126.3079978,수정가든,korean,Mo-Su 11:00-18:00,전라남도 해남군 문내면 관광레저로 85-41,restaurant,061-532-0540,공공데이터포털,no,,yes
34.51817531,126.6093211,정든집,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 고산로 549-5,restaurant,061-530-1199,공공데이터포털,no,,no
34.52387787,126.594817,명성가든,korean,Mo-Su 10:00-21:00,전라남도 해남군 삼산면 고산로 546-7,restaurant,061-532-3856,공공데이터포털,no,,no
34.50140031,126.6173521,송림가든,korean,Mo-Su 11:00-22:00,전라남도 해남군 삼산면 구림큰길 32-5,restaurant,061-533-7330,공공데이터포털,no,,no
34.38467815,126.5685584,달마가든,korean,Mo-Su 08:00-21:00,전라남도 해남군 송지면 미황사길 88,restaurant,061-536-4961,공공데이터포털,yes,,yes
34.55135782,126.6093581,고수골가든,korean,Mo-Su 10:00-21:00,전라남도 해남군 해남읍 고산로 159-41,restaurant,061-536-3525,공공데이터포털,no,,yes
34.55202271,126.6044224,고향가든,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 150,restaurant,061-536-5030,공공데이터포털,no,,yes
34.54137318,126.6120296,돌고래가든,korean,Mo-Su 10:00-20:00,전라남도 해남군 해남읍 고산로 287,restaurant,061-537-7100,공공데이터포털,no,,no
34.54122095,126.6121193,일미정,korean,Mo-Su 11:00-24:00,전라남도 해남군 해남읍 고산로 289,restaurant,061-536-2727,공공데이터포털,no,,yes
34.54327655,126.61056,진솔가든,korean,,전라남도 해남군 해남읍 고산로 262,restaurant,061-536-4643,공공데이터포털,no,,yes
34.55254371,126.6042612,호산정,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 140,restaurant,061-534-8844,공공데이터포털,yes,,yes
34.54080131,126.6124748,장수통닭,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 295,restaurant,061-536-4410,공공데이터포털,no,,yes
34.57060541,126.5992629,천일관,korean,,전라남도 해남군 해남읍 읍내길 20-8,restaurant,061-535-1001,공공데이터포털,yes,playground,yes
34.29833249,126.5286603,어부횟집,korean,Mo-Su 08:00-20:00,전라남도 해남군 송지면 땅끝마을길 70,restaurant,061-535-4779,공공데이터포털,no,,yes
34.37028914,126.5206098,중앙식당,korean,Mo-Su 09:00-20:00,전라남도 해남군 송지면 산정1길 69-1,restaurant,061-533-2146,공공데이터포털,no,,no
34.45971518,126.5540028,현산,korean,Mo-Su 11:00-20:00,전라남도 해남군 현산면 현산북평로 87,restaurant,061-532-7540,공공데이터포털,no,,yes
34.5753994,126.5951938,명송횟집,korean,Mo-Su 11:00-22:00,전라남도 해남군 해남읍 북부순환로 155,restaurant,061-534-1073,공공데이터포털,no,,yes
34.57219373,126.6002062,이심전심,korean,Mo-Su 5:00-23:00,전라남도 해남군 해남읍 수성4길 22,restaurant,061-537-2727,공공데이터포털,no,,yes
34.57193586,126.6005157,만장일치,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 수성4길 21,restaurant,061-533-0118,공공데이터포털,no,,yes
34.57131199,126.6003517,영일만,korean,Mo-Su 2:00-23:00,전라남도 해남군 해남읍 읍내길 39,restaurant,061-536-9588,공공데이터포털,no,,yes
34.57468288,126.5987369,선비골,korean,Mo-Su 15:00-24:00,전라남도 해남군 해남읍 군청길 31-1,restaurant,061-534-2633,공공데이터포털,no,,yes
34.56912495,126.607755,하마식당,korean,Mo-Su 12:00-23:00,전라남도 해남군 해남읍 교육청길 16-8,restaurant,061-537-1963,공공데이터포털,no,,yes
34.56683996,126.6081635,어부밥상,korean,,전라남도 해남군 해남읍 교육청길 77,restaurant,061-535-2115,공공데이터포털,no,,no
34.5696114,126.606145,은혜식당,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 남부순환로 18-2,restaurant,061-532-8877,공공데이터포털,no,,yes
34.57354835,126.6012079,청솔복집,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 북부순환로 97,restaurant,061-535-0186,공공데이터포털,no,,yes
34.56873127,126.6064321,유락횟집,korean,,전라남도 해남군 해남읍 남부순환로 25,restaurant,061-534-1449,공공데이터포털,no,,yes
34.57308751,126.6026869,이학식당,korean,Mo-Su 12:00-22:00,전라남도 해남군 해남읍 북부순환로 83,restaurant,061-532-0203,공공데이터포털,no,,yes
34.29932484,126.52722,바다동산,korean,Mo-Su 9:00-21:00,전라남도 해남군 송지면 땅끝마을길 52,restaurant,061-532-3004,공공데이터포털,no,,yes
34.29750816,126.528327,맴섬횟집,korean,Mo-Su 9:00-20:00,전라남도 해남군 송지면 땅끝마을길 60-18,restaurant,061-533-3561,공공데이터포털,no,,yes
34.66719643,126.3281646,산호촌닭오리,korean,Mo-Su 10:00-22:00,전라남도 해남군 화원면 청용길 18,restaurant,,공공데이터포털,no,,yes
34.50528155,126.6114298,태양정,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 매정길 53,restaurant,061-535-4751,공공데이터포털,yes,,yes
34.49523371,126.6172905,태웅,korean,Mo-Su 11:00-21:00,전라남도 해남군 삼산면 대흥사길 174-2,restaurant,061-533-5848,공공데이터포털,no,,yes
34.49562941,126.6172078,논두렁쌈밥집,korean,Mo-Su 08:00-20:00,전라남도 해남군 삼산면 대흥사길 170-2,restaurant,061-533-0346,공공데이터포털,no,,no
34.49676305,126.6170149,물레방아,korean,Mo-Su 10:00-20:00,전라남도 해남군 삼산면 대흥사길 158-3,restaurant,061-536-3708,공공데이터포털,no,,no
34.49647464,126.6170196,별미쌈밥,korean,Mo-Su 11:00-21:00,전라남도 해남군 삼산면 대흥사길 158-6,restaurant,061-535-2688,공공데이터포털,no,,no
34.49699776,126.6170437,한오백년,korean,Mo-Su 07:00-20:00,전라남도 해남군 삼산면 대흥사길 158,restaurant,061-534-5633,공공데이터포털,no,,no
34.49692553,126.617034,보리향기,korean,Mo-Su 11:00-20:00,전라남도 해남군 삼산면 대흥사길 158-1,restaurant,061-534-3376,공공데이터포털,no,,no
34.50927197,126.6103727,달동네보리밥,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 고산로 656,restaurant,061-532-3667,공공데이터포털,yes,playground,yes
34.29864522,126.5276772,전라도한정식,korean,,전라남도 해남군 송지면 땅끝마을길 58,restaurant,061-535-3814,공공데이터포털,no,,yes
34.58076597,126.5814147,진일관,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 명량로 3009,restaurant,061-535-5500,공공데이터포털,no,,no
34.57403697,126.5935167,한성정,korean,Mo-Su 00:00-14:00,전라남도 해남군 해남읍 서림길 8,restaurant,061-533-1060,공공데이터포털,no,,no
34.57401123,126.591283,땅끝기와집,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 법원길 33,restaurant,061-534-2322,공공데이터포털,no,,no
34.57114315,126.599777,거빈식당,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 읍내길 26,restaurant,061-536-6655,공공데이터포털,no,,no
34.57769936,126.3079978,현대식당,korean,,전라남도 해남군 문내면 관광레저로 85-41,restaurant,061-532-1344,공공데이터포털,yes,,yes
34.56541005,126.5966366,장성한우촌,korean,Mo-Su 9:00-21:00,전라남도 해남군 해남읍 남부순환로 140,restaurant,061-535-9393,공공데이터포털,no,,yes
34.57570608,126.5975645,성내식당,korean,,전라남도 해남군 해남읍 명문길 19-1,restaurant,061-533-4774,공공데이터포털,no,,yes
34.40553316,126.6280004,진미,korean,Mo-Su 9:00-20:00,전라남도 해남군 북평면 볼무당길 1,restaurant,061-533-0818,공공데이터포털,no,,yes
34.40920771,126.6244817,새오복식당,korean,Mo-Su 9:00-21:00,전라남도 해남군 북평면 현산북평로 1129-1,restaurant,061-535-3024,공공데이터포털,no,,no
34.57527137,126.6493928,송학정,korean,,전라남도 해남군 옥천면 송운길 7,restaurant,061-532-9245,공공데이터포털,no,,no
34.41641893,126.5887943,월송한우촌,korean,Mo-Su 9:00-22:00,전라남도 해남군 현산면 시등리길 42,restaurant,,공공데이터포털,no,playground,no
34.41261847,126.5836479,매화식당,korean,Mo-Su 7:00-21:00,전라남도 해남군 현산면 달마로 876,restaurant,061-536-9595,공공데이터포털,yes,,yes
34.66379475,126.3265965,미가,korean,Mo-Su 10:00-22:00,전라남도 해남군 화원면 신덕호길 25,restaurant,061-533-6022,공공데이터포털,no,,yes
34.57886265,126.5914301,수남숯불구이,korean,Mo-Su 17:00-22:00,전라남도 해남군 해남읍 구교3길 29,restaurant,061-537-9192,공공데이터포털,no,,yes
34.57503765,126.5966603,고기생각,korean,,전라남도 해남군 해남읍 북부순환로 141-1,restaurant,061-537-1661,공공데이터포털,no,,no
34.5734466,126.6033456,신화한우장터,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 북부순환로 78,restaurant,061-535-4561,공공데이터포털,no,,yes
34.57265581,126.5980516,농장의아침,korean,,전라남도 해남군 해남읍 군청길 9,restaurant,061-537-6160,공공데이터포털,no,,no
34.57062659,126.6074248,한우일번지,korean,Mo-Su 10:00-21:00,전라남도 해남군 해남읍 해남로 2,restaurant,061-536-4481,공공데이터포털,no,,no
34.5665743,126.5951896,산화,korean,Mo-Su 08:00-21:00,전라남도 해남군 해남읍 중앙2로 135-1,restaurant,061-536-4561,공공데이터포털,no,,no
34.56859729,126.6010183,수미정육식당,korean,,전라남도 해남군 해남읍 행운길 2,restaurant,061-536-4382,공공데이터포털,no,,no
34.56575716,126.605697,오대감한우직판장식육식당,korean,,전라남도 해남군 해남읍 영빈로 49,restaurant,061-536-2700,공공데이터포털,no,,yes
34.56118151,126.5794042,해초한우정,korean,,전라남도 해남군 해남읍 납부순환로 42,restaurant,061-536-3554,공공데이터포털,no,,yes
34.57131686,126.6007767,한우마당,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 천변2길 35,restaurant,061-533-7667,공공데이터포털,no,,yes
34.5660496,126.6052563,고기나라,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 남부순환로 59,restaurant,061-536-2223,공공데이터포털,no,,yes
34.49677671,126.6182232,호남식당,korean,Mo-Su 08:00-22:00,전라남도 해남군 삼산면 대흥사길 143,restaurant,061-534-5500,공공데이터포털,no,,yes
34.49748221,126.6200299,해남식당,korean,Mo-Su 08:00-20:00,전라남도 해남군 삼산면 대흥사길 98-2,restaurant,061-534-5584,공공데이터포털,no,,no
