위도,경도,name,cuisine,opening_hours,addr:full,amenity,phone,source,dog,leisure,takeaway,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.54096045,126.6121998,해물밭에 노는 닭,korean,Mo-Su 11:00-20:00,,restaurant,+82 61 533 5311,공공데이터포털,no,,yes,,고산로,291,해남읍,,,
34.57769936,126.3079978,수정가든,korean,Mo-Su 11:00-18:00,,restaurant,+82 61 532 0540,공공데이터포털,no,,yes,,관광레저로,85-41,문내면,,,
34.51817531,126.6093211,정든집,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 530 1199,공공데이터포털,no,,no,,고산로,549-5,삼산면,,,
34.52387787,126.594817,명성가든,korean,Mo-Su 10:00-21:00,,restaurant,+82 61 532 3856,공공데이터포털,no,,no,,고산로,546-7,삼산면,,,
34.50140031,126.6173521,송림가든,korean,Mo-Su 11:00-22:00,,restaurant,+82 61 533 7330,공공데이터포털,no,,no,,구림큰길,32-5,삼산면,,,
34.38467815,126.5685584,달마가든,korean,Mo-Su 08:00-21:00,,restaurant,+82 61 536 4961,공공데이터포털,yes,,yes,,미황사길,88,송지면,,,
34.55135782,126.6093581,고수골가든,korean,Mo-Su 10:00-21:00,,restaurant,+82 61 536 3525,공공데이터포털,no,,yes,,고산로,159-41,해남읍,,,
34.55202271,126.6044224,고향가든,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 536 5030,공공데이터포털,no,,yes,,고산로,150,해남읍,,,
34.54137318,126.6120296,돌고래가든,korean,Mo-Su 10:00-20:00,,restaurant,+82 61 537 7100,공공데이터포털,no,,no,,고산로,287,해남읍,,,
34.54122095,126.6121193,일미정,korean,Mo-Su 11:00-24:00,,restaurant,+82 61 536 2727,공공데이터포털,no,,yes,,고산로,289,해남읍,,,
34.54327655,126.61056,진솔가든,korean,,,restaurant,+82 61 536 4643,공공데이터포털,no,,yes,,고산로,262,해남읍,,,
