위도,경도,amenity,name,cuisine,addr:full,phone,source,source:date
34.984077,126.962474,restaurant,남도명가,korean,전라남도 화순군 능주면 능주농공길 3,061-371-0085,공공데이터포털,2020-09-25
34.991046,126.956823,restaurant,빛고을회관,korean,전라남도 화순군 능주면 석고길 13,061-372-1616,공공데이터포털,2020-09-25
34.984805,126.962224,restaurant,전원,korean; seafood,전라남도 화순군 능주면 죽수길 4,061-372-1663,공공데이터포털,2020-09-25
35.017017,126.912507,restaurant,남도의 향기,korean,전라남도 화순군 도곡면 지강로 212,061-373-8989,공공데이터포털,2020-09-25
35.019288,126.908537,restaurant,둥근지붕,korean; seafood,전라남도 화순군 도곡면 지강로 260,061-371-3333,공공데이터포털,2020-09-25
35.020478,126.906505,restaurant,쭈꾸미사랑,korean; seafood,"전라남도 화순군 도곡면 지강로 279,1층",061-371-0008,공공데이터포털,2020-09-25
35.032559,126.907046,restaurant,시골돼지담양숯불갈비,korean; meat,전라남도 화순군 도곡면 지강로 431,061-375-8833,공공데이터포털,2020-09-25
35.033355,126.907899,restaurant,색동두부,korean,전라남도 화순군 도곡면 지강로 438,061-375-5066,공공데이터포털,2020-09-25
35.034264,126.907598,restaurant,만강장어명품관,korean; seafood,"전라남도 화순군 도곡면 지강로 444, 1층",061-375-5525,공공데이터포털,2020-09-25
35.040149,126.905343,restaurant,옥수정,korean,전라남도 화순군 도곡면 지강로 514,061-371-7881,공공데이터포털,2020-09-25
35.042372,126.904398,restaurant,달맞이 흑두부,korean,전라남도 화순군 도곡면 지강로 542,061-375-8465,공공데이터포털,2020-09-25
35.043461,126.904253,restaurant,수려재,korean; meat,전라남도 화순군 도곡면 지강로 558,061-374-4400,공공데이터포털,2020-09-25
34.983721,126.893047,restaurant,구백가든,korean,전라남도 화순군 도곡면 천태로 1020,061-373-8117,공공데이터포털,2020-09-25
35.029606,127.048866,restaurant,달맞이 흑두부,korean,전라남도 화순군 동면 충의로 849(천덕리 480),061-372-8465,공공데이터포털,2020-09-25
35.163821,127.084242,restaurant,적벽,korean,"전라남도 화순군 북면 옥리길 14-21, 1층",061-370-5116,공공데이터포털,2020-09-25
35.064344,126.983984,restaurant,석란,korean,전라남도 화순군 화순읍 교동길 20,061-375-5333,공공데이터포털,2020-09-25
35.060828,126.991113,restaurant,다원정,korean,전라남도 화순군 화순읍 만연로 60-8,061-375-7892,공공데이터포털,2020-09-25
35.073484,127.001106,restaurant,금막동갈비,korean; meat,전라남도 화순군 화순읍 만연로 66-8,061-374-8892,공공데이터포털,2020-09-25
35.053101,126.988356,restaurant,약산흑염소,korean,전라남도 화순군 화순읍 상삼2길 13-9,061-373-9292,공공데이터포털,2020-09-25
35.068717,126.988758,restaurant,오메!인자오셨소,korean,전라남도 화순군 화순읍 서양로 478,061-371-7722,공공데이터포털,2020-09-25
35.055577,126.973647,restaurant,사평다슬기수제비,korean; seafood,전라남도 화순군 화순읍 서양로 79,061-372-6004,공공데이터포털,2020-09-25
35.070316,126.999233,restaurant,저녁노을,korean,전라남도 화순군 화순읍 안양산로 68,061-375-9797,공공데이터포털,2020-09-25
35.062257,126.996263,restaurant,예술보리밥,korean,전라남도 화순군 화순읍 용곡1길 46,061-373-6789,공공데이터포털,2020-09-25
35.060614,126.982688,restaurant,금강민물,korean; seafood,전라남도 화순군 화순읍 중앙로 11,061-374-4898,공공데이터포털,2020-09-25
35.064774,126.987535,restaurant,수림정,korean,전라남도 화순군 화순읍 진각로 154(신기리 242-2),061-374-6560,공공데이터포털,2020-09-25
35.065213,126.987588,restaurant,다도복집,seafood; blowfish,전라남도 화순군 화순읍 진각로 160(신기리 243-2),061-375-1547,공공데이터포털,2020-09-25
35.065824,126.987589,restaurant,"달가 우리밀팥죽,칼국수",korean,전라남도 화순군 화순읍 진각로 166,061-375-8889,공공데이터포털,2020-09-25
35.073952,126.989452,restaurant,초향,korean; meat,전라남도 화순군 화순읍 진각로 260,061-375-4321,공공데이터포털,2020-09-25
35.05367,126.973856,restaurant,백두대간,korean; meat,전라남도 화순군 화순읍 칠충로 13,061-371-9292,공공데이터포털,2020-09-25
35.040412,126.963047,restaurant,경복궁,korean; meat,전라남도 화순군 화순읍 학포로 2584-1,061-371-2222,공공데이터포털,2020-09-25
35.051069,126.961629,restaurant,들녘,korean; meat,전라남도 화순군 화순읍 학포로 2655,061-371-1530,공공데이터포털,2020-09-25
35.05055,126.965406,restaurant,외갓집,korean,전라남도 화순군 화순읍 학포로 2699,061-375-1818,공공데이터포털,2020-09-25
35.062622,126.986572,restaurant,남해바다,korean,전라남도 화순군 화순읍 진각로 128,061-372-8555,공공데이터포털,2020-09-25
34.98189,126.891394,restaurant,은성가든,korean; meat,전라남도 화순군 도암면 천태로 996,061-373-9230,공공데이터포털,2020-09-25
35.064589,126.989876,restaurant,현대찜갈비,korean; meat,전라남도 화순군 화순읍 만연로 99,061-371-8295,공공데이터포털,2020-09-25
35.041485,126.904639,restaurant,행복한임금님,korean,전라남도 화순군 도곡면 지강로 532,061-374-0211,공공데이터포털,2020-09-25
35.052943,126.977483,restaurant,여미꽃,korean,전라남도 화순군 화순읍 서양로 41,061-375-5710,공공데이터포털,2020-09-25
