식당위도,식당경도,name,cuisine,takeaway,reservation,phone,addr:full,amenity,capacity,internet_access,access:disabled,website,source,source:date
34.9414174,127.4934835,호성당,,yes,yes,061-745-0123,전라남도 순천시 장평로 17,bakery,,wlan,,,공공데이터포털,2020-10-21 17:24
34.9651845,127.5659409,황금도끼,japanese,yes,yes,061-761-1778,전라남도 광양시 광양읍 갈티로 10 황금도끼초밥,restaurant,12,wlan,yes,,공공데이터포털,2020-10-21 21:27
34.95494,127.5181945,거북선횟집,japanese,yes,yes,061-727-4737,전라남도 순천시 봉화2길 11 거북선횟집,restaurant,72,wlan,,,공공데이터포털,2020-10-14 15:53
34.8122803,126.4612499,화원이모네식당,korean,yes,yes,061-281-7670,전라남도 무안군 삼향읍 대죽서로15번길 34 (104호105호),restaurant,,wlan,,,공공데이터포털,2020-10-08 10:33
34.6332321,126.7655024,양평해장국,korean,yes,yes,061-434-7774,전라남도 강진군 강진읍 보은로 48,restaurant,,wlan,yes,,공공데이터포털,2020-10-15 17:40
34.7529304,127.7027121,돈오리샤방,korean,yes,yes,061-654-9696,전라남도 여수시 여문문화길 42-2,restaurant,24,wlan,,,공공데이터포털,2020-10-14 13:19
34.961886,127.720977,뼈통묵은지감자탕,korean,yes,yes,061-795-2002,전라남도 광양시 광영로 71,restaurant,85,wlan,,,공공데이터포털,2020-11-06 10:33
34.6239498,126.7980393,유황오리나드리,korean,yes,yes,061-434-5233,전라남도 강진군 군동면 석교로 16,restaurant,36,wlan,,,공공데이터포털,2020-11-10 18:05
34.751517,127.7010087,우진참숯갈비살,meat,yes,yes,061-653-6623,전라남도 여수시 여문문화길 66,restaurant,16,no,,https://woojinchamcharcoal.modoo.at,공공데이터포털,2020-10-14 13:14
34.9564245,127.4835924,갑순네한방오리,meat,yes,yes,061-755-7889,전라남도 순천시 행중길 16,restaurant,16,wlan,,,공공데이터포털,2020-10-14 10:48
34.4497846,126.81695,궁전횟집,fish,yes,yes,061-433-3044,전라남도 강진군 마량면 미항로 136,restaurant,,wlan,yes,,공공데이터포털,2020-11-10 18:13
34.9320873,127.6992982,갈비애드림 광양1호점,meat,no,yes,061-794-6677,전라남도 광양시 길호3길 9 1층,restaurant,,wlan,,,공공데이터포털,2020-10-08 9:22
34.9521432,127.5282692,대광목,meat,yes,yes,061-753-3392,전라남도 순천시 조례원님길 42 장어구이,restaurant,,wlan,,,공공데이터포털,2020-10-15 15:11
34.633771,126.7801106,착한돼지,meat,yes,yes,061-432-9232,전라남도 강진군 강진읍 이학래길 1-4,restaurant,40,wlan,yes,http://kindpigg.modoo.at,공공데이터포털,2020-11-04 13:28
34.9324587,127.495806,겨비겨비,korean,no,no,061-743-1278,전라남도 순천시 오천3길 4-13,restaurant,,wlan,,,공공데이터포털,2020-11-15 11:52
34.9500277,127.6978185,중마한우참숯화로구이,beef,yes,yes,061-794-8592,전라남도 광양시 중마중앙로 221,restaurant,80,wlan,,,공공데이터포털,2020-10-15 9:55
34.7545294,127.7043552,천하무한리필삼겹살,korean,yes,yes,061-654-9205,전라남도 여수시 문수로 87,restaurant,,wlan,,,공공데이터포털,2020-10-15 10:31
