식당위도,식당경도,name,cuisine,takeaway,reservation,phone,addr:full,amenity,capacity,internet_access,access:disabled,website,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.9414174,127.4934835,호성당,,yes,yes,+82 61 745 0123,,bakery,,wlan,,,공공데이터포털,2020-10-21 17:24,,장평로,17,,,,
34.9651845,127.5659409,황금도끼,japanese,yes,yes,+82 61 761 1778,,restaurant,12,wlan,yes,,공공데이터포털,2020-10-21 21:27,,갈티로,10,광양읍,,,
34.95494,127.5181945,거북선횟집,japanese,yes,yes,+82 61 727 4737,,restaurant,72,wlan,,,공공데이터포털,2020-10-14 15:53,,봉화2길,11,,,,
34.8122803,126.4612499,화원이모네식당,korean,yes,yes,+82 61 281 7670,,restaurant,,wlan,,,공공데이터포털,2020-10-08 10:33,,대죽서로15번길,34,삼향읍,,,104호105
34.6332321,126.7655024,양평해장국,korean,yes,yes,+82 61 434 7774,,restaurant,,wlan,yes,,공공데이터포털,2020-10-15 17:40,,보은로,48,강진읍,,,
34.7529304,127.7027121,돈오리샤방,korean,yes,yes,+82 61 654 9696,,restaurant,24,wlan,,,공공데이터포털,2020-10-14 13:19,,여문문화길,42-2,,,,
34.961886,127.720977,뼈통묵은지감자탕,korean,yes,yes,+82 61 795 2002,,restaurant,85,wlan,,,공공데이터포털,2020-11-06 10:33,,광영로,71,,,,
34.6239498,126.7980393,유황오리나드리,korean,yes,yes,+82 61 434 5233,,restaurant,36,wlan,,,공공데이터포털,2020-11-10 18:05,,석교로,16,군동면,,,
34.751517,127.7010087,우진참숯갈비살,meat,yes,yes,+82 61 653 6623,,restaurant,16,no,,https://woojinchamcharcoal.modoo.at,공공데이터포털,2020-10-14 13:14,,여문문화길,66,,,,
34.9564245,127.4835924,갑순네한방오리,meat,yes,yes,+82 61 755 7889,,restaurant,16,wlan,,,공공데이터포털,2020-10-14 10:48,,행중길,16,,,,
34.4497846,126.81695,궁전횟집,fish,yes,yes,+82 61 433 3044,,restaurant,,wlan,yes,,공공데이터포털,2020-11-10 18:13,,미항로,136,마량면,,,
34.9320873,127.6992982,갈비애드림 광양1호점,meat,no,yes,+82 61 794 6677,,restaurant,,wlan,,,공공데이터포털,2020-10-08 9:22,,길호3길,9,,,1,
34.9521432,127.5282692,대광목,meat,yes,yes,+82 61 753 3392,,restaurant,,wlan,,,공공데이터포털,2020-10-15 15:11,,조례원님길,42,,,,
34.633771,126.7801106,착한돼지,meat,yes,yes,+82 61 432 9232,,restaurant,40,wlan,yes,http://kindpigg.modoo.at,공공데이터포털,2020-11-04 13:28,,이학래길,1-4,강진읍,,,
34.9324587,127.495806,겨비겨비,korean,no,no,+82 61 743 1278,,restaurant,,wlan,,,공공데이터포털,2020-11-15 11:52,,오천3길,4-13,,,,
34.9500277,127.6978185,중마한우참숯화로구이,beef,yes,yes,+82 61 794 8592,,restaurant,80,wlan,,,공공데이터포털,2020-10-15 9:55,,중마중앙로,221,,,,
34.7545294,127.7043552,천하무한리필삼겹살,korean,yes,yes,+82 61 654 9205,,restaurant,,wlan,,,공공데이터포털,2020-10-15 10:31,,문수로,87,,,,
34.9507236,127.5152101,이가참숯불구이,meat,no,yes,+82 61 742 3377,,restaurant,,wlan,,,공공데이터포털,2020-11-24 20:13,,충효로,131-10,,,,
34.9796509,127.5744232,한상,korean,yes,yes,+82 61 761 1777,,restaurant,40,wlan,yes,,공공데이터포털,2020-11-04 16:20,,서천변로,191,광양읍,,1,
34.9710626,127.5794838,황제삼계탕,korean,yes,yes,+82 61 763 7776,,restaurant,24,wlan,,,공공데이터포털,2020-10-29 18:37,,서천2길,11,광양읍,,,
34.9373899,127.4972557,돈참 풍덕점,japanese,yes,yes,+82 61 746 5222,,restaurant,,wlan,,,공공데이터포털,2020-10-14 10:05,,풍덕새길,22,,,,
34.7729765,127.6441609,황가네,korean,no,yes,+82 61 684 2555,,restaurant,15,wlan,,,공공데이터포털,2020-10-25 21:48,,화산로,53,,,,
34.3207642,126.7459023,통뼈감자탕,korean,yes,yes,+82 61 555 3377,,restaurant,,wlan,,,공공데이터포털,2020-10-29 9:46,,장보고대로,157,완도읍,,,
34.7217846,127.7218625,경도회관,fish,yes,yes,+82 61 666 0044,,restaurant,,wlan,,,공공데이터포털,2020-10-23 15:04,,대경도길,2-2,,,,
34.9712596,127.58115,대호불고기,meat,yes,yes,+82 61 762 5678,,restaurant,24,wlan,,,공공데이터포털,2020-10-08 10:36,,서북1길,4,광양읍,,,
34.9531189,127.519828,바우네나주곰탕 순천연향점,korean,yes,yes,+82 61 722 9233,,restaurant,,wlan,,http://baune70.modoo.at,공공데이터포털,2020-11-11 16:20,,연향상가5길,17,,,1,
34.7519904,127.702026,백수초밥,sushi,yes,yes,+82 61 651 1133,,restaurant,,wlan,,,공공데이터포털,2020-10-19 16:15,,여문문화1길,54,,,,
34.7544023,127.655686,숯불촌,meat,no,yes,+82 61 682 6767,,restaurant,32,no,,,공공데이터포털,2020-11-11 9:13,,장성1길,11,,,,
34.9415205,127.4931427,다비다회관,korean,yes,yes,+82 61 741 8292,,restaurant,,wlan,yes,,공공데이터포털,2020-10-15 18:24,,장평안길,84,,,,
34.3175146,126.7507345,황가네해물짬뽕,chinese,yes,yes,+82 61 552 9300,,restaurant,50,wlan,,,공공데이터포털,2020-10-29 9:32,,해변공원로,39,완도읍,,,
34.9778977,127.5790568,먹어섬횟집,japanese,yes,yes,+82 61 761 9092,,restaurant,24,no,,,공공데이터포털,2020-10-08 17:09,,매천로,755,광양읍,,,
34.9448032,127.5246512,정든닭발 금당점,chicken,yes,yes,+82 61 725 4878,,restaurant,8,wlan,,,공공데이터포털,2020-11-13 14:01,,하대석길,23,,,,
34.9747135,127.482428,홍능숯불갈비,korean,no,yes,+82 61 751 8233,,restaurant,,wlan,,,공공데이터포털,2020-10-08 16:54,,중앙로,328,,,,
34.7462445,127.672782,전가복,chinese,yes,yes,+82 61 686 5088,,restaurant,20,wlan,,,공공데이터포털,2020-10-28 9:27,,예울마루로,35-41,,,,
34.7762695,127.6486558,어매해물삼합,korean,yes,yes,+82 61 681 4666,,restaurant,,wlan,,,공공데이터포털,2020-11-13 10:50,,성산3길,24-4,,,,
34.9274642,127.488074,돌마당국밥,korean,yes,yes,+82 61 744 4385,,restaurant,16,no,,,공공데이터포털,2020-10-21 12:36,,덕월길,54,,,,
34.6891123,126.7137347,신흥식당,korean,yes,yes,+82 61 432 5252,,restaurant,120,no,,,공공데이터포털,2020-11-05 17:37,,시천길,45,성전면,,,
34.9470596,127.5253875,일품매우 순천점,beef,yes,yes,+82 61 724 5455,,restaurant,12,wlan,,,공공데이터포털,2020-11-13 14:47,,대석3길,3-26,,,,
34.7753387,127.6442785,만나육식당,korean,yes,yes,+82 61 921 5840,,restaurant,5,wlan,,,공공데이터포털,2020-10-30 22:51,,성산로,63,,,,
34.7583608,127.6611191,오죽헌한정식,korean,yes,yes,+82 61 685 1700,,restaurant,,wlan,yes,http://ojukheon.kr/,공공데이터포털,2020-11-18 16:47,,시청서1길,36,,,,
34.5961018,126.3118468,현대식당,korean,no,yes,+82 61 532 1344,,restaurant,48,wlan,,,공공데이터포털,2020-10-28 13:30,,우수영로,13-1,문내면,,,
34.958302,127.5171396,바른고기엘베요타 순천점,meat,no,yes,+82 61 726 0092,,restaurant,,wlan,,,공공데이터포털,2020-11-24 18:53,,봉화로,247,,,,
34.3140461,126.7574157,다봄,meat,yes,yes,+82 61 555 6363,,restaurant,40,wlan,,,공공데이터포털,2020-11-11 11:49,,중앙길,15-1,완도읍,,,
34.6414933,126.769868,대흥관,fish,yes,yes,+82 61 432 8644,,restaurant,68,wlan,,,공공데이터포털,2020-10-15 12:04,,연지길,31,강진읍,,,
