위도,경도,amenity,name,addr:full,phone,cuisine,source,source:date
33.24268049,126.5672259,restaurant,삼무뚝배기,제주특별자치도 서귀포시 칠십리로 119,064-762-9096,korean; fish,공공데이터포털,2020-09-04
33.24366854,126.5682254,restaurant,동해미락,제주특별자치도 서귀포시 칠십리로 133,064-733-5921,korean; fish,공공데이터포털,2020-09-04
33.2402496,126.5620491,restaurant,어판장,제주특별자치도 서귀포시 칠십리로 53,064-763-1189,korean; fish,공공데이터포털,2020-09-04
33.24327779,126.5678668,restaurant,영빈횟집,제주특별자치도 서귀포시 칠십리로 129,064-732-3488,korean; fish,공공데이터포털,2020-09-04
33.24242261,126.5667036,restaurant,해궁맛집,제주특별자치도 서귀포시 칠십리로 115,064-732-5577,korean; fish,공공데이터포털,2020-09-04
33.24103451,126.561676,restaurant,제주해풍,제주특별자치도 서귀포시 칠십리로 41,064-763-1008,korean; fish,공공데이터포털,2020-09-04
33.24084354,126.5617242,restaurant,제주올레,제주특별자치도 서귀포시 칠십리로 45,064-767-4422,korean; fish,공공데이터포털,2020-09-04
33.24437791,126.5689429,restaurant,맷돌뚝배기,제주특별자치도 서귀포시 칠십리로 145,064-762-3368,korean; fish,공공데이터포털,2020-09-04
33.24437791,126.5689429,restaurant,정낭식당,제주특별자치도 서귀포시 칠십리로 145,064-732-7590,korean; fish,공공데이터포털,2020-09-04
33.24437791,126.5689429,restaurant,연송갈치,제주특별자치도 서귀포시 칠십리로 145,064-732-8828,korean; fish,공공데이터포털,2020-09-04
33.24306761,126.5675759,restaurant,서귀포괸당네갈치요리집,제주특별자치도 서귀포시 칠십리로 123,064-732-3757,korean; fish,공공데이터포털,2020-09-04
33.24437791,126.5689429,restaurant,반딧불식당,제주특별자치도 서귀포시 칠십리로 145,064-733-3677,korean; fish,공공데이터포털,2020-09-04
33.24371596,126.5683796,restaurant,새만부정,제주특별자치도 서귀포시 칠십리로 135,064-733-7750,fish; blowfish,공공데이터포털,2020-09-04
33.24306761,126.5675759,restaurant,송화촌,제주특별자치도 서귀포시 칠십리로 123,064-733-7102,korean; fish,공공데이터포털,2020-09-04
33.24309115,126.5670865,restaurant,자구리국수,제주특별자치도 서귀포시 소암로12번길 21,064-762-6168,noodle,공공데이터포털,2020-09-04
33.24179386,126.5663547,restaurant,보물섬식당,제주특별자치도 서귀포시 칠십리로 105,064-732-0009,korean; fish,공공데이터포털,2020-09-04
33.24122589,126.5658554,restaurant,식도향,제주특별자치도 서귀포시 칠십리로 99,064-762-6056,korean; fish,공공데이터포털,2020-09-04
33.23970942,126.5643307,restaurant,호림식당,제주특별자치도 서귀포시 칠십리로 78,064-732-8184,korean; fish,공공데이터포털,2020-09-04
33.23992954,126.5643639,restaurant,창훈이네(식당),제주특별자치도 서귀포시 칠십리로 77,064-762-9595,korean; fish,공공데이터포털,2020-09-04
33.23976513,126.5637596,restaurant,금호식당,제주특별자치도 서귀포시 칠십리로 71,064-732-7573,korean; fish,공공데이터포털,2020-09-04
33.23996442,126.562999,restaurant,선영횟집,제주특별자치도 서귀포시 칠십리로 61-1,064-762-4666,korean; fish,공공데이터포털,2020-09-04
33.24005013,126.5627582,restaurant,양평해장국,제주특별자치도 서귀포시 칠십리로 61,064-763-1400,korean; fish,공공데이터포털,2020-09-04
33.24061586,126.5657039,restaurant,부두회수산,제주특별자치도 서귀포시 칠십리로 94,064-763-0018,korean; fish,공공데이터포털,2020-09-04
33.24051082,126.5655757,restaurant,제주할망뚝배기,제주특별자치도 서귀포시 칠십리로 92,064-733-9934,korean; fish,공공데이터포털,2020-09-04
33.24054121,126.5619017,restaurant,촌수산횟집,제주특별자치도 서귀포시 칠십리로 49,064-763-8800,korean; fish,공공데이터포털,2020-09-04
33.24102618,126.5613585,restaurant,나운터,제주특별자치도 서귀포시 칠십리로 42,064-763-2237,korean; fish,공공데이터포털,2020-09-04
33.24098583,126.5611656,restaurant,항구음식점,제주특별자치도 서귀포시 칠십리로 40-4,064-762-3565,korean; fish,공공데이터포털,2020-09-04
33.24131753,126.5611381,restaurant,서귀포회수산마트,제주특별자치도 서귀포시 칠십리로 38-1,064-733-8280,korean; fish,공공데이터포털,2020-09-04
33.24113538,126.5657571,cafe,땡큐베리,제주특별자치도 서귀포시 칠십리로 97,064-732-0932,,공공데이터포털,2020-09-04
