위도,경도,amenity,name,addr:full,source,source:date,shop,branch,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
33.2216083,126.2523872,cafe,중앙다방,,공공데이터포털,2018-02-23,,,,하모상가로,31,대정읍,,,,
33.2487665,126.567381,cafe,돌다방,,공공데이터포털,2018-02-23,,,,동문로,70,서귀동,,,,
33.2494187,126.5652211,cafe,우성다방,,공공데이터포털,2018-02-23,,,,중정로91번길,15,서귀동,,2,,
33.2202096,126.2518422,cafe,수궁다방,,공공데이터포털,2018-02-23,,,,하모항구로,78,대정읍,,,,
33.2492416,126.5666726,cafe,해당화다방,,공공데이터포털,2018-02-23,,,,동문로,60,서귀동,,2,,
33.244278,126.5641506,cafe,보물섬다방,,공공데이터포털,2018-02-23,,,,솔동산로,6-1,서귀동,,,,
33.2482665,126.5642924,restaurant,에덴분식,,공공데이터포털,2018-02-23,,,,중정로73번길,2,서귀동,,,,
33.2485788,126.5642465,restaurant,새로나식당,,공공데이터포털,2018-02-23,,,,중앙로42번길,24,서귀동,,,,
33.2468486,126.3356721,cafe,화신다방,,공공데이터포털,2018-02-23,,,,화순로,100-1,안덕면,,,,
33.2486781,126.5666013,cafe,동미다방,,공공데이터포털,2018-02-23,,,,중정로,95-2,서귀동,,,,
33.3258943,126.8336204,cafe,표선다방,,공공데이터포털,2018-02-23,,,,표선중앙로,89,표선면,,,,
33.2476176,126.5628319,restaurant,김밥천국서귀포점,,공공데이터포털,2018-02-23,,,,중정로,60,서귀동,,,,
33.3264263,126.8322772,cafe,곰다방,,공공데이터포털,2018-02-23,,,,표선중앙로,76,표선면,,,,
33.249075,126.5651269,restaurant,뽕뽕식당,,공공데이터포털,2018-02-23,,,,중앙로42번길,33,서귀동,,1,,
33.2216269,126.2511458,restaurant,은성,,공공데이터포털,2018-02-23,,,,하모상가로,21,대정읍,,,,
33.2795061,126.7201097,cafe,귀빈다방,,공공데이터포털,2018-02-23,,,,태위로,689,남원읍,,,,
33.4490938,126.9151914,cafe,약속다방,,공공데이터포털,2018-02-23,,,,동류암로,51-1,성산읍,,,,
33.2498991,126.4082883,cafe,호텔하나다방,,공공데이터포털,2018-02-23,,,,중문관광로72번길,53,색달동,,,,
33.25035,126.5625661,cafe,외인다방,,공공데이터포털,2018-02-23,,,,중앙로62번길,11,서귀동,,,,
33.25004,126.5617997,cafe,동산다방,,공공데이터포털,2018-02-23,,,,중앙로62번길,2,서귀동,,,,
33.2586063,126.5620424,restaurant,서귀고교구내매점,,공공데이터포털,2018-02-23,,,,중앙로150번길,4-1,동홍동,,,,
33.2498304,126.5656661,cafe,금호다방,,공공데이터포털,2018-02-23,,,,동문로,48,서귀동,,,,
33.2486729,126.5627846,restaurant,롯데리아서귀포점,,공공데이터포털,2018-02-23,,,,중정로61번길,9,서귀동,,,,
33.2511819,126.508187,restaurant,중앙도서관구내식당,,공공데이터포털,2018-02-23,,,,김정문화로,32,강정동,,,,
33.2493619,126.565927,cafe,뱅크다방,,공공데이터포털,2018-02-23,,,,중앙로42번길,41,서귀동,,,,
33.2586063,126.5620424,restaurant,서귀포학생문화원구내식당,,공공데이터포털,2018-02-23,,,,중앙로150번길,4-1,동홍동,,,,
33.2479639,126.5644025,restaurant,서귀먹보김밥천국,,공공데이터포털,2018-02-23,,,,이중섭로,1,서귀동,,,,
33.2476176,126.5628319,restaurant,베스킨라빈스,,공공데이터포털,2018-02-23,,,,중정로,60,서귀동,,,,
33.2429044,126.4204352,restaurant,씨에스호텔시젠,,공공데이터포털,2018-02-23,,,,중문관광로,198,중문동,,,,
33.2490074,126.5675574,restaurant,아름이네분식,,공공데이터포털,2018-02-23,,,,동문로,69,서귀동,,,,
33.2480405,126.5620524,cafe,백록다방,,공공데이터포털,2018-02-23,,,,중앙로,38,서귀동,,,,
33.4472813,126.914758,cafe,공주다방,,공공데이터포털,2018-02-23,,,,일출로,18,성산읍,,,,
33.2501459,126.5672963,restaurant,짱구분식,,공공데이터포털,2018-02-23,,,,중동로48번길,3,서귀동,,,,
33.3223451,126.8414874,,민속촌편의점,,공공데이터포털,2018-02-23,convenience,,,민속해안로,631-34,표선면,,,,
33.2795235,126.7199645,cafe,제원다방,,공공데이터포털,2018-02-23,,,,태위로,687,남원읍,,,,
33.3265182,126.8331331,restaurant,향찻집,,공공데이터포털,2018-02-23,,,,표선동서로,255,표선면,,,,
33.2533972,126.5593495,restaurant,러브파이,,공공데이터포털,2018-02-23,,,,중앙로101번길,13-2,서홍동,,,,
33.2537273,126.5614624,restaurant,난타5000서귀포시청점,,공공데이터포털,2018-02-23,,,,중앙로,102,동홍동,,,,
33.2508239,126.5640907,cafe,금잔듸다방,,공공데이터포털,2018-02-23,,,,동문로,30,서귀동,,,,
33.2480965,126.560575,cafe,여정다방,,공공데이터포털,2018-02-23,,,,중앙로,41,서귀동,,,,
33.2507131,126.5630881,cafe,피서지다방,,공공데이터포털,2018-02-23,,,,중정로91번길,39,서귀동,,,,
33.248144,126.5677388,cafe,귀빈다방,,공공데이터포털,2018-02-23,,,,정방로,6,서귀동,,,,
33.2207101,126.253394,cafe,이반다방,,공공데이터포털,2018-02-23,,,,신영로,98,대정읍,,,,
33.2486381,126.563135,cafe,화용다방,,공공데이터포털,2018-02-23,,,,중정로61번길,8-1,서귀동,,,,
33.2477168,126.5640771,restaurant,용우동서귀포점,,공공데이터포털,2018-02-23,,,,이중섭로,4,서귀동,,,,
33.2476527,126.5632133,restaurant,베트로,,공공데이터포털,2018-02-23,,,,중정로62번길,1,서귀동,,,,
33.4661342,126.9335405,restaurant,일출봉호텔커피숍,,공공데이터포털,2018-02-23,,,,한도로,244,성산읍,,,,
33.2211157,126.2522972,cafe,제일다방,,공공데이터포털,2018-02-23,,,,하모중앙로,79,대정읍,,,,
33.3258978,126.8317849,cafe,가름다방,,공공데이터포털,2018-02-23,,,,표선중앙로80번길,9,표선면,,,,
33.2484188,126.5666291,cafe,대성다방,,공공데이터포털,2018-02-23,,,,중정로,96,서귀동,,,,
33.2446568,126.5517975,restaurant,삼매봉도서관구내식당 아띠,,공공데이터포털,2018-02-23,,,,남성중로153번길,15,서홍동,,,,
33.2519142,126.5609974,restaurant,토르토니서귀포점,,공공데이터포털,2018-02-23,,,,중앙로,81,서귀동,,,,
33.3225332,126.8228665,cafe,사계절다방,,공공데이터포털,2018-02-23,,,,,,,,,,
33.2799028,126.7191442,restaurant,청실,,공공데이터포털,2018-02-23,,,,태위로679번길,8,남원읍,,,,
33.2214038,126.2531635,cafe,양지다방,,공공데이터포털,2018-02-23,,,,하모상가로,40,대정읍,,,,
33.305894,126.28942,restaurant,주식회사아모레퍼시픽오설록,,공공데이터포털,2018-02-23,,,,신화역사로,15,안덕면,,,,
33.2256763,126.2530378,cafe,초원다방,,공공데이터포털,2018-02-23,,,,동일하모로,206,대정읍,,,,
33.2540178,126.5642069,restaurant,서귀포 피자클래스,,공공데이터포털,2018-02-23,,,,일주동로,8650,동홍동,,,,
33.2506825,126.5622388,restaurant,중앙분식삼춘냉면,,공공데이터포털,2018-02-23,,,,중앙로72번길,8-9,서귀동,,,,
33.2483035,126.5628089,restaurant,김가네,,공공데이터포털,2018-02-23,,,,중앙로42번길,8,서귀동,,,,
33.2400439,126.5645288,cafe,산호다방,,공공데이터포털,2018-02-23,,,,부두로,55,서귀동,,,,
33.2253598,126.2484874,restaurant,제주킹마트모슬포점,,공공데이터포털,2018-02-23,,,,동일하모로,158-3,대정읍,,,,
33.2352359,126.3129553,restaurant,Kim여사의 밥상,,공공데이터포털,2018-02-23,,,,사계남로216번길,24-68,안덕면,,,,
33.2793359,126.7204836,cafe,동그라미다방,,공공데이터포털,2018-02-23,,,,태위로,692,남원읍,,,,
33.3190481,126.7087521,restaurant,원식품,,공공데이터포털,2018-02-23,,,,남조로,52,남원읍,,,,
