위도(WGS84좌표),경도(WGS84좌표),시도명,시군구명,name,업종,cuisine,주요메뉴,operator,phone,addr:full,소재지지번주소,website,capacity,opening_hours,휴무일,주차장보유여부,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.49541,127.98833,강원도,횡성군,금강산숯불구이,일반음식점,한식,"쇠고기, 돼지갈비",정선용, 033-345-3377,,강원도 횡성군 읍하리 524-3,,72,10:00~22:30,첫재주  셋째주 월요일,,2019-09-20,,문화체육로,54,횡성읍,,,
37.451448,128.074264,강원도,횡성군,다래막국수,일반음식점,기타,"막국수, 감자옹심이",이동옥, 033-344-2369,,강원도 횡성군 우천면 우항리 307 - 6  ,,120,09:00~20:00,,Y,2019-09-20,,한우로우항7길,9,우천면,,,
37.526556,127.908917,강원도,횡성군,동가래농장한우셀프점,일반음식점,한식,"쇠고기, 돼지갈비",이승훈, 033-345-8840,,강원도 횡성군 초원리 507-6,http://www.donggarae.com/home/subpage.php?f=user&m=p2,92,10:00~21:00,,Y,2019-09-20,,경강로,1026,공근면,,,
37.495429,127.987927,강원도,횡성군,마옥막국수횡성한우우거지탕,일반음식점,한식,"막국수, 보쌈, 곰탕",조선혜, 033-343-9925,,강원도 횡성군 횡성읍 읍하리 524 - 1  ,,105,10:00~21:00,,Y,2019-09-20,,읍하남로13번길,42,횡성읍,,,
37.512918,128.211432,강원도,횡성군,민들레닭갈비,일반음식점,한식,"닭개장, 닭갈비",김순영, 033-345-0366,,강원도 횡성군 둔내면 둔방내리 588 - 2  ,http://mindlele.modoo.at/,52,10:00~22:00,,Y,2019-09-20,,둔방로3번길,5,둔내면,,,
37.512499,128.216241,강원도,횡성군,삼정,일반음식점,한식,"한우등심, 치마살, 육사시미",원인숙, 033-342-3365,,강원도 횡성군 둔내면 자포곡리 409 - 20  ,,52,11:00~21:00,매주 화요일,,2019-09-20,,둔내로,52-1,둔내면,,,
37.479718,127.982288,강원도,횡성군,선돌막국수,일반음식점,한식,"막국수, 칼국수",윤순길, 033-343-3260,,강원도 횡성군 횡성읍 입석리 161 - 1  ,,80,10:00~15:00,매주 일요일,Y,2019-09-20,,입석로,34,횡성읍,,,
37.514089,128.210553,강원도,횡성군,심우향,일반음식점,한식,"꽃등심, 돼지갈비, 육사시미",차영순, 033-345-7321,,강원도 횡성군 둔내면 둔방내리 576 - 7  ,,72,16:00~10:00,매주 화요일,,2019-09-20,,둔방로14번길,9,둔내면,,,
37.533698,127.96675,강원도,횡성군,쌍둥이네미꾸라지탕,일반음식점,한식,"미꾸라지탕, 튀김",변희선, 033-342-8996,,강원도 횡성군 공근면 매곡리 495 - 8  ,,68,11:00~20:00,둘째주 넷째주 일요일,Y,2019-09-20,,공근남로,37,공근면,,,
37.492105,127.986599,강원도,횡성군,우도바지락칼국수,일반음식점,한식,"해물칼국수, 해물닭볶음탕",박정미, 033-344 -7677,,강원도 횡성군 횡성읍 읍하리 54 - 2  ,,88,10:30~21:00,,Y,2019-09-20,,태기로19번길,17,횡성읍,,,
