위도,경도,cuisine,행정읍면동,name,addr:full,소재지지번주소,phone,주차여부,opening_hours,주메뉴,source:date
37.272031,126.57049,한식,대부북동,33호 할머니칼국수,"경기도 안산시 단원구 대부황금로 1297, 1층 (대부북동)",경기도 안산시 단원구 대부북동 1161-105 1층,032-886-9908,가능,매일 09:00 ~ 21:00,바지락칼국수,2019-07-05
37.308121,126.828741,뷔페식,고잔동,AW웨딩컨벤션,"경기도 안산시 단원구 광덕1로 171, 3~5층 (고잔동,AW웨딩컨벤션)",경기도 안산시 단원구 고잔동 718-3 AW웨딩컨벤션 3~5층,031-501-5900,"700~1,000대",,뷔페,2019-07-05
37.309066,126.816275,한식,초지동,가반,경기도 안산시 단원구 광덕2로 58-16 (초지동),경기도 안산시 단원구 초지동 727-6,031-483-7389,70대 전용 주차장,,가반정식,2019-07-05
37.302402,126.849903,한식,고잔동,갈비락,"경기도 안산시 상록구 서암로3길 1, 2~3층 (사동)","경기도 안산시 상록구 사동 1199-17 , 2~3층",031-408-9595,가능,매일 11:30 ~ 22:00,돼지생갈비,2019-07-05
37.328952,126.847514,한식,와동,개성손만두요리전문점,"경기도 안산시 상록구 예술광장1로 52, 108호 (월피동)",경기도 안산시 상록구 월피동 445-20 뉴월피프라자 108호,031-475-8999,가능,매일 11:00 ~ 22:00,만두전골,2019-07-05
37.315114,126.823547,한식,초지동,고잔숯불갈비,"경기도 안산시 단원구 광덕4로 102, 121호 (고잔동)",경기도 안산시 단원구 고잔동 681-3 신원프라자 121호,031-403-9991,주차 완비,매일 10:00 ~ 23:30,"생갈비,양념갈비",2019-07-05
37.280175,126.851211,한식,사동,고향순대감자탕,경기도 안산시 상록구 선진4길 35 (사동),경기도 안산시 상록구 사동 1471-14,031-406-0166,주차 완비,,순대국밥,2019-07-05
37.328922,126.845212,한식,월피동,곱팽이더덕두루치기,경기도 안산시 상록구 예술광장로 11(월피동),경기도 안산시 상록구 월피동 445-10,031-487-5224,가능,,두루치기,2019-07-05
37.313533,126.832609,한식,사동,광양참숯불구이,"경기도 안산시 단원구 광덕동로 101, 206호 (고잔동)",경기도 안산시 단원구 고잔동 727-1 두일빌딩 206호,031-419-9233,30대,매일 11:00 ~ 22:30,"한우구이,갈비탕",2019-07-05
37.347806,126.819655,중국식,고잔동,교동중화반점,경기도 안산시 단원구 화정천동로8길 6 (와동),경기도 안산시 단원구 와동 789-3,031-487-5002,15대 주차가능,매일 10:30 ~ 21:30,"손짜장면,탕수육",2019-07-05
37.293762,126.843661,한식,사동,구곡산장,경기도 안산시 상록구 댕이길 12 (사동),경기도 안산시 상록구 사동 1352-4,031-419-5292,주차 완비,,오리구이,2019-07-05
37.314648,126.831163,한식,고잔동,굴다리영양탕,"경기도 안산시 단원구 광덕대로 206, 214호 (고잔동)",경기도 안산시 단원구 고잔동 724 골든오피스텔 214호,031-402-9344,지상 1층 ~ 지상 5층,,"토종닭,오리주물럭",2019-07-05
37.301619,126.851044,한식,사동,궁중삼계탕,"경기도 안산시 상록구 석호공원로 69, 101호 (사동)",경기도 안산시 상록구 사동 1197-4 인우빌 101호,031-502-9090,50대 (점포 앞 무료공영주차장),,한방삼계탕,2019-07-05
37.349195,126.820521,한식,고잔동,금강산가든,경기도 안산시 단원구 쑥개길 6 (화정동),경기도 안산시 단원구 화정동 315-5,031-482-9595,주차 완비,"매일 10:00 ~ 22:00, 연중무휴",한우모듬구이,2019-07-05
37.320336,126.833102,한식,본오동,김가네낙지전문점,"경기도 안산시 단원구 당곡로 33, 125~126호 (고잔동, 프라움시티)",경기도 안산시 단원구 고잔동 528-1 프라움시티 125~126호,031-402-0552,가능,매일 10:00 ~ 22:00,"낙지덮밥,낙지전골",2019-07-05
37.333945,126.848688,한식,본오동,김흥관힘센낙지 (빨간낙지마당),경기도 안산시 상록구 안산천동로2길 1 (월피동),경기도 안산시 상록구 월피동 455-14,031-410-3660,주차 완비,매일 10:30 ~ 22:30,"연포탕,낙지덮밥",2019-07-05
37.317836,126.836074,한식,고잔동,낙원타코 안산중앙점,경기도 안산시 단원구 고잔2길 45,경기도 안산시 단원구 고잔동 535-2,031-401-0725,,,낙원파히타,2019-07-05
37.318676,126.837573,한식,사동,니뽕내뽕(안산중앙점),"경기도 안산시 단원구 고잔로 102, 201호 (고잔동)",경기도 안산시 단원구 고잔동 539-1 201호,031-475-4555,,"매일11:30 ~ 21:30,/ Break Time 15:30~ 16:30","토뽕,일뽕,크뽕",2019-07-05
37.329229,126.846103,중국식,성포동,단야 중화요리,경기도 안산시 상록구 예술광장로 19 성포타운 1층 105호~107호,경기도 안산시 상록구 월피동 445-17 성포타운 1층 105호~107호,031-414-0064,가능,,"짜장면,탕수육",2019-07-05
37.35009,126.822414,한식,선부동,단원,경기도 안산시 단원구 너비울길 15 (화정동),경기도 안산시 단원구 화정동 306-10,031-486-9233,주차 완비,"매일 10:00 ~ 22:00, 명절 및 하계휴가 휴무",소고기구이,2019-07-05
37.319088,126.829743,한식,고잔동,단원한정식,경기도 안산시 단원구 광덕대로 251 (고잔동),경기도 안산시 단원구 고잔동 525-1,031-401-3500,주차완비,,궁연정식,2019-07-05
37.268621,126.569247,한식,대부북동,대부맛집 청미,경기도 안산시 단원구 대선로 36 (대부북동),경기도 안산시 단원구 대부북동 1826-156,032-887-1108,20대 가능,매일 09:00 ~ 21:00,바지락고추장찌개,2019-07-05
37.294177,126.844269,한식,사동,대부흑염소,경기도 안산시 상록구 댕이길 65 (사동),경기도 안산시 상록구 사동 1350-2,031-438-1021,주차 완비,,흑염소탕,2019-07-05
37.313146,126.846384,일식,고잔동,대포항별미집,"경기도 안산시 상록구 송호3길 18, 1층 (이동)",경기도 안산시 상록구 이동 644-8 1층,031-409-2791,30대 주차 가능,"매일 12:00 ~ 22:00, 매주 일요일 휴무","물회,세꼬시",2019-07-05
37.294732,126.862685,한식,초지동,대호식당,"경기도 안산시 상록구 샘골로 123, 104~105호 (본오동)",경기도 안산시 상록구 본오동 880-10 104~105호,031-408-6460,주차 완비,,"생등심,삼겹살",2019-07-05
37.293978,126.843988,한식,사동,댕이골낙지마을,경기도 안산시 상록구 댕이길 15 (사동),경기도 안산시 상록구 사동 1350-9,031-407-7631,주차 가능,매일 11:00 ∼ 익일 01:00,"산낙지,연포탕",2019-07-05
37.308566,126.85121,한식,이동,도둑고기 안산한대역점,경기도 안산시 상록구 광덕1로 379,경기도 안산시 상록구 이동 715-2,031-417-3892,,,갈비구이,2019-07-05
37.331589,126.792964,한식,원곡동,독일미,"경기도 안산시 단원구 부부로2길 22-1 (원곡동, 749-3 1층)",경기도 안산시 단원구 원곡동 749-3 749-3 1층,031-493-8666,,매일 10:00~익일 01:00,"양갈비,양꼬치",2019-07-05
37.31076,126.827912,중국식,고잔동,동방명주,경기도 안산시 단원구 광덕2로 155-12,경기도 안산시 단원구 고잔동 709-12,031-411-8595,가능,,흑후추소스 소고기,2019-07-05
37.287699,126.575159,일식,대부북동,동원횟집,"경기도 안산시 단원구 대부황금로 1497, 209호 (대부북동)",경기도 안산시 단원구 대부북동 1848-78 209호,031-881-8811,주차 완비,"매일 10:00 ~ 23:59, 연중무휴",활어회,2019-07-05
37.313784,126.831605,한식,부곡동,동천게장,"경기도 안산시 단원구 광덕3로 167-16, 109호 (고잔동)",경기도 안산시 단원구 고잔동 726-10 두루빌딩 109호,031-413-0660,주차 완비,매일 10:00 ~ 22:00,간장게장,2019-07-05
37.313428,126.848076,한식,사동,뜨락,경기도 안산시 상록구 송호1길 69 (이동),경기도 안산시 상록구 이동 640-5,031-418-2082,주차 완비,,뜨락정식,2019-07-05
37.309455,126.828941,한식,사동,마루야끼,"경기도 안산시 단원구 광덕대로 145, 205호 (고잔동)",경기도 안산시 단원구 고잔동 717 강희그랜드오피스텔 205호,031-480-3010,200대,,가마솥삼겹살,2019-07-05
37.344115,126.821605,한식,사동,마포네숯불갈비,경기도 안산시 단원구 와동공원로 142 (와동),경기도 안산시 단원구 와동 772-6,031-405-9282,주차완비,매일 11:00 ~ 익일 03:00,마포네돼지갈비,2019-07-05
37.287791,126.845828,한식,사동,마포숯불화로이야기,"경기도 안산시 상록구 항가울로 70, 1층 (사동)",경기도 안산시 상록구 사동 1372-6 1층,031-416-3070,가능,매일 10:30 ~ 22:30,"돼지갈비,소갈비",2019-07-05
37.326834,126.752776,한식,신길동,만해추어탕,"경기도 안산시 단원구 황새바위길 3 (신길동, 294-2 1층)",경기도 안산시 단원구 신길동 294-2 1층,031-492-7070,100대 가능,매일 09:30 ~ 21:30,추어탕,2019-07-05
37.306258,126.849658,한식,선부동,맛수원왕갈비,"경기도 안산시 상록구중보1길 18, 1층 (이동)",경기도 안산시 상록구 이동 718-7 1층,031-417-6635,가능,매일 10:30 ~ 22:30,수원소생갈비,2019-07-05
37.351665,126.82144,한식,사동,먹쇠장어,"경기도 안산시 단원구 꽃우물길 12 (화정동, 431 1층)",경기도 안산시 단원구 화정동 431 431 1층,031-485-5289,주차 완비,매일 10:00 ~ 22:00,"장어구이,장어탕",2019-07-05
37.306235,126.845688,한식,사동,명옥부대찌개,"경기도 안산시 상록구 천문4길 15, 1층",경기도 안산시 상록구 사동 1519-15 1층,031-417-8686,,,부대찌개,2019-07-05
37.306373,126.848293,한식,선부동,명장한우,"경기도 안산시 상록구 광덕1로 346, 301호 (이동)",경기도 안산시 상록구 이동 720-2 동영센트럴타워 301호,031-415-0068,30대 주차 가능,"매일 11:00 ~ 23:00, 명절당일 휴무","꽃등심,돼지갈비",2019-07-05
37.335455,126.843005,한식,월피동,명태본가,경기도 안산시 상록구 광덕산1로 3-3,경기도 안산시 상록구 월피동 506-11,031-405-1063,10대,매일 11:00 ~ 22:00,명태조림,2019-07-05
37.309031,126.828908,중국식,고잔동,몽차우,경기도 안산시 단원구 광덕대로 141,경기도 안산시 단원구 고잔동 717-1,031-487-0085,,,"짜장면,탕수육",2019-07-05
37.29368,126.84294,한식,사동,무교뻘낙지,경기도 안산시 상록구 댕이길 6 (사동),경기도 안산시 상록구 사동 1352-1,031-419-5900,주차 완비,,"연포탕,낙지덮밥",2019-07-05
37.318814,126.827352,한식,고잔동,묵은지찌개마을,"경기도 안산시 단원구 원고잔로 15, 지층 101호 (고잔동, 반월빌딩)",경기도 안산시 단원구 고잔동 520-4 반월빌딩 지층 101호,031-401-5555,,매일 10:00 ~ 22:00,김치찌개,2019-07-05
37.276788,126.560552,일식,대부북동,바다회집(북동),경기도 안산시 단원구 구봉길 102-22 (대부북동),경기도 안산시 단원구 대부북동 1866-12,032-886-3164,주차 완비,매일 10:00 ~ 22:00,활어회,2019-07-05
37.275504,126.569106,한식,대부북동,백합칼국수,경기도 안산시 단원구 대부황금로 1337 (대부북동),경기도 안산시 단원구 대부북동 1856-132,032-886-1002,주차 완비,"매일 10:00 ~ 22:00, 연중무휴",백합칼국수,2019-07-05
37.293761,126.843379,한식,고잔동,별장보쌈칼국수,경기도 안산시 상록구 댕이길 10 (사동),경기도 안산시 상록구 사동 1352-3,031-419-5900,주차 가능,"매주 주일은 휴무, 평일 11:30 ~ 21:00,  토요일 11:30 ~ 16:00, break time 15:00 ~ 17:00",별장보쌈,2019-07-05
37.318814,126.827352,한식,고잔동,복요리전문점복청(안산중앙점),"경기도 안산시 단원구 원고잔로 15 (고잔동, 지층 일부)",경기도 안산시 단원구 고잔동 520-4 지층 일부,031-410-3588,주차가능,"매일 10:00 ~ 22:00, 명절 당일 휴무","복어탕,복어찜",2019-07-05
37.314287,126.797242,한식,본오동,복전문점복청,"경기도 안산시 단원구 동산로 63, B2층 201호(원시동)",경기도 안산시 단원구 원시동 773-9 B2층 201호,031-491-0086,주차가능,매일 10:00 ~ 22:00,"복어탕,복어찜",2019-07-05
37.335198,126.849543,중국식,사동,북경대반점,경기도 안산시 상록구 안산천동로4길 1 (월피동),경기도 안산시 상록구 월피동 457-11,031-401-1283,주차 완비,"매일 10:30 ~ 22:00, 명절 휴무","짜장면,탕수육",2019-07-05
37.311622,126.831914,일식,이동,사조회참치,"경기도 안산시 단원구 광덕2로 193-19, 176호 (고잔동)",경기도 안산시 단원구 고잔동 768-4 썬라이즈 176호,031-439-1315,100대 주차 가능,"매일 11:30 ~ 익일 02:30, 연중무휴",참치회,2019-07-05
37.293763,126.844327,한식,사동,산골송어,경기도 안산시 상록구 댕이길 18 (사동),경기도 안산시 상록구 사동 1352-7,031-419-3735,주차 완비,,송어회,2019-07-05
37.302784,126.915739,한식,사동,산촌쌈밥,경기도 안산시 상록구 서해로 2813 (사사동),경기도 안산시 상록구 사사동 475,031-416-7370,30대 이상,"매일 09:00 ~ 22:00, 명절 휴무",한우꽃등심쌈밥,2019-07-05
37.290787,126.829853,한식,고잔동,상록한정식,경기도 안산시 상록구 해안로 705 (사동),경기도 안산시 상록구 사동 1271-11,031-500-4455,주차 완비,"매일 11:30 ~ 22:00, 명절 휴무",상록정식,2019-07-05
37.31259,126.84819,한식,이동,새벽순댓국,경기도 안산시 상록구 송호로 12-1,경기도 안산시 상록구 이동 657-4,031-502-4575,,,순대국밥,2019-07-05
37.260424,126.570016,한식,대부북동,샤브랑버섯소고기샤브,"경기도 안산시 단원구 대선로 131, 1층 (대부북동)",경기도 안산시 단원구 대부북동 1392-16 1층,032-886-6755,가능,매일 10:00 ~ 22:00,버섯샤브샤브,2019-07-05
37.295869,126.872157,한식,초지동,서가네우렁쌈밥,경기도 안산시 상록구 본이로1안길 38 (본오동),경기도 안산시 상록구 본오동 795-4,031-406-4685,주차 가능,"매일 10:00 ~ 22:00, 마지막주 월 휴무",우렁쌈밥,2019-07-05
37.238071,126.617351,한식,대부동동,서래가든,경기도 안산시 단원구 대부황금로 700 (대부동동),경기도 안산시 단원구 대부동동 81-29,032-886-4842,40대 가능,매일 06:00 ~ 21:00,"왕갈비탕,영양굴밥",2019-07-05
37.30779,126.850016,한식,이동,서울깍두기,"경기도 안산시 상록구 광덕1로 365, 105,106호","경기도 안산시 상록구 이동 714 105,106호",031-416-0506,,,"설렁탕,곰탕",2019-07-05
37.320007,126.829831,뷔페식,이동,소담한식부페,"경기도 안산시 단원구 광덕대로 263, 111호 (고잔동)",경기도 안산시 단원구 고잔동 523-2 브레스빌 111호,031-439-3829,지하주차장 주차,매일 07:00 ~ 22:00,뷔페,2019-07-05
37.318593,126.836468,한식,사동,솔밭낙지마당,"경기도 안산시 단원구 예술대학로 17, 212호 (고잔동)",경기도 안산시 단원구 고잔동 534-3 안산중앙노블레스 212호,031-484-4024,주차 완비,매일 10:00 ~ 22:00,"산낙지,연포탕",2019-07-05
37.330842,126.860407,한식,부곡동,송담추어탕,"경기도 안산시 상록구 태마당로 4, 1층 (부곡동)",경기도 안산시 상록구 부곡동 678-1 1층,031-406-7988,가능,매일 05:00 ~ 21:00,추어탕,2019-07-05
37.301004,126.811772,한식,사사동,송탄나여사부대찌개,경기도 안산시 단원구 원포공원2로 24(초지동),경기도 안산시 단원구 초지동 744-3,031-403-2325,,매일 09:30 ~ 21:00,부대찌개,2019-07-05
37.332555,126.810405,한식,선부동,수지동태탕,"경기도 안산시 단원구 선부광장로 77, 104~107호 (선부동,늘봄스위트빌)",경기도 안산시 단원구 선부동 1077-15 늘봄스위트빌 104~107호,031-482-3307,가능,매일 10:00 ~ 22:00,"동태찜,동태탕",2019-07-05
37.307118,126.815106,한식,대부북동,시골통돼지생삼겹살,"경기도 안산시 단원구 초지로 94, 206호 (초지동, 한솔프라자)",경기도 안산시 단원구 초지동 735-3 한솔프라자 206호,031-439-3392,가능,매일 12:00 ~ 23:59,삼겹살구이,2019-07-05
37.303506,126.846742,한식,이동,신라샤브칼국수,경기도 안산시 상록구 용신로 219 (사동),경기도 안산시 상록구 사동 1543-4,031-418-6014,주차 완비,,버섯샤브샤브,2019-07-05
37.297985,126.863412,한식,이동,신석기숯불이야기,"경기도 안산시 상록구 샘골로 160, 101호 (본오동)",경기도 안산시 상록구 본오동 872-14 송림빌딩 101호,031-437-3366,주차 완비,매일 10:30 ~ 22:30,"돼지갈비,한우등심",2019-07-05
