사업장명,전화번호,소재지면적,지번주소,도로명주소,위생업태명,시설총규모,영업상태명,폐업일자,위도,경도
삼대부대찌개,055-321-7988,119.04,경상남도 김해시 어방동 1102-6번지,경상남도 김해시 김해대로2529번길 56 (어방동),복어취급,119.04,영업/정상,,35.2333368100 ,128.9031613000 
옹골찬김밥,055-328-1488,19.47,경상남도 김해시 부원동 614-13,경상남도 김해시 호계로 421 (부원동),김밥(도시락),19.47,영업/정상,,35.2280092800 ,128.8849212000 
지코바숯불치킨,055-337-7103,12.21,경상남도 김해시 외동 1187-4번지,경상남도 김해시 함박로45번길 4-18 (외동),통닭(치킨),12.21,영업/정상,,35.2331913700 ,128.8600829000 
언덕위에하얀집,055-331-6752,98.28,경상남도 김해시 안동 90-1번지 외1필지,"경상남도 김해시 삼안로112번길 20-20 (안동,외1필지)",기타,98.28,영업/정상,,35.2404547100 ,128.9191167000 
자갈치횟집,055-334-5951,61.74,경상남도 김해시 삼정동 645-20번지,경상남도 김해시 인제로39번길 60 (삼정동),회집,61.74,영업/정상,,35.2316134600 ,128.8985500000 
기라성,055-323-4323,43.74,경상남도 김해시 어방동 1108-9번지,경상남도 김해시 김해대로2529번길 26 (어방동),한식,43.74,영업/정상,,35.2307750000 ,128.9034075000 
김영희 강남동태찜,055-322-8187,80.71,경상남도 김해시 어방동 1131-3번지,경상남도 김해시 분성로529번길 21 (어방동),한식,80.71,영업/정상,,35.2374351900 ,128.9035584000 
풍만식당,055-334-6646,97.02,경상남도 김해시 안동 539-8번지,경상남도 김해시 김해대로2596번길 11-44 (안동),한식,97.02,영업/정상,,35.2274846500 ,128.9130381000 
충무복국,055-533-8121,21.94,경상남도 김해시 무계동 283-5번지,경상남도 김해시 장유로 308-2 (무계동),식육(숯불구이),21.94,영업/정상,,35.1990870300 ,128.8151701000 
조개구이 조개탕,055-331-9422,19.78,경상남도 김해시 내동 1112-10,경상남도 김해시 내외로 21 (내동),회집,19.78,영업/정상,,35.2358984100 ,128.8596830000 
쌈싸먹는뿔난쭈꾸미,055-339-5677,108.2,경상남도 김해시 관동동 1081-9,경상남도 김해시 율하카페길 35-7 (관동동),분식,108.2,영업/정상,,35.1764982700 ,128.8097184000 
김해한우 별관,055-314-2600,76.69,경상남도 김해시 불암동 190-2번지 4층,"경상남도 김해시 대동로 15, 4층 (불암동)",식육(숯불구이),76.69,영업/정상,,35.2230449600 ,128.9290480000 
김해한우,055-314-2600,594.69,경상남도 김해시 불암동 190-2번지 2층,"경상남도 김해시 대동로 15, 2층 (불암동)",식육(숯불구이),594.69,영업/정상,,35.2230449600 ,128.9290480000 
남포동 해물포차,,83.98,경상남도 김해시 대청동 301-3번지 아모르빌딩 202호,"경상남도 김해시 삼문로 5, 아모르빌딩 2층 202호 (대청동)",한식,83.98,영업/정상,,35.1922300500 ,128.8012768000 
백채김치찌개 김해율하점,055-324-4327,39.22,경상남도 김해시 율하동 1323-3번지 미래빌딩 103호,"경상남도 김해시 율하1로 97, 미래빌딩 1층 103호 (율하동)",한식,39.22,영업/정상,,35.1738501400 ,128.8147860000 
다온,,29.44,경상남도 김해시 삼계동 1410-2 분성마을5단지푸르지오 주상가 106호 일부,"경상남도 김해시 가야로 17, 분성마을5단지푸르지오 주상가 106호 일부 1층 (삼계동)",기타,29.44,영업/정상,,35.2702943800 ,128.8623990000 
샤브쌈주머니(아이스퀘어몰),070-888-2805,404.61,경상남도 김해시 부원동 1043번지 부원역 푸르지오 아이스퀘어몰 A동 201호,"경상남도 김해시 김해대로 2342, 부원역 푸르지오 아이스퀘어몰 A동 2층 201호 (부원동)",한식,404.61,영업/정상,,35.2248522100 ,128.8839861000 
족과의동침,,47,경상남도 김해시 구산동 1067-4번지 1층,"경상남도 김해시 해반천로16번길 12-13, 1층 (구산동)",식육(숯불구이),47,영업/정상,,35.2497956300 ,128.8713348000 
땡기는족족,055-337-3010,64.54,경상남도 김해시 삼문동 88-4,"경상남도 김해시 번화1로123번길 3-7, 1층 (삼문동)",식육(숯불구이),64.54,영업/정상,,35.1977079900 ,128.7975860000 
장터국수선지국밥,,63.25,경상남도 김해시 부원동 832-11 1층,"경상남도 김해시 가락로63번길 1, 1층 (부원동)",분식,63.25,영업/정상,,35.2320092600 ,128.8815261000 
무궁화양분식,055-337-5157,31.68,경상남도 김해시 봉황동 10-16번지 1층,"경상남도 김해시 봉황대길 58-14, 1층 (봉황동)",분식,31.68,영업/정상,,35.2290198400 ,128.8798459000 
제주왕족보,055-313-8300,22,경상남도 김해시 삼계동 1155-9번지 동신아파트 상가 104동 103호,"경상남도 김해시 김해대로 1784-18, 동신아파트 상가 104동 103호 (삼계동)",기타,22,영업/정상,,35.2677257600 ,128.8610858000 
