위도,경도,name,cuisine,주메뉴,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.630153,127.8118741,안의원조갈비집,한식,갈비탕,,055-962-4333,2020-06-17,,강변로,317,안의면,,,
35.5292622,127.7313986,안의갈비탕,한식,"갈비탕, 갈비찜",,055-963-8700,2020-06-17,,함양로,1243,함양읍,,,
35.517497,127.726443,갑을식당,한식,"곱창전골, 불고기백반",,055-962-3540,2020-06-17,,함양로,1106,함양읍,,,
35.5185725,127.7252678,대웅,한식,"소고기 구이, 버섯전골",,055-963-7352,2020-06-17,,학사루3길,18-1,함양읍,,,
35.5440543,127.780135,쌈촌구이&샤브,한식,샤브샤브,경상남도 함양군 수동면 거함대로621,055-963-5536,2020-06-17,,,,수동면,,,
35.5212766,127.719791,수동메기메운탕,한식,"메기메운탕, 메기찜",,055-963-6674,2020-06-17,,서위천길,29,함양읍,,,
35.520049,127.7293025,상림숯불갈비,한식,돼지숯불구이,,055-964-2208,2020-06-17,,용평1길,9,함양읍,,,
35.5180499,127.7285595,샤브향함양점,한식,샤브샤브,,055-962-2283,2020-06-17,,중앙시장길,2-16,함양읍,,,
35.5195463,127.7286085,청정해역,횟집,"바다회, 물메기탕, 대구탕",,055-963-8120,2020-06-17,,용평길,12-4,함양읍,,,
35.4862584,127.6951036,청해수산,횟집,"바다회, 생대구탕",,055-962-4281,2020-06-17,,함양로,619-6,함양읍,,,
35.5210818,127.7279969,청학산,한식,한정식,,055-962-1707,2020-06-17,,함양로,1148,함양읍,,,
35.5241869,127.7239564,신화루,중국식,중화요리,,055-962-6996,2020-06-17,,필봉산길,65,함양읍,,,
35.5202291,127.7304078,노가면옥,한식,"돼지갈비, 냉면",,055-963-8277,2020-06-17,,용평길,31-3,함양읍,,,
35.5199229,127.7281177,1004 화로구이,한식,한우숯불갈비,경상남도 함양군 함양읍 용평길11-11,055-963-3844,2020-06-17,,,,함양읍,,,
35.5231739,127.7224549,바우석쇠,한식,"흑삼겹, 갈비",,055-964-6633,2020-06-17,,상림3길,6,함양읍,,,
35.5298857,127.7324948,연밭식육식당,한식,삼겹살,,055-964-6262,2020-06-17,,함양로,1257,함양읍,,,
35.6224546,127.7834896,늘봄가든,한식,오곡정식,,055-962-4945,2020-06-17,,육십령로,3102,안의면,,,
35.5201243,127.7287223,도야낙지,한식,"낙지전골, 낙지해물칼국수",,055-963-4450,2020-06-17,,용평1길,8-5,함양읍,,,
35.5223468,127.7202967,삼순이네 돌판아구찜 복어요리,한식,"아구찜.탕, 해물찜.탕, 복탕,복찜",,055-963-8149,2020-06-17,,동위천1길,5,함양읍,,,
35.5318854,127.7351248,닭이봉,한식,"닭갈비, 흑미삼계탕",,055-964-0622,2020-06-17,,뇌계길,6,함양읍,,,
35.5242863,127.7232846,함양산청축협한우프라자,한식,한우전문,,055-963-2607,2020-06-17,,필봉산길,63,함양읍,,,
35.680418,127.6883073,예다믄,한식,훈제스페셜정식,,055-964-3009,2020-06-17,,칠형정뒷길,6,서상면,,,
35.5189491,127.7280085,농월초계탕,한식,"초계막국수, 궁중한방오리",,055-963-2154,2020-06-17,,용평중앙길,11-2,함양읍,,,
35.6267542,127.8103044,해원복국,한식,"바다회, 복어요리",,055-964-8041,2020-06-17,,광풍로,107,안의면,,,
35.628374,127.811372,화림골,한식,오리고기,,055-962-0666,2020-06-17,,광풍로,127-2,안의면,,,
