amenity,shop,name,name:ko,addr:full,phone,brand,cuisine
restaurant,,부영,부영,광주광역시,062-522-2054,,
restaurant,,신흥,신흥,광주광역시 북구 경열로 212-1 (유동),062-523-9749,,
restaurant,,복래향,복래향,광주광역시 북구 경열로 186 (유동),062-521-9621,,
restaurant,,매일,매일,광주광역시 북구 천변우로283번길 14 (누문동),062-527-8949,,
restaurant,,영미,영미,광주광역시 북구 경양로 126 (유동),062-527-0248,,
restaurant,,동성,동성,광주광역시 북구 무등로 1562 (금곡동),062-261-0344,,
restaurant,,홍콩,홍콩,광주광역시 북구 동문대로186번길 8 (두암동),062-262-7660,,
restaurant,,범두정,범두정,광주광역시 북구 동문대로 72-1 (두암동),062-524-2472,,
restaurant,,명산송어,명산송어,광주광역시 북구 중흥로 104 (신안동),062-523-8585,,
restaurant,,금란정,금란정,광주광역시 북구 서방로107번길 5 (두암동),062-526-5410,,
restaurant,,한솔갈비,한솔갈비,광주광역시 북구 우치로 148-2 (용봉동),062-268-9660,,
restaurant,,육영식당,육영식당,광주광역시 북구 중흥로91번길 7 (신안동),062-523-9043,,
restaurant,,영일,영일,광주광역시 북구 경양로 128 (유동),062-525-4806,,
restaurant,,설중매,설중매,광주광역시 북구 배재길 74 (금곡동),062-266-4830,,
restaurant,,삼호반점,삼호반점,광주광역시,062-522-3180,,
restaurant,,해남옥,해남옥,광주광역시 북구 무등로 1550 (금곡동),062-523-6605,,
restaurant,,수진식당,수진식당,광주광역시 북구 설죽로214번길 90 (용봉동),062-521-1250,,
restaurant,,천하회관,천하회관,광주광역시 북구 서림로 105 (임동),062-521-7073,,
restaurant,,25년국밥,25년국밥,"광주광역시 북구 비엔날레로42번길 24 (운암동, 1층)",062-526-7511,,korean
restaurant,,송원산장,송원산장,광주광역시 북구 무등로 1550 (금곡동),062-262-6116,,
restaurant,,소망식당,소망식당,광주광역시 북구 용봉로 5 (용봉동),062-527-5668,,
restaurant,,보미,보미,광주광역시 북구 경열로233번길 23-3 (유동),062-523-1785,,
restaurant,,진미오리탕,진미오리탕,광주광역시 북구 중가로37번길 30-3 (유동),062-528-5253,,
restaurant,,조아회관,조아회관,광주광역시 북구 자산로 93 (신안동),062-528-0055,,
restaurant,,용전식당,용전식당,광주광역시,062-571-8071,,
restaurant,,천수반점,천수반점,광주광역시 북구 제봉로 295 (중흥동),062-529-0162,,
restaurant,,영광산장,영광산장,광주광역시 북구 무등로 1550 (금곡동),062-261-0317,,
restaurant,,나주곰탕,나주곰탕,광주광역시 북구 금남로 139 (북동),062-528-9676,,
restaurant,,광주해장국,광주해장국,광주광역시 북구 동문대로 238 (각화동),062-266-3719,,
restaurant,,신성,신성,광주광역시 북구 자미로 26 (신안동),062-524-4480,,
restaurant,,용현반점,용현반점,광주광역시 북구 금재로29번길 7 (유동),062-512-2560,,
restaurant,,무등국밥,무등국밥,광주광역시 북구 서하로 202-2 (오치동),062-265-6276,,korean
restaurant,,오리촌돈이네,오리촌돈이네,"광주광역시 북구 대자로106번길 1 (운암동,(1층))",062-526-3180,,
restaurant,,월산가든,월산가든,광주광역시 북구 석곡로 574 (망월동),062-266-2817,,
restaurant,,전통시장국밥,전통시장국밥,광주광역시 북구 서방로73번길 5 (우산동),062-267-6917,,korean
restaurant,,평화식당,평화식당,광주광역시 북구 중흥로83번길 18-9 (신안동),062-527-1518,,
restaurant,,무등골금호식당,무등골금호식당,광주광역시,062-526-3488,,
restaurant,,원조할머니두부집,원조할머니두부집,광주광역시 북구 송강로 385 (충효동),,,
restaurant,,죽향골,죽향골,광주광역시 북구 능안로 24 (문흥동),062-266-2007,,
restaurant,,국일관,국일관,광주광역시 북구 대자로 54 (운암동),062-528-3156,,
restaurant,,열린식당,열린식당,광주광역시 북구 중가로51번길 29-5 (유동),062-529-2818,,
restaurant,,천치식당,천치식당,광주광역시 북구 운신남길 124 (운암동),062-521-3640,,
restaurant,,포도원식당,포도원식당,광주광역시 북구 군왕로 272 (각화동),062-268-4465,,
restaurant,,송빈,송빈,광주광역시 북구 서방로 165 (두암동),062-262-3216,,
restaurant,,하이트타운,하이트타운,광주광역시 북구 호동로75번길 42 (문흥동),062-262-2744,,
restaurant,,죽림정,죽림정,광주광역시 북구 문산로92번길 28 (문흥동),062-269-0660,,
restaurant,,자연산횟집,자연산횟집,광주광역시 북구 면앙로121번길 92 (문흥동),062-264-6477,,
restaurant,,제일식당,제일식당,"광주광역시 북구 대자로 87, 1층 아-1,2호 (운암동)",062-523-0471,,
restaurant,,우리식육식당,우리식육식당,광주광역시 북구 향토문화로2번길 5 (중흥동),062-527-1635,,
