위도,경도,cuisine,name,소재지(도로명),주취급음식,phone,source:date,amenity
37.5426714,127.0646503,한식,(주)남원추어탕,서울특별시 광진구 동일로 114 (화양동),추어탕,+82 2 498 8649,2021-01-29,restaurant
37.5547181,127.08812,한식,(주)장군갈비,서울특별시 광진구 용마산로 11 (중곡2동),갈비탕,+82 2 457 3241,2021-01-29,restaurant
37.56468,127.0869436,한식,가마솥도가니탕 장수옥,서울특별시 광진구 용마산로 124 (중곡4동),갈비,+82 2 444 6888,2021-01-29,restaurant
37.5380016,127.0851621,한식,거보주,서울특별시 광진구 아차산로51길 24 (구의1동),"돼지갈비, 삼겹살",+82 2 456 2266,2021-01-29,restaurant
37.5456713,127.0759066,한식,건국갈비,서울특별시 광진구 광나루로22가길18(화양동),돼지갈비,+82 2 2201 0018,2021-01-29,restaurant
37.551573,127.1109741,한식,광장동 가온,"서울특별시 광진구 아차산로78길 75 (광장동, 현대골든텔 106호)",곰국수,+82 2 3436 7100,2021-01-29,restaurant
37.5466931,127.1024213,한식,남원율천추어탕,"서울특별시 광진구 아차산로73길 48, 지하1층(광장동)",,+82 2 549 3066,2021-01-29,restaurant
37.539935,127.0695705,한식,냉면전문점이대팔,"서울특별시 광진구 아차산로 238, 1층 (자양4동)",,+82 2 499 0458,2021-01-29,restaurant
37.5419929,127.0943562,한식,대가식당,서울특별시 광진구 광나루로 596 (구의3동),등심,+82 2 456 1944,2021-01-29,restaurant
37.5358089,127.0684009,한식,대갈집,서울특별시 광진구 능동로 49 (자양4동),갈비,+82 2 463 2702,2021-01-29,restaurant
37.5429115,127.0985331,한식,은행나무집,서울특별시 광진구 아차산로69길 20 (광장동),오리백숙,+82 2 457 7100,2021-01-29,restaurant
37.5349372,127.0957088,일식,동신참치,"서울특별시 광진구 광나루로56길 85, 9층동 36호호 (구의3동,테크노마트)",참치회,+82 2 3424 1338,2021-01-29,restaurant
37.5452127,127.0667517,한식,동해해물,서울특별시 광진구 동일로26길 16 (화양동),해물찜,+82 2 469 5843,2021-01-29,restaurant
37.5492754,127.0912249,한식,망향비빔국수,"서울특별시 광진구 천호대로 694 (구의2동,(1층))",비빔국수,+82 2 454 1357,2021-01-29,restaurant
37.5363506,127.0627208,한식,부림정,서울특별시 광진구 뚝섬로 476-7 (자양4동),갈비,+82 2 463 5455,2021-01-29,restaurant
37.5428518,127.0936838,일식,비조,서울특별시 광진구 광나루로 586 (구의3동),,+82 2 455 1345,2021-01-29,restaurant
37.5516078,127.0761909,뷔페식,빕스(VIPS) 어린이대공원점,"서울특별시 광진구 능동로 239, 2층 (군자동)",스테이크,+82 2 462 0997,2021-01-29,restaurant
37.5466931,127.1024213,한식,산울,"서울특별시 광진구 아차산로73길 48, 2층 201호(광장동)",곤드레정식,+82 2 453 2277,2021-01-29,restaurant
