위도,경도,name,cuisine,opening_hours,addr:full,지번주소,phone,,,dog,leisure,takeaway
34.54096045,126.6121998,해물밭에 노는 닭,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 고산로 291,전라남도 해남군 해남읍 연동리 432,061-533-5311,,,no,,yes
34.57769936,126.3079978,수정가든,korean,Mo-Su 11:00-18:00,전라남도 해남군 문내면 관광레저로 85-41,전라남도 해남군 문내면 학동리 1432-5,061-532-0540,,,no,,yes
34.51817531,126.6093211,정든집,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 고산로 549-5,전라남도 해남군 삼산면 평활리 954-9,061-530-1199,,,no,,no
34.52387787,126.594817,명성가든,korean,Mo-Su 10:00-21:00,전라남도 해남군 삼산면 고산로 546-7,전라남도 해남군 삼산면 평활리 954-9,061-532-3856,,,no,,no
34.50140031,126.6173521,송림가든,korean,Mo-Su 11:00-22:00,전라남도 해남군 삼산면 구림큰길 32-5,전라남도 해남군 삼산면 구림리 193-2,061-533-7330,,,no,,no
34.38467815,126.5685584,달마가든,korean,Mo-Su 08:00-21:00,전라남도 해남군 송지면 미황사길 88,전라남도 해남군 송지면 서정리 9-3,061-536-4961,,,yes,,yes
34.55135782,126.6093581,고수골가든,korean,Mo-Su 10:00-21:00,전라남도 해남군 해남읍 고산로 159-41,전라남도 해남군 해남읍 연동리 578-1,061-536-3525,,,no,,yes
34.55202271,126.6044224,고향가든,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 150,전라남도 해남군 해남읍 연동리 627-6,061-536-5030,,,no,,yes
34.54137318,126.6120296,돌고래가든,korean,Mo-Su 10:00-20:00,전라남도 해남군 해남읍 고산로 287,전라남도 해남군 해남읍 연동리 430-5,061-537-7100,,,no,,no
34.54122095,126.6121193,일미정,korean,Mo-Su 11:00-24:00,전라남도 해남군 해남읍 고산로 289,전라남도 해남군 해남읍 연동리 430-3,061-536-2727,,,no,,yes
34.54327655,126.61056,진솔가든,korean,,전라남도 해남군 해남읍 고산로 262,전라남도 해남군 해남읍 연동리 456-2,061-536-4643,,,no,,yes
34.55254371,126.6042612,호산정,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 140,전라남도 해남군 해남읍 연동리 627-2,061-534-8844,,,yes,,yes
34.54080131,126.6124748,장수통닭,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 고산로 295,전라남도 해남군 해남읍 연동리 433-6,061-536-4410,,,no,,yes
34.57060541,126.5992629,천일관,korean,,전라남도 해남군 해남읍 읍내길 20-8,전라남도 해남군 해남읍 읍내리 34-1,061-535-1001,,,yes,playground,yes
34.29833249,126.5286603,어부횟집,korean,Mo-Su 08:00-20:00,전라남도 해남군 송지면 땅끝마을길 70,전라남도 해남군 송지면 송호리 1127-3,061-535-4779,,,no,,yes
34.37028914,126.5206098,중앙식당,korean,Mo-Su 09:00-20:00,전라남도 해남군 송지면 산정1길 69-1,전라남도 해남군 송지면 산정리 754-8,061-533-2146,,,no,,no
34.45971518,126.5540028,현산,korean,Mo-Su 11:00-20:00,전라남도 해남군 현산면 현산북평로 87,전라남도 해남군 현산면 일평리 844-2,061-532-7540,,,no,,yes
34.5753994,126.5951938,명송횟집,korean,Mo-Su 11:00-22:00,전라남도 해남군 해남읍 북부순환로 155,전라남도 해남군 해남읍 구교리 322,061-534-1073,,,no,,yes
34.57219373,126.6002062,이심전심,korean,Mo-Su 5:00-23:00,전라남도 해남군 해남읍 수성4길 22,전라남도 해남군 해남읍 수성리 60-3,061-537-2727,,,no,,yes
34.57193586,126.6005157,만장일치,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 수성4길 21,전라남도 해남군 해남읍 수성길 60-3,061-533-0118,,,no,,yes
34.57131199,126.6003517,영일만,korean,Mo-Su 2:00-23:00,전라남도 해남군 해남읍 읍내길 39,전라남도 해남군 해남읍 읍내리 6-4,061-536-9588,,,no,,yes
34.57468288,126.5987369,선비골,korean,Mo-Su 15:00-24:00,전라남도 해남군 해남읍 군청길 31-1,전라남도 해남군 해남읍 수성리 188-13,061-534-2633,,,no,,yes
34.56912495,126.607755,하마식당,korean,Mo-Su 12:00-23:00,전라남도 해남군 해남읍 교육청길 16-8,전라남도 해남군 해남읍 해리 368-2,061-537-1963,,,no,,yes
34.56683996,126.6081635,어부밥상,korean,,전라남도 해남군 해남읍 교육청길 77,전라남도 해남군 해남읍 해리 688-8,061-535-2115,,,no,,no
34.5696114,126.606145,은혜식당,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 남부순환로 18-2,전라남도 해남군 해남읍 해리 355-5,061-532-8877,,,no,,yes
34.57354835,126.6012079,청솔복집,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 북부순환로 97,전라남도 해남군 해남읍 수성리 73,061-535-0186,,,no,,yes
34.56873127,126.6064321,유락횟집,korean,,전라남도 해남군 해남읍 남부순환로 25,전라남도 해남군 해남읍 해리 350-1,061-534-1449,,,no,,yes
34.57308751,126.6026869,이학식당,korean,Mo-Su 12:00-22:00,전라남도 해남군 해남읍 북부순환로 83,전라남도 해남군 해남읍 589-3,061-532-0203,,,no,,yes
34.29932484,126.52722,바다동산,korean,Mo-Su 9:00-21:00,전라남도 해남군 송지면 땅끝마을길 52,전라남도 해남군 송지면 송호리 1185,061-532-3004,,,no,,yes
34.29750816,126.528327,맴섬횟집,korean,Mo-Su 9:00-20:00,전라남도 해남군 송지면 땅끝마을길 60-18,전라남도 해남군 송지면 송호리 1138-1,061-533-3561,,,no,,yes
34.66719643,126.3281646,산호촌닭오리,korean,Mo-Su 10:00-22:00,전라남도 해남군 화원면 청용길 18,전라남도 해남군 화원면 청용리 481-30번지,,,,no,,yes
34.50528155,126.6114298,태양정,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 매정길 53,전라남도 해남군 삼산면 구림리 732,061-535-4751,,,yes,,yes
34.49523371,126.6172905,태웅,korean,Mo-Su 11:00-21:00,전라남도 해남군 삼산면 대흥사길 174-2,전라남도 해남군 삼산면 구림리 140-8,061-533-5848,,,no,,yes
34.49562941,126.6172078,논두렁쌈밥집,korean,Mo-Su 08:00-20:00,전라남도 해남군 삼산면 대흥사길 170-2,전라남도 해남군 삼산면 구림리 140-5,061-533-0346,,,no,,no
34.49676305,126.6170149,물레방아,korean,Mo-Su 10:00-20:00,전라남도 해남군 삼산면 대흥사길 158-3,전라남도 해남군 삼산면 구림리 141-6,061-536-3708,,,no,,no
34.49647464,126.6170196,별미쌈밥,korean,Mo-Su 11:00-21:00,전라남도 해남군 삼산면 대흥사길 158-6,전라남도 해남군 삼산면 구림리 141-6,061-535-2688,,,no,,no
34.49699776,126.6170437,한오백년,korean,Mo-Su 07:00-20:00,전라남도 해남군 삼산면 대흥사길 158,전라남도 해남군 삼산면 구림리 141-6,061-534-5633,,,no,,no
34.49692553,126.617034,보리향기,korean,Mo-Su 11:00-20:00,전라남도 해남군 삼산면 대흥사길 158-1,전라남도 해남군 삼산면 구림리 141-6,061-534-3376,,,no,,no
34.50927197,126.6103727,달동네보리밥,korean,Mo-Su 9:00-21:00,전라남도 해남군 삼산면 고산로 656,전라남도 해남군 삼산면 구림리 663,061-532-3667,,,yes,playground,yes
34.29864522,126.5276772,전라도한정식,korean,,전라남도 해남군 송지면 땅끝마을길 58,전라남도 해남군 송지면 송호리 1174,061-535-3814,,,no,,yes
34.58076597,126.5814147,진일관,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 명량로 3009,전라남도 해남군 해남읍 구교리 484,061-535-5500,,,no,,no
34.57403697,126.5935167,한성정,korean,Mo-Su 00:00-14:00,전라남도 해남군 해남읍 서림길 8,전라남도 해남군 해남읍 구교리 337-1,061-533-1060,,,no,,no
34.57401123,126.591283,땅끝기와집,korean,Mo-Su 11:00-21:00,전라남도 해남군 해남읍 법원길 33,전라남도 해남군 해남읍 남외리 446-5,061-534-2322,,,no,,no
34.57114315,126.599777,거빈식당,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 읍내길 26,전라남도 해남군 해남읍 읍내리 16-22,061-536-6655,,,no,,no
34.57769936,126.3079978,현대식당,korean,,전라남도 해남군 문내면 관광레저로 85-41,전라남도 해남군 문내면 학동리 1432-5,061-532-1344,,,yes,,yes
34.56541005,126.5966366,장성한우촌,korean,Mo-Su 9:00-21:00,전라남도 해남군 해남읍 남부순환로 140,전라남도 해남군 해남읍 고도리 475-7,061-535-9393,,,no,,yes
34.57570608,126.5975645,성내식당,korean,,전라남도 해남군 해남읍 명문길 19-1,전라남도 해남군 해남읍 수성리 200-4,061-533-4774,,,no,,yes
34.40553316,126.6280004,진미,korean,Mo-Su 9:00-20:00,전라남도 해남군 북평면 볼무당길 1,전라남도 해남군 북평면 남창리 312-2,061-533-0818,,,no,,yes
34.40920771,126.6244817,새오복식당,korean,Mo-Su 9:00-21:00,전라남도 해남군 북평면 현산북평로 1129-1,전라남도 해남군 북평면 남창리 841-1,061-535-3024,,,no,,no
34.57527137,126.6493928,송학정,korean,,전라남도 해남군 옥천면 송운길 7,전라남도 해남군 옥천면 영춘리 681-1,061-532-9245,,,no,,no
