위도,경도,name,addr:full,phone,cuisine,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.24268049,126.5672259,삼무뚝배기,,064-762-9096,구이. 조림. 뚝배기,2020-09-04,,칠십리로,119,,,,
33.24366854,126.5682254,동해미락,,064-733-5921,생선회. 구이. 조림,2020-09-04,,칠십리로,133,,,,
33.2402496,126.5620491,어판장,,064-763-1189,생선회. 구이. 조림,2020-09-04,,칠십리로,53,,,,
33.24327779,126.5678668,영빈횟집,,064-732-3488,생선회. 구이. 조림,2020-09-04,,칠십리로,129,,,,
33.24242261,126.5667036,해궁맛집,,064-732-5577,생선회. 구이. 조림. 뚝배기,2020-09-04,,칠십리로,115,,,,
33.24103451,126.561676,제주해풍,,064-763-1008,생선회,2020-09-04,,칠십리로,41,,,,
33.24084354,126.5617242,제주올레,,064-767-4422,생선회. 구이. 조림,2020-09-04,,칠십리로,45,,,,
33.24437791,126.5689429,맷돌뚝배기,,064-762-3368,구이. 조림. 뚝배기,2020-09-04,,칠십리로,145,,,,
33.24437791,126.5689429,정낭식당,,064-732-7590,구이. 조림. 뚝배기,2020-09-04,,칠십리로,145,,,,
33.24437791,126.5689429,연송갈치,,064-732-8828,생선회. 구이. 조림,2020-09-04,,칠십리로,145,,,,
33.24306761,126.5675759,서귀포괸당네갈치요리집,,064-732-3757,구이. 조림. 뚝배기,2020-09-04,,칠십리로,123,,,,
33.24437791,126.5689429,반딧불식당,,064-733-3677,생선회. 구이. 조림,2020-09-04,,칠십리로,145,,,,
33.24371596,126.5683796,새만부정,,064-733-7750,복요리,2020-09-04,,칠십리로,135,,,,
33.24306761,126.5675759,송화촌,,064-733-7102,구이. 조림. 뚝배기. 흑돼지,2020-09-04,,칠십리로,123,,,,
33.24309115,126.5670865,자구리국수,,064-762-6168,국수,2020-09-04,,소암로12번길,21,,,,
33.24179386,126.5663547,보물섬식당,,064-732-0009,생선회. 구이. 조림,2020-09-04,,칠십리로,105,,,,
33.24122589,126.5658554,식도향,,064-762-6056,구이. 조림. 뚝배기,2020-09-04,,칠십리로,99,,,,
33.23970942,126.5643307,호림식당,,064-732-8184,구이. 조림. 뚝배기,2020-09-04,,칠십리로,78,,,,
33.23992954,126.5643639,창훈이네(식당),,064-762-9595,구이. 조림. 뚝배기. 정식,2020-09-04,,칠십리로,77,,,,
33.23976513,126.5637596,금호식당,,064-732-7573,구이. 조림. 뚝배기. 정식,2020-09-04,,칠십리로,71,,,,
33.23996442,126.562999,선영횟집,,064-762-4666,생선회. 구이. 조림,2020-09-04,,칠십리로,61-1,,,,
33.24005013,126.5627582,양평해장국,,064-763-1400,구이. 조림. 뚝배기,2020-09-04,,칠십리로,61,,,,
33.24061586,126.5657039,부두회수산,,064-763-0018,생선회,2020-09-04,,칠십리로,94,,,,
33.24051082,126.5655757,제주할망뚝배기,,064-733-9934,구이. 조림. 뚝배기,2020-09-04,,칠십리로,92,,,,
33.24054121,126.5619017,촌수산횟집,,064-763-8800,생선회. 구이. 조림,2020-09-04,,칠십리로,49,,,,
33.24102618,126.5613585,나운터,,064-763-2237,생선회. 구이. 조림,2020-09-04,,칠십리로,42,,,,
33.24098583,126.5611656,항구음식점,,064-762-3565,생선회. 구이. 조림,2020-09-04,,칠십리로,40-4,,,,
33.24131753,126.5611381,서귀포회수산마트,,064-733-8280,생선회. 구이. 조림,2020-09-04,,칠십리로,38-1,,,,
33.24113538,126.5657571,땡큐베리,,064-732-0932,음료,2020-09-04,,칠십리로,97,,,,
