위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2518955,126.5649198,일반음식점,중섭식당,,제주특별자치도 서귀포시 서귀동 266번지 20호 1층 ,2018-02-23,,중앙로62번길,42,서귀동,,1,
33.2187678,126.2511222,일반음식점,부두식당,,제주특별자치도 서귀포시 대정읍 하모리 770번지 9호 ,2018-02-23,,하모항구로,62,대정읍,,,
33.4488954,126.9160167,일반음식점,동유암식당,,제주특별자치도 서귀포시 성산읍 고성리 315번지 3호 ,2018-02-23,,동류암로,44,성산읍,,,
33.2312204,126.2977433,일반음식점,사계우리음식점,,제주특별자치도 서귀포시 안덕면 사계리 2672번지 ,2018-02-23,,산방로,367,안덕면,,,
33.4698424,126.9301708,일반음식점,현대식당,,제주특별자치도 서귀포시 성산읍 성산리 360번지 2호 ,2018-02-23,,성산등용로,96,성산읍,,,
33.2514014,126.4246635,일반음식점,나루터,,제주특별자치도 서귀포시 중문동 2120번지 8호 ,2018-02-23,,천제연로188번길,6,중문동,,,
33.2197657,126.2474008,일반음식점,오일장반점,,제주특별자치도 서귀포시 대정읍 하모리 1089번지 33호 ,2018-02-23,,신영로36번길,37,대정읍,,,
33.2462099,126.5647606,일반음식점,새단골반점,,제주특별자치도 서귀포시 서귀동 534번지 3호 ,2018-02-23,,이중섭로,23-9,서귀동,,,
33.4697862,126.9299359,일반음식점,충남식당,,제주특별자치도 서귀포시 성산읍 성산리 360번지 7호 ,2018-02-23,,성산등용로,94-1,성산읍,,,
33.244758,126.5629324,일반음식점,와랑와랑본점,,제주특별자치도 서귀포시 서귀동 469번지 1호 ,2018-02-23,,태평로,399-1,서귀동,,,
33.2490409,126.5642036,일반음식점,버들집,,  ,2018-02-23,,중정로73번길,10-1,서귀동,,,
33.2517365,126.560833,일반음식점,들깨이야기,,제주특별자치도 서귀포시 서귀동 298번지 1호 ,2018-02-23,,중앙로79번길,4,서귀동,,,
33.2517365,126.560833,일반음식점,신나리해장국,,제주특별자치도 서귀포시 서귀동 298번지 1호 ,2018-02-23,,중앙로79번길,4,서귀동,,,
33.2490109,126.5680176,일반음식점,고가명가,,제주특별자치도 서귀포시 서귀동 251번지 15호 ,2018-02-23,,동홍로,6,서귀동,,,
33.2412059,126.5649068,일반음식점,향원복집,,제주특별자치도 서귀포시 서귀동 782번지 (1 2층) ,2018-02-23,,부두로,43,서귀동,,,
33.2212493,126.2522409,일반음식점,고사리키친,,제주특별자치도 서귀포시 대정읍 하모리 931번지 10호 ,2018-02-23,,하모중앙로,77,대정읍,,,
33.449356,126.915171,일반음식점,락(樂),,제주특별자치도 서귀포시 성산읍 고성리 298번지 14호 ,2018-02-23,,고성오조로,62-1,성산읍,,,
33.448636,126.9157338,일반음식점,삼수정식당,,제주특별자치도 서귀포시 성산읍 고성리 316번지 4호 ,2018-02-23,,동류암로,45,성산읍,,,
33.2484399,126.5633797,일반음식점,통나무집,,제주특별자치도 서귀포시 서귀동 274번지 2호 ,2018-02-23,,중앙로42번길,14,서귀동,,,
33.2314302,126.2971932,일반음식점,일성식당,,제주특별자치도 서귀포시 안덕면 사계리 2834번지 1호 ,2018-02-23,,산방로,372,안덕면,,,
33.2466258,126.5622837,일반음식점,서울감자탕,,제주특별자치도 서귀포시 서귀동 495번지 ,2018-02-23,,중앙로,22,서귀동,,,
33.2475149,126.5644785,일반음식점,절구통,,제주특별자치도 서귀포시 서귀동 416번지 9호 ,2018-02-23,,이중섭로,5,서귀동,,,
33.251408,126.5606468,일반음식점,대광장식당,,제주특별자치도 서귀포시 서귀동 297번지 1호 ,2018-02-23,,중앙로,79,서귀동,,,
33.2862573,126.4440737,일반음식점,1100고지휴게소,,제주특별자치도 서귀포시 색달동 산 1번지 3호 ,2018-02-23,,1100로,1555,색달동,,,
33.3411147,126.4804012,일반음식점,영실각휴게소,,제주특별자치도 서귀포시 하원동 산 1번지 1호 ,2018-02-23,,,,,,,
33.4492641,126.9155883,일반음식점,일출봉포차,,제주특별자치도 서귀포시 성산읍 고성리 298번지 7호 ,2018-02-23,,동류암로,50,성산읍,,,
33.2471538,126.5610014,일반음식점,하르방식당,,제주특별자치도 서귀포시 서귀동 831번지 9호 ,2018-02-23,,태평로353번길,18,서귀동,,,
33.2470334,126.5614326,일반음식점,상아식당,,제주특별자치도 서귀포시 서귀동 432번지 8호 ,2018-02-23,,중앙로,25-1,서귀동,,,
33.2466426,126.5591353,일반음식점,진주식당,,제주특별자치도 서귀포시 서귀동 314번지 7호 (1 2층) ,2018-02-23,,태평로,353,서귀동,,,
33.2240965,126.255073,일반음식점,자존심전문음식점,,제주특별자치도 서귀포시 대정읍 하모리 1549번지 ,2018-02-23,,상모대서로,1-3,대정읍,,,
33.2472792,126.3370588,일반음식점,명경식당,,제주특별자치도 서귀포시 안덕면 화순리 322번지 5호 외1필지 ,2018-02-23,,화순로,88,안덕면,,,
33.3252096,126.8323332,일반음식점,고향순대집,,제주특별자치도 서귀포시 표선면 표선리 688번지 1호 ,2018-02-23,,표선동서로,239,표선면,,,
33.2499784,126.5618501,일반음식점,수진돌솥밥,,제주특별자치도 서귀포시 서귀동 291번지 37호 ,2018-02-23,,중앙로62번길,4,서귀동,,,
33.2511825,126.5605673,일반음식점,용이식당,,제주특별자치도 서귀포시 서귀동 297번지 6호 ,2018-02-23,,중앙로79번길,9,서귀동,,1,
33.2493619,126.565927,일반음식점,명동갈비,,제주특별자치도 서귀포시 서귀동 257번지 5호 ,2018-02-23,,중앙로42번길,41,서귀동,,,
33.2492238,126.565603,일반음식점,자갈치아구찜,,제주특별자치도 서귀포시 서귀동 272번지 40호 ,2018-02-23,,중정로91번길,9,서귀동,,,
33.2499481,126.5626575,일반음식점,전주식당,,제주특별자치도 서귀포시 서귀동 291번지 11호 ,2018-02-23,,중정로61번길,23,서귀동,,,
33.2787568,126.394896,일반음식점,대유랜드,,제주특별자치도 서귀포시 상예동 144번지 ,2018-02-23,,상예로,381,상예동,,,
33.2494187,126.5652211,일반음식점,삼행식당,,제주특별자치도 서귀포시 서귀동 272번지 18호 ,2018-02-23,,중정로91번길,15,서귀동,,,
33.249569,126.5667681,일반음식점,고려반점,,제주특별자치도 서귀포시 서귀동 255번지 5호 ,2018-02-23,,동문로,57,서귀동,,,
33.2566484,126.5719377,일반음식점,김대감,,제주특별자치도 서귀포시 동홍동 114번지 1호 ,2018-02-23,,동홍중앙로,67,동홍동,,,
33.2782088,126.7198656,일반음식점,서울감자탕2호점,,제주특별자치도 서귀포시 남원읍 남원리 92번지 2호 ,2018-02-23,,남태해안로,137,남원읍,,,
33.220577,126.2513672,일반음식점,해녀식당,,제주특별자치도 서귀포시 대정읍 하모리 1050번지 ,2018-02-23,,,,,,,
33.4477468,126.9153986,일반음식점,사계절분식점,,제주특별자치도 서귀포시 성산읍 고성리 323번지 6호 ,2018-02-23,,동류암로39번길,15,성산읍,,,
33.2467448,126.3349241,일반음식점,중앙식당,,제주특별자치도 서귀포시 안덕면 화순리 1077번지 1호 ,2018-02-23,,화순로,108,안덕면,,,
33.416346,126.889907,일반음식점,유성식당,,제주특별자치도 서귀포시 성산읍 신산리 1036번지 5호 ,2018-02-23,,일주동로,5103,성산읍,,,
33.3267746,126.8337451,일반음식점,표선얼큰이와피자디노,,제주특별자치도 서귀포시 표선면 표선리 611번지 1호 ,2018-02-23,,표선동서로,262,표선면,,,
33.4626171,126.9330349,일반음식점,한라식당,,제주특별자치도 서귀포시 성산읍 성산리 174번지 3호 ,2018-02-23,,성산중앙로,32,성산읍,,,
33.2260103,126.2536491,일반음식점,영성식당,,제주특별자치도 서귀포시 대정읍 하모리 1407번지 15호 1층 ,2018-02-23,,동일하모로,209,대정읍,,1,
33.2485142,126.5637272,일반음식점,광명식당,,제주특별자치도 서귀포시 서귀동 274번지 ,2018-02-23,,,,,,,
33.2495641,126.5606454,일반음식점,삼겹살땡기는날,,제주특별자치도 서귀포시 서귀동 309번지 17호 ,2018-02-23,,천지로,21,서귀동,,,
33.2566472,126.5690027,일반음식점,산마루,,제주특별자치도 서귀포시 동홍동 508번지 8호 ,2018-02-23,,동홍로90번길,7-1,동홍동,,,
33.2783152,126.7187295,일반음식점,짜장마을,,제주특별자치도 서귀포시 남원읍 남원리 111번지 ,2018-02-23,,태위로,672-7,남원읍,,,
33.2343234,126.3092941,일반음식점,국수명가,,제주특별자치도 서귀포시 안덕면 사계리 142번지 1호 ,2018-02-23,,사계남로216번길,47,안덕면,,,
33.3531055,126.7715294,일반음식점,가시식당,,제주특별자치도 서귀포시 표선면 가시리 1898번지 5호 ,2018-02-23,,가시로565번길,22,표선면,,,
33.3264263,126.8322772,일반음식점,마돈나,,제주특별자치도 서귀포시 표선면 표선리 699번지 ,2018-02-23,,표선중앙로,76,표선면,,,
33.2475912,126.4125373,일반음식점,한국콘도한식당,,제주특별자치도 서귀포시 색달동 2822번지 5호 ,2018-02-23,,중문관광로72번길,29-29,색달동,,,
33.2503977,126.5641138,일반음식점,서울족탕1호점,,제주특별자치도 서귀포시 서귀동 270번지 1호 ,2018-02-23,,중정로91번길,30,서귀동,,,
33.2472687,126.5632196,일반음식점,새향원분식,,제주특별자치도 서귀포시 서귀동 420번지 8호 ,2018-02-23,,중정로62번길,7,서귀동,,,
33.2499537,126.2771027,일반음식점,보성식당,,제주특별자치도 서귀포시 대정읍 보성리 1729번지 ,2018-02-23,,추사로,56,대정읍,,,
33.2283602,126.3076807,일반음식점,진미명가식당,,제주특별자치도 서귀포시 안덕면 사계리 2072번지 ,2018-02-23,,사계남로,167,안덕면,,,
33.2496715,126.2777531,일반음식점,진성식당,,제주특별자치도 서귀포시 대정읍 인성리 728번지 5호 ,2018-02-23,,추사로,47,대정읍,,,
33.3291472,126.7983209,일반음식점,광동식당,,제주특별자치도 서귀포시 표선면 세화리 1152번지 4호 ,2018-02-23,,세성로,272,표선면,,,
33.2538565,126.5551859,일반음식점,성덕식당,,제주특별자치도 서귀포시 서홍동 1233번지 1호 ,2018-02-23,,솜반천로,56,서홍동,,,
33.2594797,126.5118342,일반음식점,삼강식당,,제주특별자치도 서귀포시 서호동 1148번지 13호 ,2018-02-23,,신서로102번길,53,서호동,,,
33.2609563,126.6139184,일반음식점,조아토종닭음식점,,제주특별자치도 서귀포시 신효동 887번지 1호 ,2018-02-23,,신효로,4,신효동,,,
33.2470699,126.5623215,일반음식점,장원닭갈비,,제주특별자치도 서귀포시 서귀동 428번지 ,2018-02-23,,명동로,1-1,서귀동,,,
33.2514652,126.4237964,일반음식점,삼강식당중문점,,제주특별자치도 서귀포시 중문동 2133번지 1호 ,2018-02-23,,천제연로178번길,3,중문동,,,
33.240983,126.5641894,일반음식점,익산식당,,제주특별자치도 서귀포시 서귀동 778번지 1호 ,2018-02-23,,칠십리로91번길,14,서귀동,,,
33.2523531,126.4223587,일반음식점,해송수산물회센타중문점,,제주특별자치도 서귀포시 중문동 2113번지 3호 ,2018-02-23,,천제연로,163,중문동,,,
