업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
제과점영업,오뚜기제과점,제주특별자치도 서귀포시 남원읍 태위로 129,제주특별자치도 서귀포시 남원읍 위미리 2850번지 ,33.2750705,126.6612576,2018-02-23
제과점영업,동문당,제주특별자치도 서귀포시 중정로 103 (서귀동),제주특별자치도 서귀포시 서귀동 256번지 38호 ,33.2487665,126.567381,2018-02-23
제과점영업,정옥빵집,제주특별자치도 서귀포시 중앙로48번길 18 (서귀동),제주특별자치도 서귀포시 서귀동 275번지 1호 ,33.2491685,126.5635416,2018-02-23
제과점영업,동명찐빵,제주특별자치도 서귀포시 중앙로150번길 29-1 (동홍동),제주특별자치도 서귀포시 동홍동 1381번지 3호 ,33.2600441,126.561786,2018-02-23
제과점영업,서귀포칼호텔제과점,제주특별자치도 서귀포시 칠십리로 242 (토평동),제주특별자치도 서귀포시 토평동 486번지 3호 ,33.2460024,126.5810125,2018-02-23
제과점영업,하얏트리젠시제주과자점,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동),제주특별자치도 서귀포시 색달동 3039번지 1호 ,33.2455761,126.4055533,2018-02-23
제과점영업,온누리,제주특별자치도 서귀포시 대정읍 신영로 117-1,제주특별자치도 서귀포시 대정읍 하모리 852번지 4호 ,33.2224539,126.2543751,2018-02-23
제과점영업,빙그레제과점,제주특별자치도 서귀포시 대정읍 하모리 824번지 ,제주특별자치도 서귀포시 대정읍 하모리 824번지 ,33.2213484,126.2546813,2018-02-23
제과점영업,신세계제과,제주특별자치도 서귀포시 대정읍 하모상가로 51,제주특별자치도 서귀포시 대정읍 하모리 849번지 21호 ,33.2221335,126.2541541,2018-02-23
제과점영업,패스트리부티크,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),제주특별자치도 서귀포시 색달동 3039번지 3호 ,33.2475582,126.4081161,2018-02-23
제과점영업,한아름,제주특별자치도 서귀포시 표선면 표선중앙로 80,제주특별자치도 서귀포시 표선면 표선리 698번지 1호 ,33.3262102,126.8325057,2018-02-23
제과점영업,뉴궁전제과,제주특별자치도 서귀포시 김정문화로 57 (서호동),제주특별자치도 서귀포시 서호동 1476번지 5호 ,33.2511482,126.5109453,2018-02-23
제과점영업,파리바게뜨 중문점,제주특별자치도 서귀포시 천제연로 186 (중문동),제주특별자치도 서귀포시 중문동 2120번지 1호 ,33.2515893,126.424481,2018-02-23
