위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.2216083,126.2523872,휴게음식점,중앙다방,제주특별자치도 서귀포시 대정읍 하모상가로 31,제주특별자치도 서귀포시 대정읍 하모리 930번지 5호 ,2018-02-23
33.2487665,126.567381,휴게음식점,돌다방,제주특별자치도 서귀포시 동문로 70 (서귀동),제주특별자치도 서귀포시 서귀동 256번지 38호 ,2018-02-23
33.2494187,126.5652211,휴게음식점,우성다방,제주특별자치도 서귀포시 중정로91번길 15 2층 (서귀동),제주특별자치도 서귀포시 서귀동 272번지 18호 ,2018-02-23
33.2202096,126.2518422,휴게음식점,수궁다방,제주특별자치도 서귀포시 대정읍 하모항구로 78,제주특별자치도 서귀포시 대정읍 하모리 938번지 17호 ,2018-02-23
33.2492416,126.5666726,휴게음식점,해당화다방,제주특별자치도 서귀포시 동문로 60 2층 (서귀동),제주특별자치도 서귀포시 서귀동 256번지 25호 ,2018-02-23
33.244278,126.5641506,휴게음식점,보물섬다방,제주특별자치도 서귀포시 솔동산로 6-1 (서귀동),제주특별자치도 서귀포시 서귀동 584번지 3호 ,2018-02-23
33.2482665,126.5642924,휴게음식점,에덴분식,제주특별자치도 서귀포시 중정로73번길 2 (서귀동),제주특별자치도 서귀포시 서귀동 273번지 8호 ,2018-02-23
33.2485788,126.5642465,휴게음식점,새로나식당,제주특별자치도 서귀포시 중앙로42번길 24 (서귀동),제주특별자치도 서귀포시 서귀동 273번지 5호 ,2018-02-23
33.2468486,126.3356721,휴게음식점,화신다방,제주특별자치도 서귀포시 안덕면 화순로 100-1,제주특별자치도 서귀포시 안덕면 화순리 336번지 ,2018-02-23
33.2486781,126.5666013,휴게음식점,동미다방,제주특별자치도 서귀포시 중정로 95-2 (서귀동),제주특별자치도 서귀포시 서귀동 256번지 11호 ,2018-02-23
33.3258943,126.8336204,휴게음식점,표선다방,제주특별자치도 서귀포시 표선면 표선중앙로 89,제주특별자치도 서귀포시 표선면 표선리 624번지 2호 ,2018-02-23
33.2476176,126.5628319,휴게음식점,김밥천국서귀포점,제주특별자치도 서귀포시 중정로 60 (서귀동),제주특별자치도 서귀포시 서귀동 423번지 4호 ,2018-02-23
33.3264263,126.8322772,휴게음식점,곰다방,제주특별자치도 서귀포시 표선면 표선중앙로 76,제주특별자치도 서귀포시 표선면 표선리 699번지 ,2018-02-23
33.249075,126.5651269,휴게음식점,뽕뽕식당,제주특별자치도 서귀포시 중앙로42번길 33 1층 (서귀동),제주특별자치도 서귀포시 서귀동 272번지 17호 ,2018-02-23
33.2216269,126.2511458,휴게음식점,은성,제주특별자치도 서귀포시 대정읍 하모상가로 21,제주특별자치도 서귀포시 대정읍 하모리 1029번지 1호 ,2018-02-23
33.2795061,126.7201097,휴게음식점,귀빈다방,제주특별자치도 서귀포시 남원읍 태위로 689,제주특별자치도 서귀포시 남원읍 남원리 100번지 1호 ,2018-02-23
33.4490938,126.9151914,휴게음식점,약속다방,제주특별자치도 서귀포시 성산읍 동류암로 51-1,제주특별자치도 서귀포시 성산읍 고성리 317번지 7호 ,2018-02-23
33.2498991,126.4082883,휴게음식점,호텔하나다방,제주특별자치도 서귀포시 중문관광로72번길 53 (색달동),제주특별자치도 서귀포시 색달동 2812번지 2호 ,2018-02-23
33.25035,126.5625661,휴게음식점,외인다방,제주특별자치도 서귀포시 중앙로62번길 11 (서귀동),제주특별자치도 서귀포시 서귀동 289번지 23호 ,2018-02-23
33.25004,126.5617997,휴게음식점,동산다방,제주특별자치도 서귀포시 중앙로62번길 2 (서귀동),제주특별자치도 서귀포시 서귀동 291번지 52호 ,2018-02-23
33.2586063,126.5620424,휴게음식점,서귀고교구내매점,제주특별자치도 서귀포시 중앙로150번길 4-1 (동홍동),제주특별자치도 서귀포시 동홍동 1460번지 ,2018-02-23
33.2498304,126.5656661,휴게음식점,금호다방,제주특별자치도 서귀포시 동문로 48 (서귀동),제주특별자치도 서귀포시 서귀동 257번지 7호 ,2018-02-23
33.2486729,126.5627846,휴게음식점,롯데리아서귀포점,제주특별자치도 서귀포시 중정로61번길 9 (서귀동),제주특별자치도 서귀포시 서귀동 292번지 15호 ,2018-02-23
33.2511819,126.508187,휴게음식점,중앙도서관구내식당,제주특별자치도 서귀포시 김정문화로 32 (강정동),제주특별자치도 서귀포시 강정동 176번지 ,2018-02-23
33.2493619,126.565927,휴게음식점,뱅크다방,제주특별자치도 서귀포시 중앙로42번길 41 (서귀동),제주특별자치도 서귀포시 서귀동 257번지 5호 ,2018-02-23
33.2586063,126.5620424,휴게음식점,서귀포학생문화원구내식당,제주특별자치도 서귀포시 중앙로150번길 4-1 (동홍동),제주특별자치도 서귀포시 동홍동 1460번지 7호 ,2018-02-23
33.2479639,126.5644025,휴게음식점,서귀먹보김밥천국,제주특별자치도 서귀포시 이중섭로 1 (서귀동),제주특별자치도 서귀포시 서귀동 406번지 15호 ,2018-02-23
33.2476176,126.5628319,휴게음식점,베스킨라빈스,제주특별자치도 서귀포시 중정로 60 (서귀동),제주특별자치도 서귀포시 서귀동 423번지 4호 ,2018-02-23
33.2429044,126.4204352,휴게음식점,씨에스호텔시젠,제주특별자치도 서귀포시 중문관광로 198 (중문동),제주특별자치도 서귀포시 중문동 2563번지 1호 ,2018-02-23
33.2490074,126.5675574,휴게음식점,아름이네분식,제주특별자치도 서귀포시 동문로 69 (서귀동),제주특별자치도 서귀포시 서귀동 255번지 10호 ,2018-02-23
33.2480405,126.5620524,휴게음식점,백록다방,제주특별자치도 서귀포시 중앙로 38 (서귀동),제주특별자치도 서귀포시 서귀동 293번지 5호 ,2018-02-23
33.4472813,126.914758,휴게음식점,공주다방,제주특별자치도 서귀포시 성산읍 일출로 18,제주특별자치도 서귀포시 성산읍 고성리 1116번지 10호 ,2018-02-23
33.2501459,126.5672963,휴게음식점,짱구분식,제주특별자치도 서귀포시 중동로48번길 3 (서귀동),제주특별자치도 서귀포시 서귀동 254번지 2호 ,2018-02-23
33.3223451,126.8414874,휴게음식점,민속촌편의점,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40번지 1호 ,2018-02-23
33.2795235,126.7199645,휴게음식점,제원다방,제주특별자치도 서귀포시 남원읍 태위로 687,제주특별자치도 서귀포시 남원읍 남원리 100번지 2호 ,2018-02-23
33.3265182,126.8331331,휴게음식점,향찻집,제주특별자치도 서귀포시 표선면 표선동서로 255,제주특별자치도 서귀포시 표선면 표선리 598번지 3호 ,2018-02-23
33.2533972,126.5593495,휴게음식점,러브파이,제주특별자치도 서귀포시 중앙로101번길 13-2 (서홍동),제주특별자치도 서귀포시 서홍동 441번지 37호 ,2018-02-23
33.2537273,126.5614624,휴게음식점,난타5000서귀포시청점,제주특별자치도 서귀포시 중앙로 102 (동홍동),제주특별자치도 서귀포시 동홍동 1546번지 1호 ,2018-02-23
33.2508239,126.5640907,휴게음식점,금잔듸다방,제주특별자치도 서귀포시 동문로 30 (서귀동),제주특별자치도 서귀포시 서귀동 279번지 14호 ,2018-02-23
33.2480965,126.560575,휴게음식점,여정다방,제주특별자치도 서귀포시 중앙로 41 (서귀동),제주특별자치도 서귀포시 서귀동 294번지 24호 ,2018-02-23
33.2507131,126.5630881,휴게음식점,피서지다방,제주특별자치도 서귀포시 중정로91번길 39 (서귀동),제주특별자치도 서귀포시 서귀동 278번지 8호 ,2018-02-23
33.248144,126.5677388,휴게음식점,귀빈다방,제주특별자치도 서귀포시 정방로 6 (서귀동),제주특별자치도 서귀포시 서귀동 210번지 ,2018-02-23
33.2207101,126.253394,휴게음식점,이반다방,제주특별자치도 서귀포시 대정읍 신영로 98,제주특별자치도 서귀포시 대정읍 하모리 841번지 6호 ,2018-02-23
