위도,경도,name,addr:full,phone,amenity,dispensing
35.69111253,127.9149847,정다운약국,경상남도 거창군 거창읍 거열로 199,055-942-5936,pharmacy,yes
35.68290096,127.9117634,세종약국,경상남도 거창군 거창읍 수남로 2287,055-943-8511,pharmacy,yes
35.68099614,127.905595,푸른약국,경상남도 거창군 거창읍 강남로1길 94-90 1층,055-942-1300,pharmacy,yes
35.68617018,127.9161014,수약국,경상남도 거창군 거창읍 강변로 177 2층 203호,055-942-9872,pharmacy,yes
35.69043468,127.9151905,선보약국,경상남도 거창군 거창읍 거창대로 100 101호,055-945-3252,pharmacy,yes
35.68154192,127.898525,송정약국,경상남도 거창군 거창읍 송정1길 24-6,055-943-6137,pharmacy,yes
35.68817436,127.9162207,종합약국,경상남도 거창군 거창읍 중앙로 163-6 1층,055-944-1114,pharmacy,yes
35.68557666,127.9082467,중앙약국,경상남도 거창군 거창읍 상동2길 2,055-944-2143,pharmacy,yes
35.68690574,127.9129389,솔약국,경상남도 거창군 거창읍 중앙로 134,055-942-9238,pharmacy,yes
35.68729668,127.9156347,기쁨약국,경상남도 거창군 거창읍 거창대로 65,055-941-2334,pharmacy,yes
35.68747775,127.9162376,조은약국,경상남도 거창군 거창읍 거창대로2길 5,055-941-0603,pharmacy,yes
35.68653886,127.9159864,태평양약국,경상남도 거창군 거창읍 거창대로 55,055-941-2239,pharmacy,yes
35.68681941,127.9164607,최약국,경상남도 거창군 거창읍 거창대로 58,055-944-0388,pharmacy,yes
35.68860577,127.9065091,신일약국,경상남도 거창군 거창읍 거열로 116 2층,055-945-4866,pharmacy,yes
35.68694419,127.9159326,행복한약국,경상남도 거창군 거창읍 거창대로 61,055-943-1155,pharmacy,yes
35.68862764,127.9157531,한들약국,경상남도 거창군 거창읍 거창대로 78-1,055-945-2995,pharmacy,yes
35.68671942,127.9160165,박약국,경상남도 거창군 거창읍 거창대로 57,055-945-3653,pharmacy,yes
35.68639967,127.9167601,백두산약국,경상남도 거창군 거창읍 거창대로 52,055-941-1040,pharmacy,yes
35.68553628,127.9080686,상동약국,경상남도 거창군 거창읍 상동2길 1,055-943-0008,pharmacy,yes
35.68851204,127.9158794,건강한약국,경상남도 거창군 거창읍 거창대로 78 1층,055-942-4939,pharmacy,yes
35.68710775,127.912696,배약국,경상남도 거창군 거창읍 중앙로 131-2,055-944-2676,pharmacy,yes
35.69019134,127.9147046,메디팜하나로약국,경상남도 거창군 거창읍 거창대로 97,055-943-2331,pharmacy,yes
35.68797125,127.9154469,수승대약국,경상남도 거창군 거창읍 거창대로 71-1,055-944-5605,pharmacy,yes
35.68780354,127.9152801,대동약국,경상남도 거창군 거창읍 중앙로 157,055-943-9070,pharmacy,yes
35.70952643,128.0156788,덕성약국,경상남도 거창군 가조면 지산로 1487,055-942-0033,pharmacy,yes
35.68819903,127.9202653,성호당약국,경상남도 거창군 거창읍 창동로 123,055-943-5658,pharmacy,yes
35.68554192,127.9091714,대성약국,경상남도 거창군 거창읍 중앙로 96,055-942-9666,pharmacy,yes
35.6874212,127.9154498,진명약국,경상남도 거창군 거창읍 중앙로 158-1,055-944-8760,pharmacy,yes
35.6871181,127.9159016,서부약국,경상남도 거창군 거창읍 시장길 98,055-944-6753,pharmacy,yes
35.68566226,127.9193141,거창약국,경상남도 거창군 거창읍 강남로 204,055-944-7772,pharmacy,yes
35.68598934,127.9131197,국민약국,경상남도 거창군 거창읍 시장길 44,055-944-2303,pharmacy,yes
35.68529322,127.9186513,시민약국,경상남도 거창군 거창읍 강남로 196,055-944-3141,pharmacy,yes
35.68594923,127.9130015,동산약국,경상남도 거창군 거창읍 시장길 40-1,055-944-2642,pharmacy,yes
35.68732843,127.916804,가람약국,경상남도 거창군 거창읍 거창대로1길 7-2,055-945-3651,pharmacy,yes
35.68129,127.89878,가까운약국,경상남도 거창군 거창읍 송정1길 24-20,055-942-3690,pharmacy,yes
