위도,경도,amenity,name,addr:full,phone,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.60894036,127.029052,pharmacy,호수온누리약국,,+82 2 988 8979,공공데이터포털,2019-06-24,,동소문로47길,12,길음동,,1,
37.61040424,127.0569046,pharmacy,돌곶이온누리약국,,+82 2 967 5555,공공데이터포털,2019-06-24,,화랑로,248,석관동,,,102-1
37.60101417,127.0331664,pharmacy,홀리데이약국,,+82 2 927 0242,공공데이터포털,2019-06-24,,종암로,123,,,,
37.59373053,127.0159792,pharmacy,하얀약국,,+82 2 921 9131,공공데이터포털,2019-06-24,,아리랑로,9,,,2,202
37.60475389,127.0230392,pharmacy,콩약국,,+82 2 913 3020,공공데이터포털,2019-06-24,,길음로,20,길음동,,3,315
37.58650918,127.0294735,pharmacy,소원약국,,+82 2 3291 1905,공공데이터포털,2019-06-24,,개운사길,2,,,1,
37.59415547,127.0182168,pharmacy,새성신약국,,+82 2 921 9971,공공데이터포털,2019-06-24,,동소문로,125,,,1,101
37.59423501,127.0165047,pharmacy,더사랑약국,,+82 2 921 1246,공공데이터포털,2019-06-24,,아리랑로,16,,,1,104
37.5925735,127.0170886,pharmacy,육층약국,,+82 2 927 6265,공공데이터포털,2019-06-24,,동소문로,106,,,6,
37.60269641,127.0209503,pharmacy,길음시장약국,,+82 70 4402 4565,공공데이터포털,2019-06-24,,길음로9길,50,,,,
37.58910393,127.0066168,pharmacy,나바론약국,,+82 2 762 6300,공공데이터포털,2019-06-24,,동소문로3길,4,,,1,
37.60737578,127.0101247,pharmacy,정릉아름드리약국,,,공공데이터포털,2019-06-24,,보국문로,33,정릉동,,1,106
37.5944185,127.0185882,pharmacy,유민약국,,+82 2 929 8937,공공데이터포털,2019-06-24,,동소문로,127-2,,,1,
37.60504961,127.022011,pharmacy,아름다운약국,,+82 2 912 5148,공공데이터포털,2019-06-24,,길음로,33,,상가B,,"17,18,19"
37.60346697,127.0245563,pharmacy,삼층약국,,+82 2 915 0022,공공데이터포털,2019-06-24,,동소문로,248,,,,314-1
37.5859924,127.018731,pharmacy,보문약국,,+82 2 921 3844,공공데이터포털,2019-06-24,,보문로,123,,,1,
37.60264852,127.0392054,pharmacy,월곡보건약국,,+82 2 909 8144,공공데이터포털,2019-06-24,,화랑로,61,하월곡동,,1,
37.59816326,127.0337585,pharmacy,열린약국,,+82 2 921 9233,공공데이터포털,2019-06-24,,종암로19길,17,종암동,,1,
37.61381947,127.0429806,pharmacy,새롬약국,,+82 2 915 0690,공공데이터포털,2019-06-24,,장위로,58,장위동,,1,
37.59889042,127.0220907,pharmacy,삼성약국,,+82 2 929 3069,공공데이터포털,2019-06-24,,동소문로,190,,,,
