위도,경도,amenity,name,addr:full,phone,source,source:date
37.52245151,126.6634026,pharmacy,가정약국,"인천광역시 서구 새오개로111번안길 19-1, 107호 (신현동)",032-246-4627,공공데이터포털,2020-08-28
37.5323839,126.6470464,pharmacy,송송약국,"인천광역시 서구 청라커낼로260번길 27, 130호 (청라동, 청라한신더휴커낼웨이)",032-266-5200,공공데이터포털,2020-08-28
37.52208025,126.6648346,pharmacy,연세드림약국,"인천광역시 서구 새오개로111번안길 32, 102호 (신현동)",032-572-9003,공공데이터포털,2020-08-28
37.51848254,126.6726021,pharmacy,사(4)층약국,"인천광역시 서구 가정로 375, 409호 일부, 410호 (신현동, 금강아미움)",032-573-4995,공공데이터포털,2020-08-28
37.53388963,126.650289,pharmacy,블루팜약국,"인천광역시 서구 중봉대로 610, 105호 (청라동)",032-263-5116,공공데이터포털,2020-08-28
37.54172212,126.6840832,pharmacy,가까운약국,"인천광역시 서구 심곡로100번길 30 (심곡동, 서일빌딩)",032-566-0998,공공데이터포털,2020-08-28
37.52647816,126.6697114,pharmacy,루원시티약국,"인천광역시 서구 염곡로 468, 106호 (가정동, 드림타워)",032-564-8575,공공데이터포털,2020-08-28
37.53212602,126.6568263,pharmacy,옵티마강남약국,"인천광역시 서구 청라에메랄드로 84, 106호 (청라동, 딜라이트타워2)",032-865-2222,공공데이터포털,2020-08-28
37.52638571,126.6711046,pharmacy,루원진약국,"인천광역시 서구 염곡로464번길 15, 106호 (가정동)",032-569-4880,공공데이터포털,2020-08-28
37.53212602,126.6568263,pharmacy,신신약국,"인천광역시 서구 청라에메랄드로 78, 106호 (청라동, 딜라이트타워)",032-565-0416,공공데이터포털,2020-08-28
37.53233836,126.6556911,pharmacy,청라큰사랑약국,"인천광역시 서구 청라에메랄드로 79, B12~B13호 (청라동)",032-568-7729,공공데이터포털,2020-08-28
37.53386257,126.6455601,pharmacy,청라천사약국,"인천광역시 서구 청라커낼로288번길 10, 112호 (청라동, 더스페이스타워)",032-572-8887,공공데이터포털,2020-08-28
37.49456871,126.6814046,pharmacy,가좌한마음약국,"인천광역시 서구 원적로 85, 210호 (가좌동, 우신프라자)",032-571-7582,공공데이터포털,2020-08-28
37.53208948,126.6457279,pharmacy,두리약국,"인천광역시 서구 청라커낼로260번길 11, 105호 일부, 106호 (청라동, 진성프라자)",,공공데이터포털,2020-08-28
37.52242283,126.6648511,pharmacy,새오개약국,"인천광역시 서구 새오개로111번안길 31, 101호 (신현동)",032-571-5553,공공데이터포털,2020-08-28
37.54409033,126.6750794,pharmacy,새봄약국,"인천광역시 서구 탁옥로 49, 404호 (심곡동, 제스트프라자)",032-562-6610,공공데이터포털,2020-08-28
37.49501687,126.6828103,pharmacy,서광약국,"인천광역시 서구 원적로 100, 101~102호 (가좌동, 가좌로얄프라자)",032-572-6635,공공데이터포털,2020-08-28
37.49278194,126.6860157,pharmacy,해봄약국,"인천광역시 서구 장고개로337번길 7, 103호 (가좌동)",032-571-3857,공공데이터포털,2020-08-28
37.49526897,126.6844116,pharmacy,딸기약국,"인천광역시 서구 건지로 402, 402동 105호 (가좌동, 가좌한신휴플러스)",032-573-5670,공공데이터포털,2020-08-28
37.60260123,126.65743,pharmacy,메디피아약국,"인천광역시 서구 완정로 172, 109호 (마전동)",032-562-0258,공공데이터포털,2020-08-28
37.53209493,126.6509323,pharmacy,금빛약국,"인천광역시 서구 중봉대로586번길 9-4, 113호 (청라동, 쓰리엠타워)",032-565-0531,공공데이터포털,2020-08-28
37.56363436,126.6735565,pharmacy,큰사랑약국,"인천광역시 서구 승학로 470, 108호 (검암동)",032-565-7996,공공데이터포털,2020-08-28
37.51633814,126.6758186,pharmacy,더사랑약국,"인천광역시 서구 가경주로40번길 20-10, 1호 (가정동)",070-4388-5131,공공데이터포털,2020-08-28
37.49314401,126.6853535,pharmacy,일화약국,"인천광역시 서구 장고개로337번길 16, 408호 (가좌동, 가좌한신휴아파트 상가)",032-576-9321,공공데이터포털,2020-08-28
37.51813807,126.673219,pharmacy,하늘약국,"인천광역시 서구 가정로 372, 1층 일부 (가정동)",032-576-2020,공공데이터포털,2020-08-28
37.51944582,126.6733316,pharmacy,세란약국,"인천광역시 서구 가정로 388, 1층 일부 (가정동)",032-582-1682,공공데이터포털,2020-08-28
37.59395092,126.6749328,pharmacy,올리브약국,"인천광역시 서구 원당대로 663, 103호 (마전동, 한종프라자)",032-566-5505,공공데이터포털,2020-08-28
37.52370315,126.6240684,pharmacy,행복온누리약국,"인천광역시 서구 솔빛로 24, 101~102호 (청라동)",032-567-0523,공공데이터포털,2020-08-28
37.5927574,126.6956075,pharmacy,푸른솔약국,"인천광역시 서구 고산후로95번길 32, 102호 (당하동, 명진프라자)",032-563-0236,공공데이터포털,2020-08-28
37.60254472,126.6556304,pharmacy,메디팜우리들약국,"인천광역시 서구 완정로 187, 101호 (왕길동, 마전메디컬센터)",032-561-0978,공공데이터포털,2020-08-28
37.60147146,126.6587073,pharmacy,생동온누리약국,"인천광역시 서구 완정로 153, 101~102호 (왕길동, 이레메디칼센터)",032-568-1589,공공데이터포털,2020-08-28
37.59510977,126.6722172,pharmacy,검단온누리약국,"인천광역시 서구 완정로 18, 104호 (마전동, 한윤메디칼)",032-564-8894,공공데이터포털,2020-08-28
37.52720848,126.6697551,pharmacy,가온약국,"인천광역시 서구 봉오재3로 90 (가정동, 한일골드타워)",032-567-0879,공공데이터포털,2020-08-28
37.53199817,126.6401292,pharmacy,청라로이약국,"인천광역시 서구 크리스탈로74번길 31, 109호 (청라동, 월드프라자)",032-569-7725,공공데이터포털,2020-08-28
37.48944062,126.6788713,pharmacy,편안한약국,인천광역시 서구 원적로27번길 11 (가좌동),032-583-1133,공공데이터포털,2020-08-28
37.54412585,126.6758369,pharmacy,성누가약국,"인천광역시 서구 탁옥로 55 (심곡동, SM스카이빌)",032-565-5250,공공데이터포털,2020-08-28
37.50297214,126.6722658,pharmacy,옵티마정다운약국,인천광역시 서구 가정로 204 (석남동),032-579-4456,공공데이터포털,2020-08-28
37.5655515,126.6749827,pharmacy,행복한약국,"인천광역시 서구 승학로 497, 109호 (검암동, 검암프라자)",070-7792-5502,공공데이터포털,2020-08-28
37.5134055,126.6690158,pharmacy,이삭약국,"인천광역시 서구 율도로 62-1, 1층 (석남동)",032-267-7582,공공데이터포털,2020-08-28
37.53398199,126.6568157,pharmacy,청라온누리약국,"인천광역시 서구 청라에메랄드로102번길 8, 108호 (청라동, 우성메디피아)",032-567-8212,공공데이터포털,2020-08-28
37.60227551,126.6565186,pharmacy,보성메디컬약국,"인천광역시 서구 완정로 179, 102~103호 (왕길동, 제이원검단메디컬프라자)",032-567-0167,공공데이터포털,2020-08-28
37.53205115,126.6502542,pharmacy,청라중앙약국,"인천광역시 서구 중봉대로 588, 104호 (청라동, 청라센트럴프라자)",032-569-5678,공공데이터포털,2020-08-28
37.5094653,126.6703751,pharmacy,삼육오사랑약국,"인천광역시 서구 칠천왕로33번길 14, 1층 일부 (석남동)",032-575-6849,공공데이터포털,2020-08-28
37.61355929,126.6856285,pharmacy,열린솔약국,"인천광역시 서구 검단로768번길 2, 105호 (불로동, 불로메디컬)",032-565-3135,공공데이터포털,2020-08-28
37.49299212,126.679001,pharmacy,건지약국,"인천광역시 서구 신진말로 30, 1층 (가좌동, 쌍용체육관)",032-571-7572,공공데이터포털,2020-08-28
37.54201278,126.6826749,pharmacy,성모사랑약국,인천광역시 서구 심곡로100번길 15 (심곡동),032-565-2933,공공데이터포털,2020-08-28
37.53214453,126.6529114,pharmacy,365열린약국,"인천광역시 서구 청라라임로 51, 105호 (청라동, 청라 에일린의뜰)",070-8837-7582,공공데이터포털,2020-08-28
37.52930697,126.6656789,pharmacy,명문약국,"인천광역시 서구 봉오재3로 44, 101호 (가정동, 명문프라자)",032-721-7220,공공데이터포털,2020-08-28
37.61862742,126.6908971,pharmacy,조은나라약국,"인천광역시 서구 검단로 842, 206호 (불로동, 월드불로마트)",032-565-4090,공공데이터포털,2020-08-28
37.55886607,126.6526799,pharmacy,경서메디칼약국,"인천광역시 서구 도요지로 22, 103호 (경서동, 대영프라자)",032-562-4001,공공데이터포털,2020-08-28
37.53256502,126.6502789,pharmacy,청라비젼약국,인천광역시 서구 중봉대로 594 (청라동),032-569-1057,공공데이터포털,2020-08-28
37.56518178,126.6749553,pharmacy,드림약국,"인천광역시 서구 승학로 498, 108호 (검암동, 서해프라자)",070-7619-2828,공공데이터포털,2020-08-28
37.53341248,126.6401035,pharmacy,도담약국,"인천광역시 서구 청라루비로 93, 105호 (청라동, 루비타워)",032-564-4333,공공데이터포털,2020-08-28
37.60993801,126.6704023,pharmacy,메디안약국,"인천광역시 서구 검단로623번길 4, 105호 (마전동, 세창프라자)",032-567-2463,공공데이터포털,2020-08-28
37.5923812,126.6707483,pharmacy,사랑탑약국,"인천광역시 서구 청마로19번길 3, 1층 (당하동, 드림빌딩)",032-569-7117,공공데이터포털,2020-08-28
37.59659357,126.6402804,pharmacy,열린온누리약국,"인천광역시 서구 단봉로 97-7, 108호 (오류동)",070-8828-9179,공공데이터포털,2020-08-28
37.52946925,126.6656873,pharmacy,가정미소약국,"인천광역시 서구 봉오재3로 42, 102호 (가정동)",032-567-3012,공공데이터포털,2020-08-28
37.52970839,126.665321,pharmacy,가정온누리약국,"인천광역시 서구 청중로 486, 105호 (가정동, 부일프라자)",032-566-7809,공공데이터포털,2020-08-28
37.53338225,126.6516219,pharmacy,청라바다약국,"인천광역시 서구 중봉대로612번길 10-16, 105~106호 (청라동, 마르씨엘)",032-568-3258,공공데이터포털,2020-08-28
