위도,경도,name,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.60894036,127.029052,호수온누리약국,,+82 2 988 8979,2019-06-24,,동소문로47길,12,길음동,,1,
37.61040424,127.0569046,돌곶이온누리약국,"서울특별시 성북구 화랑로 248, 장위뉴타워 102호, 102-1호 (석관동)",+82 2 967 5555,2019-06-24,,화랑로,248,석관동,,,102-1
37.60101417,127.0331664,홀리데이약국,서울특별시 성북구 종암로 123 홀리데이약국,+82 2 927 0242,2019-06-24,,종암로,123,,,,
37.59373053,127.0159792,하얀약국,"서울특별시 성북구 아리랑로 9, 산맥프라자 2층 202호 (동소문동6가)",+82 2 921 9131,2019-06-24,,아리랑로,9,,,2,202
37.60475389,127.0230392,콩약국,"서울특별시 성북구 길음로 20, 길음뉴타운,래미안길음3차아파트 상가 3층 315호 (길음동)",+82 2 913 3020,2019-06-24,,길음로,20,길음동,,3,315
37.58650918,127.0294735,소원약국,"서울특별시 성북구 개운사길 2, 1층 (안암동5가)",+82 2 3291 1905,2019-06-24,,개운사길,2,,,1,
37.59415547,127.0182168,새성신약국,"서울특별시 성북구 동소문로 125, 골든타워 1층 101호 (동선동4가)",+82 2 921 9971,2019-06-24,,동소문로,125,,,1,101
37.59423501,127.0165047,더사랑약국,"서울특별시 성북구 아리랑로 16, 1층 104호 (동선동4가)",+82 2 921 1246,2019-06-24,,아리랑로,16,,,1,104
37.5925735,127.0170886,육층약국,"서울특별시 성북구 동소문로 106, 유타 6층 (동선동1가)",+82 2 927 6265,2019-06-24,,동소문로,106,,,6,
37.60269641,127.0209503,길음시장약국,서울특별시 성북구 길음로9길 50 길음시장약국,+82 70 4402 4565,2019-06-24,,길음로9길,50,,,,
37.58910393,127.0066168,나바론약국,"서울특별시 성북구 동소문로3길 4, 정화빌딩 1층 (동소문동1가)",+82 2 762 6300,2019-06-24,,동소문로3길,4,,,1,
37.60737578,127.0101247,정릉아름드리약국,,+82 2 762 6300,2019-06-24,,보국문로,33,정릉동,,1,106
37.5944185,127.0185882,유민약국,"서울특별시 성북구 동소문로 127-2, 1층 (동선동4가)",+82 2 929 8937,2019-06-24,,동소문로,127-2,,,1,
37.60504961,127.022011,아름다운약국,"서울특별시 성북구 길음로 33, 상가B동 지층 17,18,19호 (길음동, 길음뉴타운)",+82 2 912 5148,2019-06-24,,길음로,33,,상가B,,"17,18,19"
37.60346697,127.0245563,삼층약국,"서울특별시 성북구 동소문로 248, 102동 314-1호 (길음동, 삼부아파트)",+82 2 915 0022,2019-06-24,,동소문로,248,,,,314-1
37.5859924,127.018731,보문약국,"서울특별시 성북구 보문로 123, 1층 (보문동2가)",+82 2 921 3844,2019-06-24,,보문로,123,,,1,
37.60264852,127.0392054,월곡보건약국,,+82 2 909 8144,2019-06-24,,화랑로,61,하월곡동,,1,
37.59816326,127.0337585,열린약국,"서울특별시 성북구 종암로19길 17, 양지빌딩 1층 (종암동)",+82 2 921 9233,2019-06-24,,종암로19길,17,종암동,,1,
37.61381947,127.0429806,새롬약국,,+82 2 915 0690,2019-06-24,,장위로,58,장위동,,1,
37.59889042,127.0220907,삼성약국,서울특별시 성북구 동소문로 190 삼성약국,+82 2 929 3069,2019-06-24,,동소문로,190,,,,
37.60684624,127.0299391,아이메디칼약국,서울특별시 성북구 동소문로46길 18 아이메디칼약국,+82 2 942 3365,2019-06-24,,동소문로46길,18,,,,
37.60318761,127.0137843,아가페온누리약국,,+82 2 916 8373,2019-06-24,,정릉로,274,정릉동,,1,
37.58699702,127.0236768,가까운행복약국,"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",+82 2 928 4545,2019-06-24,,고려대로13길,8,,,1,
37.60737284,127.0282179,도담약국,"서울특별시 성북구 동소문로 305, 지층 (길음동)",+82 2 945 7650,2019-06-24,,동소문로,305,길음동,,,
37.61345289,127.0644864,세계로약국,,+82 2 962 5446,2019-06-24,,화랑로40길,54,석관동,,,
37.59738445,127.0193227,현약국,"서울특별시 성북구 북악산로 844, 상가동 지하층 102-1호 (돈암동, 브라운스톤 돈암 아파트)",+82 2 926 1860,2019-06-24,,북악산로,844,상가동,,-,102-1
37.61086348,127.0179762,아이팜약국,서울특별시 성북구 길음로 103 아이팜 약국,+82 2 911 0175,2019-06-24,,길음로,103,,,,
37.60854349,127.0097715,정릉약국,,+82 2 914 3982,2019-06-24,,보국문로,45,정릉동,,1,
37.58873268,127.0073324,미소드림약국,"서울특별시 성북구 동소문로 10, 1층 (동소문동2가, 카프리빌딩)",+82 2 747 6464,2019-06-24,,동소문로,10,,,1,
