위도,경도,name,addr:full,phone,source:date,amenity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.52245151,126.6634026,가정약국,,+82 32 246 4627,2020-08-28,pharmacy,,새오개로111번안길,19-1,신현동,,,107
37.5323839,126.6470464,송송약국,"인천광역시 서구 청라커낼로260번길 27, 130호 (청라동, 청라한신더휴커낼웨이)",+82 32 266 5200,2020-08-28,pharmacy,,청라커낼로260번길,27,,,,130
37.52208025,126.6648346,연세드림약국,,+82 32 572 9003,2020-08-28,pharmacy,,새오개로111번안길,32,신현동,,,102
37.51848254,126.6726021,사(4)층약국,"인천광역시 서구 가정로 375, 409호 일부, 410호 (신현동, 금강아미움)",+82 32 573 4995,2020-08-28,pharmacy,,가정로,375,,,,410
37.53388963,126.650289,블루팜약국,,+82 32 263 5116,2020-08-28,pharmacy,,중봉대로,610,청라동,,,105
37.54172212,126.6840832,가까운약국,"인천광역시 서구 심곡로100번길 30 (심곡동, 서일빌딩)",+82 32 566 0998,2020-08-28,pharmacy,,심곡로100번길,30,,,,
37.52647816,126.6697114,루원시티약국,"인천광역시 서구 염곡로 468, 106호 (가정동, 드림타워)",+82 32 564 8575,2020-08-28,pharmacy,,염곡로,468,,,,106
37.53212602,126.6568263,옵티마강남약국,"인천광역시 서구 청라에메랄드로 84, 106호 (청라동, 딜라이트타워2)",+82 32 865 2222,2020-08-28,pharmacy,,청라에메랄드로,84,,,,106
37.52638571,126.6711046,루원진약국,,+82 32 569 4880,2020-08-28,pharmacy,,염곡로464번길,15,가정동,,,106
37.53212602,126.6568263,신신약국,"인천광역시 서구 청라에메랄드로 78, 106호 (청라동, 딜라이트타워)",+82 32 565 0416,2020-08-28,pharmacy,,청라에메랄드로,78,,,,106
37.53233836,126.6556911,청라큰사랑약국,,+82 32 568 7729,2020-08-28,pharmacy,,청라에메랄드로,79,청라동,,,B12-B13
37.53386257,126.6455601,청라천사약국,"인천광역시 서구 청라커낼로288번길 10, 112호 (청라동, 더스페이스타워)",+82 32 572 8887,2020-08-28,pharmacy,,청라커낼로288번길,10,,,,112
37.49456871,126.6814046,가좌한마음약국,"인천광역시 서구 원적로 85, 210호 (가좌동, 우신프라자)",+82 32 571 7582,2020-08-28,pharmacy,,원적로,85,,,,210
37.53208948,126.6457279,두리약국,"인천광역시 서구 청라커낼로260번길 11, 105호 일부, 106호 (청라동, 진성프라자)",,2020-08-28,pharmacy,,청라커낼로260번길,11,,,,106
37.52242283,126.6648511,새오개약국,,+82 32 571 5553,2020-08-28,pharmacy,,새오개로111번안길,31,신현동,,,101
