위도,경도,tourism,attraction,name,addr:postcode,addr:full,capacity,operator,phone,website,source:date
35.4170081,127.8671113,attraction,river_rafting,무한도전레포츠,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,195,송호현,+82 55 974 9989,http://mhdj.co.kr/,2020-03-16
35.4105011,127.8670111,attraction,river_rafting,오렌지래프팅,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,198,김영판,+82 55 974 9989,http://www.orangeleisure.net/,2020-03-16
35.4105931,127.8669812,attraction,river_rafting,스피드레저,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,131,최유리,+82 55 974 5454,http://echo-rafting.com/,2020-03-16
35.4117071,127.8659691,attraction,river_rafting,산청래프팅,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,127,지태영,+82 55 974 0088,http://www.rapting.co.kr/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,지리산래프팅,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,138,최원경,+82 55 974 1888,http://www.jirisanrafting.co.kr/,2020-03-16
35.4117511,127.8662031,attraction,river_rafting,넘버원래프팅,52242,경상남도 산청군 산청읍 꽃봉산로 34번길77,57,장미경,+82 55 972 9234,http://www.no1rafting.com/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,봄여름가을겨울,52226,경상남도 산청군 산청읍 옥산리 865-2,81,신영웅,+82 55 974 3993,http://fsr.kr/,2020-03-16
35.3500451,127.9349311,attraction,river_rafting,엑스로드레저클럽,52262,경상남도 산청군 신안면 외송리 622-1,95,박재현,+82 55 973 7972,http://www.x-road.co.kr/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,사람과레저,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,13,허영식,+82 55 974 0831,http://www.mll.co.kr/,2020-03-16
35.3915841,127.9032873,attraction,river_rafting,렛츠고래프팅,52213,경상남도 산청군 산청읍 자신길 16-1,88,박현,+82 55 972 9996,https://letsgorafting.modoo.at/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,경호강래프팅 K,52226,경상남도 산청군 산청읍 내리1109-1,105,김원식,+82 55 972 9996,,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,산청경호강래프팅,52226,경상남도 산청군 산청읍 옥산리 647-2,327,김순선,+82 55 974 2277,http://www.raftingaja.co.kr/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,산청경호강래프팅협동조합,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,39,김원식,+82 55 974 2222,http://scrafting.co.kr/xe/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,청산래프팅,52226,경상남도 산청군 산청읍 옥산리 865-2,121,김혜량,+82 55 974 1044,http://www.cheongsanrafting.com,2020-03-16
35.4171717,127.8683878,attraction,river_rafting,김정식래프팅,52215,경상남도 산청군 금서면 매촌리 136-4,55,김정식,+82 55 974 1044,,2020-03-16
35.4187532,127.8721634,attraction,river_rafting,경호강래프팅,52215,경상남도 산청군 금서면 매촌리 136-4,55,김희식,+82 55 972 2002,http://www.raftingaja.com,2020-03-16
35.4097961,127.8722469,attraction,river_rafting,사람과바다,52226,경상남도 산청군 산청읍 꽃봉산로 34번길77,477,김승식,+82 55 974 2000,http://www.mslc.co.kr,2020-03-16
35.3676247,127.9178685,attraction,river_rafting,레포츠911,52261,경상남도 산청군 신안면 신안리 752-3,66,박용환,+82 55 974 2000,,2020-03-16
35.3403925,127.9398046,attraction,river_rafting,오빠레저,52226,경상남도 산청군 산청읍 웅석봉로 154번길 4-8,11,최유리,+82 55 974 5566,https://scoppa.modoo.at/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,래프팅일번지,52226,경상남도 산청군 산청읍 옥산리 865-2,3,김종민,+82 55 973 0007,http://www.gustclub.com/,2020-03-16
35.4099378,127.8690894,attraction,river_rafting,쿨레포츠,52226,경상남도 산청군 산청읍 옥산리 865-2,3,김종민,+82 55 973 2828,http://www.coolleports.co.kr/,2020-03-16
35.3500731,127.9350191,attraction,river_rafting,레저피아,52226,경상남도 산청군 신안면 외송리 622-1,11,박재현,+82 55 972 7013,http://www.레저피아.com/,2020-03-16
35.3485861,127.9358565,attraction,river_rafting,산청월드레포츠,52262,경상남도 산청군 신안면 외송리 536-6,11,임주연,+82 55 973 1480,http://www.scwl.co.kr/,2020-03-16
