시설구분,건물명,도로명주소,지번주소,위도,경도,개수
체육시설,고척 돔구장,서울특별시 구로구 경인로 430,서울특별시 구로구 고척동 66-47,37.4982125677,126.8670887410,6
의료기관,구로성심병원,서울특별시 구로구 경인로 427,서울특별시 구로구 고척동 76-189,37.4996468654,126.8663582449,1
의료기관,고대구로병원,서울특별시 구로구 구로동로 148,서울특별시 구로구 구로동 80-28,37.4911796417,126.8846377475,2
복합건축물,지하이시티,서울특별시 구로구 디지털로 243,서울특별시 구로구 구로동 237,37.4819921356,126.8923489376,1
복합건축물,넷마블,서울특별시 구로구 디지털로 300,서울특별시 구로구 구로동 188-25,37.4849270383,126.8965380369,1
복합건축물,대륭포스트타워 1차,서울특별시 구로구 디지털로 288,서울특별시 구로구 구로동 212-8,37.4835695693,126.8955027653,1
복합건축물,대륭포스트타워 2차,서울특별시 구로구 디지털로 306,서울특별시 구로구 구로동 182-13,37.4859231683,126.8973363956,1
복합건축물,대륭포스트타워 3차,서울특별시 구로구 디지털로34길 27,서울특별시 구로구 구로동 182-4,37.4854726206,126.8982231235,1
복합건축물,코오롱디지털타워빌란트,서울특별시 구로구 디지털로32길 30,서울특별시 구로구 구로동 222-7,37.4833895421,126.8965199184,1
복합건축물,삼성아이티밸리,서울특별시 구로구 디지털로33길 27,서울특별시 구로구 구로동 197-5,37.4860566025,126.8946692651,1
복합건축물,코오롱싸이언스밸리 2차,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,37.4842856391,126.8992821258,1
복합건축물,우림이비지센터 1차,서울특별시 구로구 디지털로33길 28,서울특별시 구로구 구로동 170-5,37.4869823311,126.8953148385,1
복합건축물,이엔씨벤쳐드림타워 2차,서울특별시 구로구 디지털로33길 55,서울특별시 구로구 구로동 197-10,37.4867585596,126.8930444869,1
복합건축물,에이스테크노타워 2차,서울특별시 구로구 디지털로31길 19,서울특별시 구로구 구로동 197-7,37.4848760150,126.8937671799,1
복합건축물,에이스테크노타워 3차,서울특별시 구로구 디지털로29길 38,서울특별시 구로구 구로동 197-48,37.4844975405,126.8933104760,1
복합건축물,에이스하이엔드타워 1차,서울특별시 구로구 디지털로26길 5,서울특별시 구로구 구로동 235-2,37.4816105919,126.8934793121,1
복합건축물,JNK 디지털타워,서울특별시 구로구 디지털로32길 29,서울특별시 구로구 구로동 188-5,37.4848779663,126.8972987047,1
복합건축물,지플러스(G+)타워,서울특별시 구로구 디지털로26길 123,서울특별시 구로구 구로동 222-31,37.4830823343,126.8976994873,1
