연번,시설지명,위치,위도 ,경도,시설물현황,시설물종류(종),시설물개수(개),,,
1,사직체육회,서울특별시 종로구 사직동 산1-11,37.577137,126.964862,철봉 등,20,26,,,
2,인왕산자연공원,서울특별시 종로구 누상동 산1-38,37.580423,126.96238,철봉 등,23,39,,,
3,인왕배드민턴장,서울특별시 종로구 누상동 산1-38,37.580415,126.962369,배드민턴장 등,10,18,,,
4,인왕산약수터,서울특별시 종로구 무악동 산3-4,37.579082,126.958973,윗몸일으키기 등,7,7,,,
5,무악농구장,서울특별시 종로구 무악동 57-10,37.576534,126.959814,농구장 등,4,5,,,`
6,무악배드민턴장,서울특별시 종로구 무악동 48,37.578006,126.958365,배드민턴장 등,3,7,,,
7,무악약수체육공원,서울특별시 종로구 무악동 48,37.578006,126.958365,농구골대 등,3,7,,,
8,인왕천약수터아래산책로,서울특별시 종로구 옥인동 산3-1,37.584425,126.963863,철봉 등,8,11,,,
9,인왕천약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,윗몸일으키기 등,9,16,,,
10,석굴암약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,파도타기 등,12,17,,,
11,만수천약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,디핑머신 등,15,26,,,
12,평창동(1)운동장,서울특별시 종로구 평창동 344-6,37.607392,126.965475,농구대 등,6,10,,,
13,평창동(2)운동장,"서울특별시 종로구 평창동484-1,2",37.613036,126.972394,평균대 등,8,11,,,
14,부암동 족구장,서울특별시 종로구 부암동 262-1,37.592436,126.96448,족구장 등,8,11,,,
15,청운약수터,서울특별시 종로구 청운동 산4-41,37.588359,126.964821,철봉 등,12,12,,,
16,누상동 다목적소운동장,서울특별시 종로구 누상동 산1-3,37.580278,126.964235,워킹트레이너머신 등,13,22,,,
17,해맞이앞약수터,서울특별시 종로구 옥인동 179-1,37.583249,126.963487,윗몸일으키기 등,12,17,,,
18,해맞이동산,서울특별시 종로구 옥인동 179-1,37.583249,126.963487,윗몸일으키기 등,5,9,,,
19,버드나무약수터,서울특별시 종로구 옥인동 179-1,37.583249,126.963487,배드민턴장 등,9,12,,,
20,버드나무약수터상부체육시설,서울특별시 종로구 옥인동 산3-1,37.584416,126.963874,온몸역기내리기 등,15,16,,,
21,통일동산,서울특별시 종로구 창신동 산6-13,37.578489,127.011801,배드민턴장 등,15,23,,,
22,평창동주차장체육시설,"서울특별시 종로구 평창동556-1,2",37.61142,126.963951,온몸근육풀기 등,8,11,,,
23,홍제천1체육시설,서울특별시 종로구 신영동 130-1,37.602019,126.961252,하늘걷기 등,5,5,,,
24,홍제천2체육시설,서울특별시 종로구 신영동 136-11,37.601106,126.960678,트위스트 등,12,12,,,
25,평창동주민센터 뒤편 체육시설,서울특별시 종로구 평창동 186-11,37.606644,126.967929,달리기 운동 등,7,11,,,
26,삼청동저류조 체육시설,서울특별시 종로구 삼청동 산2-2,37.588222,126.983992,큰활차머신 등,2,2,,,
27,자투리 땅 운동기구(낙산) ,서울특별시 종로구 낙산성곽동길 18-1,37.574392,127.009306,스윙워커 등,2,2,,,
28,자투리 땅 운동기구(지봉로) ,서울특별시 종로구 지봉로8길 1-32,37.576082,127.015815,큰활차머신 등,2,2,,,
29,자투리 땅 운동기구(숭인1동) ,서울특별시 종로구 숭인동 7-37,37.579952,127.015492,체스트업＋큰활차머신,1,2,,,
