위도,경도,name,tourism,leisure,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.4327072,126.930303,휘닉스제주섭지코지,,resort,,+82 64 731 7000,2020-06-30,,섭지코지로,93-66,성산읍,,,
33.2787568,126.394896,㈜대유산업,,resort,,+82 64 738 0500,2020-06-30,,상예로,381,,,,
33.2526607,126.4146465,여미지식물원,musium,,,+82 64 738 1120,2020-06-30,,중문관광로,93,,,,
33.2502419,126.4119743,㈜테디베어뮤지엄,musium,,,+82 64 738 7600,2020-06-30,,중문관광로110번길,31,,,,
33.2904213,126.322602,㈜소인국테마파크,theme_park,,,+82 64 794 5400,2020-06-30,,중산간서로,1878,안덕면,,,
33.3835243,126.8413634,㈜삼영관광일출랜드,theme_park,,,+82 64 784 2080,2020-06-30,,중산간동로,4150-30,성산읍,,,
33.2398402,126.4291443,(주)아프리카박물관,musium,,,+82 64 738 6565,2020-06-30,,이어도로,49,,,,
33.2472388,126.5092079,(주)아쿠아랜드,,water_park,,+82 64 738 1930,2020-06-30,,월드컵로,33,,,,
33.2504829,126.5367012,석부작박물관,musium,,,+82 64 739 3331,2020-06-30,,일주동로,8941,,,,
33.3223451,126.8414874,제주민속촌,theme_park,,,+82 64 787 4501,2020-06-30,,민속해안로,631-34,표선면,,,
33.2472388,126.5092079,세계 성 문화박물관,musium,,,+82 64 739 0059,2020-06-30,,월드컵로,31,,,,
33.3298498,126.8148541,제주허브동산,,,,+82 67 787 7362,2020-06-30,,돈오름로,170,표선면,,,
33.2549209,126.4087219,박물관은 살아있다,musium,,,+82 64 805 0989,2020-06-30,,중문관광로,42,,,,
33.2408107,126.3347888,주식회사 마린파크,,water_park,,+82 64 792 7776,2020-06-30,,화순중앙로,132,안덕면,,,
33.306381,126.5843885,㈜상효원,,resort,,+82 64 733 2200,2020-06-30,,산록남로,2847-37,,,,
33.4327935,126.9279101,주식회사 제주해양과학관,musium,,,+82 64 780 0958,2020-06-30,,섭지코지로,95,성산읍,,,
33.2903783,126.3538589,헬로키티아일랜드,theme_park,,,+82 64 792 6114,2020-06-30,,한창로,340,안덕면,,,
33.4268965,126.8647243,더배니스랜드,theme_park,,,+82 64 784 6565,2020-06-30,,서성일로,474,성산읍,,,
33.2487954,126.4198849,제주 부영리조트,,resort,,+82 64 743 2182,2020-06-30,,중문관광로,216,,,,
33.2612364,126.5668704,녹지 한라산타운 콘도미니엄,,resort,,+82 64 745 9808,2020-06-30,,동홍로,443,,,,
33.2444327,126.4161942,주식회사 호반호텔앤리조트,,resort,,+82 64 738 2888,2020-06-30,,중문관광로,154-17,,,,
33.2546582,126.3467011,건강과 성 박물관,musium,,,+82 64 792 5700,2020-06-30,,일주서로,1611,안덕면,,,
33.3280571,126.366103,루체빌리조트,,resort,제주특별자치도 서귀포시 안덕면 산록남로788,+82 64 805 0114,2020-06-30,,,,안덕면,,,
33.278578,126.3702742,제주유리박물관,musium,,,+82 64 792 6262,2020-06-30,,중산간서로,1403,,,,
33.4398006,126.8991174,제주커피박물관바움,musium,,,+82 64 784 2255,2020-06-30,,서성일로1168번길,89-17,성산읍,,,
33.2812754,126.5784104,빅토르 힐 리조트,,resort,제주특별자치도 서귀포시 516로 277번길 ,+82 64 780 6300,2020-06-30,,516로,,,,,
33.2968281,126.3723948,제주 숲속의 뽀로로 테마파크,theme_park,,,+82 70 8147 3311,2020-06-30,,병악로,269,,,,
